target,blend_weight,validation_rows,validation_mae,validation_rmse,selection_metric,selection_objective
yN,0.5,22087,0.02514237552704481,0.06596121680638492,balanced,1.0375204193446073
yF,0.2,22087,0.034773612101199905,0.08903531290167181,balanced,1.0222515574832327
yT,0.65,22087,0.17123035467695932,0.26007695716618673,balanced,1.022878687069169
sigma_N,0.0,22087,0.01969648388753672,0.08526782422142601,balanced,1.0011651196849929
sigma_F,0.0,22087,0.014611832157614633,0.048925152947599373,balanced,1.0
sigma_T,0.0,22087,0.051410376774631644,0.09735743058128786,balanced,1.0130215278740409
delta_yN,0.9,22087,0.025341308942153952,0.0662487509699073,balanced,1.0053199025647037
delta_yF,1.0,22087,0.039874048453672234,0.09049774608642246,balanced,1.0038175171891066
delta_yT,1.0,22087,0.17794753794122392,0.25421899300655465,balanced,1.0039711437709093
