evaluation_cohort,estimand,scenario_id,cost_weight_multiplier,support_penalty_multiplier,row_count,delta_objective,positive,role
fresh_primary,observation_weighted_pooled_h1_h3,tn_reduction_10,1.0,1.0,5031,-0.040143609855773005,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,tn_reduction_10,1.0,2.0,5031,-0.04038213102452673,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,tn_reduction_10,2.0,0.5,5031,-0.08002434927139615,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,tn_reduction_10,2.0,1.0,5031,-0.08014360985577301,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,tn_reduction_10,2.0,2.0,5031,-0.08038213102452675,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,tp_reduction_10,0.5,0.5,6858,-0.024586735219893217,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,tp_reduction_10,0.5,1.0,6858,-0.02670834501866837,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,tp_reduction_10,0.5,2.0,6858,-0.030951564616218678,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,tp_reduction_10,1.0,0.5,6858,-0.04958673521989322,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,tp_reduction_10,1.0,1.0,6858,-0.051708345018668375,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,tp_reduction_10,1.0,2.0,6858,-0.05595156461621868,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,tp_reduction_10,2.0,0.5,6858,-0.09958673521989322,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,tp_reduction_10,2.0,1.0,6858,-0.10170834501866838,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,tp_reduction_10,2.0,2.0,6858,-0.1059515646162187,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,tp_reduction_25,0.5,0.5,6858,-0.05796591907715739,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,tp_reduction_25,0.5,1.0,6858,-0.060787441386868674,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,tp_reduction_25,0.5,2.0,6858,-0.06643048600629124,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,tp_reduction_25,1.0,0.5,6858,-0.1204659190771574,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,tp_reduction_25,1.0,1.0,6858,-0.12328744138686866,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,tp_reduction_25,1.0,2.0,6858,-0.12893048600629123,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,tp_reduction_25,2.0,0.5,6858,-0.24546591907715737,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,tp_reduction_25,2.0,1.0,6858,-0.24828744138686867,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,tp_reduction_25,2.0,2.0,6858,-0.2539304860062912,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,tp_tn_reduction_10,0.5,0.5,5031,-0.04922711867397533,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,tp_tn_reduction_10,0.5,1.0,5031,-0.05118001074314648,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,tp_tn_reduction_10,0.5,2.0,5031,-0.05508579488148875,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,tp_tn_reduction_10,1.0,0.5,5031,-0.09922711867397532,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,tp_tn_reduction_10,1.0,1.0,5031,-0.10118001074314646,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,tp_tn_reduction_10,1.0,2.0,5031,-0.10508579488148874,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,tp_tn_reduction_10,2.0,0.5,5031,-0.19922711867397536,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,tp_tn_reduction_10,2.0,1.0,5031,-0.20118001074314645,False,descriptive_only
fresh_primary,observation_weighted_pooled_h1_h3,tp_tn_reduction_10,2.0,2.0,5031,-0.20508579488148876,False,descriptive_only
