split,target,pipe_rows,pipe_rmse,pipe_mae,persistence_rows,persistence_rmse,persistence_mae,rmse_delta_pipe_minus_persistence,mae_delta_pipe_minus_persistence,rmse_relative_improvement,mae_relative_improvement
test,all,40606,0.11469024889863544,0.06128769846196394,40606,0.15473810443367164,0.07531701847694604,-0.0400478555350362,-0.014029320014982097,0.2588105604731812,0.18627025204504563
test,delta_yF,40606,0.09759951238327208,0.045012434028096016,40606,0.16777462421827066,0.07038734669140273,-0.07017511183499858,-0.025374912663306715,0.41827011779625556,0.3605038953173961
test,delta_yN,40606,0.08231425596677684,0.03379628276998748,40606,0.14831957360711379,0.057629119215715514,-0.06600531764033694,-0.023832836445728034,0.4450209506075007,0.41355545200192473
test,delta_yT,40606,0.2208732100917506,0.15656521127405162,40606,0.40105226373797886,0.2411846125598784,-0.18017905364622827,-0.08461940128582676,0.44926576892219067,0.35084908770794193
test,sigma_F,40606,0.05466339859813437,0.01801815088386049,40606,0.05466339010592568,0.01801817549234225,8.492208693200443e-09,-2.46084817627501e-08,-1.5535459247486118e-07,1.3657588013397215e-06
test,sigma_N,40606,0.09499312990680671,0.026488755962704575,40606,0.0949931537164456,0.02648876644938315,-2.3809638885485818e-08,-1.0486678574117558e-08,2.506458408208822e-07,3.958915411994115e-07
test,sigma_T,40606,0.07596840045575314,0.04417130423726539,40606,0.07983995880527321,0.04390111030396885,-0.0038715583495200767,0.0002701939332965392,0.048491487313547695,-0.006154603640448531
test,yF,40606,0.09855251524567106,0.04295881902009567,40606,0.10395423135036153,0.041857986446218735,-0.0054017161046904655,0.001100832573876935,0.05196244572753199,-0.026299224290001158
test,yN,40606,0.08355144617876852,0.03434764594977251,40606,0.09003857954387051,0.033984027573094606,-0.006487133365101996,0.00036361837667790026,0.07204837524054006,-0.010699684606123009
test,yT,40606,0.22369637126078573,0.15023068203184162,40606,0.2520071648178048,0.14440202156051013,-0.028310793557019043,0.005828660471331487,0.11234122481194961,-0.040364119617875636
train,all,602390,0.10324365265849485,0.054639531899889425,602390,0.14220075557814615,0.06731407917521219,-0.03895710291965131,-0.012674547275322766,0.27395848046842836,0.1882896925965832
train,delta_yF,602390,0.0887814123244055,0.035616146567277907,602390,0.15764638440830023,0.05510271786001793,-0.06886497208389472,-0.01948657129274002,0.43683191557083956,0.35364083750357644
train,delta_yN,602390,0.048834079784118745,0.010487517556729537,602390,0.08759266788685605,0.01604976658364713,-0.0387585881027373,-0.005562249026917593,0.4424866719758096,0.346562611856604
train,delta_yT,602390,0.2387640446980926,0.1701335889124479,602390,0.4382016904888491,0.2689258788048871,-0.1994376457907565,-0.09879228989243921,0.4551275134704931,0.3673588065658629
train,sigma_F,602390,0.048275041851537526,0.014045961244851284,602390,0.048275056161355814,0.01404598835809779,-1.430981828864919e-08,-2.7113246505588995e-08,2.9642261297055105e-07,1.9303195912132215e-06
train,sigma_N,602390,0.04877699783270577,0.007204622552796948,602390,0.04877700425888252,0.007204626472839014,-6.426176750451429e-09,-3.920042066125895e-09,1.3174603172315965e-07,5.441006665514452e-07
train,sigma_T,602390,0.072126806897497,0.044378673810443865,602390,0.07586438328142402,0.04411728846686588,-0.0037375763839270215,0.00026138534357798837,0.04926654936430751,-0.005924782611567364
train,yF,602390,0.09146900738057112,0.034078859156881816,602390,0.09687809983331058,0.032349966738765196,-0.005409092452739461,0.0017288924181166204,0.055834006468401004,-0.053443406358896696
train,yN,602390,0.04905080807703625,0.011394859146720775,602390,0.05279881525128069,0.00933788155581631,-0.003748007174244443,0.002056977590904464,0.07098657718751618,-0.22028311010469276
train,yT,602390,0.24311467508048926,0.16441555815085476,602390,0.27377269863305626,0.15869259773597327,-0.030658023552567,0.005722960414881489,0.11198349472260066,-0.036063184398828316
validation,all,54637,0.11248742287266948,0.060507950529963446,54637,0.15367174883954032,0.07538952986084069,-0.04118432596687084,-0.014881579330877241,0.26800193449919246,0.19739583677397524
validation,delta_yF,54637,0.08824882531451789,0.0377558123055861,54637,0.15583689078548624,0.05972854160498289,-0.06758806547096835,-0.021972729299396795,0.43371030524476506,0.3678765412474713
validation,delta_yN,54637,0.06507702143590764,0.02471990745648883,54637,0.11787300925813712,0.041973516833983024,-0.05279598782222948,-0.017253609377494195,0.4479056584243845,0.4110594174354519
validation,delta_yT,54637,0.24018653468751688,0.17086422677937885,54637,0.44502543302352476,0.27486826971447476,-0.20483889833600788,-0.10400404293509591,0.46028582444001526,0.378377769988265
validation,sigma_F,54637,0.04591173252270488,0.014179817611778398,54637,0.04591174306402961,0.014179847578434657,-1.0541324729773649e-08,-2.996665625885908e-08,2.2959975000453513e-07,2.1133271068748093e-06
validation,sigma_N,54637,0.08036204981273466,0.018734543944512655,54637,0.08036206052241976,0.01873454201554253,-1.0709685097087807e-08,1.9289701259916914e-09,1.3326792552936062e-07,-1.0296329231808183e-07
validation,sigma_T,54637,0.09363326122360345,0.0521298161052533,54637,0.09867668060707997,0.05123977349575359,-0.005043419383476522,0.0008900426094997083,0.051110549650113184,-0.017370151130224432
validation,yF,54637,0.08893278114729641,0.035950809620631845,54637,0.09412409065935806,0.03482830689805052,-0.005191309512061648,0.0011225027225813256,0.055153887550949895,-0.032229609262003966
validation,yN,54637,0.06649640946177389,0.02535974085500056,54637,0.0712935839735016,0.024354690351490925,-0.004797174511727717,0.0010050505035096337,0.06728760491983024,-0.041267225696758135
validation,yT,54637,0.24353819024796963,0.16487688009104048,54637,0.27394224766232583,0.15859828025485323,-0.0304040574143562,0.006278599836187254,0.11098710649345946,-0.0395880700982262
