target,blend_weight,validation_rows,validation_mae,validation_rmse,selection_metric,selection_objective
yN,0.35,54637,0.025359736299314914,0.06649642442224282,balanced,1.039810915495829
yF,0.35,54637,0.035950802403099225,0.0889327901919547,balanced,1.039909819384928
yT,0.65,54637,0.1648768004974522,0.2435382151896316,balanced,1.029109293397113
sigma_N,0.0,54637,0.018734541780125603,0.080362056763173,balanced,1.0005328004731258
sigma_F,0.0,54637,0.014179847843378156,0.04591174202721033,balanced,1.001499996516745
sigma_T,0.5,54637,0.052129842915725144,0.0936332600118997,balanced,1.0175112899335979
delta_yN,0.9,54637,0.02471990486664263,0.06507702653603273,balanced,1.003773850649422
delta_yF,1.0,54637,0.03775580740953313,0.08824883588488562,balanced,1.0
delta_yT,1.0,54637,0.17086427313915306,0.24018657363947904,balanced,1.0058576114152564
