evaluation_cohort,evaluation_role,model_id,seed,horizon_months,metric,value,row_count,attempted_row_count,status
location_holdout,test,P0,20260613,2,pr_auc,,0,4488,model_unavailable
location_holdout,test,P0,20260613,2,brier,,0,4488,model_unavailable
location_holdout,test,P0,20260613,2,rmse,,0,4488,model_unavailable
location_holdout,test,P0,20260613,2,mae,,0,4488,model_unavailable
location_holdout,test,P0,20260613,3,pr_auc,,0,4488,model_unavailable
location_holdout,test,P0,20260613,3,brier,,0,4488,model_unavailable
location_holdout,test,P0,20260613,3,rmse,,0,4488,model_unavailable
location_holdout,test,P0,20260613,3,mae,,0,4488,model_unavailable
location_holdout,test,P0,20260614,1,pr_auc,,0,4488,model_unavailable
location_holdout,test,P0,20260614,1,brier,,0,4488,model_unavailable
location_holdout,test,P0,20260614,1,rmse,,0,4488,model_unavailable
location_holdout,test,P0,20260614,1,mae,,0,4488,model_unavailable
location_holdout,test,P0,20260614,2,pr_auc,,0,4488,model_unavailable
location_holdout,test,P0,20260614,2,brier,,0,4488,model_unavailable
location_holdout,test,P0,20260614,2,rmse,,0,4488,model_unavailable
location_holdout,test,P0,20260614,2,mae,,0,4488,model_unavailable
location_holdout,test,P0,20260614,3,pr_auc,,0,4488,model_unavailable
location_holdout,test,P0,20260614,3,brier,,0,4488,model_unavailable
location_holdout,test,P0,20260614,3,rmse,,0,4488,model_unavailable
location_holdout,test,P0,20260614,3,mae,,0,4488,model_unavailable
location_holdout,test,P0,314159,1,pr_auc,,0,4488,model_unavailable
location_holdout,test,P0,314159,1,brier,,0,4488,model_unavailable
location_holdout,test,P0,314159,1,rmse,,0,4488,model_unavailable
location_holdout,test,P0,314159,1,mae,,0,4488,model_unavailable
location_holdout,test,P0,314159,2,pr_auc,,0,4488,model_unavailable
location_holdout,test,P0,314159,2,brier,,0,4488,model_unavailable
location_holdout,test,P0,314159,2,rmse,,0,4488,model_unavailable
location_holdout,test,P0,314159,2,mae,,0,4488,model_unavailable
location_holdout,test,P0,314159,3,pr_auc,,0,4488,model_unavailable
location_holdout,test,P0,314159,3,brier,,0,4488,model_unavailable
location_holdout,test,P0,314159,3,rmse,,0,4488,model_unavailable
location_holdout,test,P0,314159,3,mae,,0,4488,model_unavailable
location_holdout,test,P1,1729,1,pr_auc,,0,4488,model_unavailable
location_holdout,test,P1,1729,1,brier,,0,4488,model_unavailable
location_holdout,test,P1,1729,1,rmse,,0,4488,model_unavailable
location_holdout,test,P1,1729,1,mae,,0,4488,model_unavailable
location_holdout,test,P1,1729,2,pr_auc,,0,4488,model_unavailable
location_holdout,test,P1,1729,2,brier,,0,4488,model_unavailable
location_holdout,test,P1,1729,2,rmse,,0,4488,model_unavailable
location_holdout,test,P1,1729,2,mae,,0,4488,model_unavailable
location_holdout,test,P1,1729,3,pr_auc,,0,4488,model_unavailable
location_holdout,test,P1,1729,3,brier,,0,4488,model_unavailable
location_holdout,test,P1,1729,3,rmse,,0,4488,model_unavailable
location_holdout,test,P1,1729,3,mae,,0,4488,model_unavailable
location_holdout,test,P1,20260612,1,pr_auc,,0,4488,model_unavailable
location_holdout,test,P1,20260612,1,brier,,0,4488,model_unavailable
location_holdout,test,P1,20260612,1,rmse,,0,4488,model_unavailable
location_holdout,test,P1,20260612,1,mae,,0,4488,model_unavailable
location_holdout,test,P1,20260612,2,pr_auc,,0,4488,model_unavailable
location_holdout,test,P1,20260612,2,brier,,0,4488,model_unavailable
location_holdout,test,P1,20260612,2,rmse,,0,4488,model_unavailable
location_holdout,test,P1,20260612,2,mae,,0,4488,model_unavailable
location_holdout,test,P1,20260612,3,pr_auc,,0,4488,model_unavailable
location_holdout,test,P1,20260612,3,brier,,0,4488,model_unavailable
location_holdout,test,P1,20260612,3,rmse,,0,4488,model_unavailable
location_holdout,test,P1,20260612,3,mae,,0,4488,model_unavailable
location_holdout,test,P1,20260613,1,pr_auc,,0,4488,model_unavailable
location_holdout,test,P1,20260613,1,brier,,0,4488,model_unavailable
location_holdout,test,P1,20260613,1,rmse,,0,4488,model_unavailable
location_holdout,test,P1,20260613,1,mae,,0,4488,model_unavailable
location_holdout,test,P1,20260613,2,pr_auc,,0,4488,model_unavailable
location_holdout,test,P1,20260613,2,brier,,0,4488,model_unavailable
location_holdout,test,P1,20260613,2,rmse,,0,4488,model_unavailable
location_holdout,test,P1,20260613,2,mae,,0,4488,model_unavailable
location_holdout,test,P1,20260613,3,pr_auc,,0,4488,model_unavailable
location_holdout,test,P1,20260613,3,brier,,0,4488,model_unavailable
location_holdout,test,P1,20260613,3,rmse,,0,4488,model_unavailable
location_holdout,test,P1,20260613,3,mae,,0,4488,model_unavailable
location_holdout,test,P1,20260614,1,pr_auc,,0,4488,model_unavailable
location_holdout,test,P1,20260614,1,brier,,0,4488,model_unavailable
location_holdout,test,P1,20260614,1,rmse,,0,4488,model_unavailable
location_holdout,test,P1,20260614,1,mae,,0,4488,model_unavailable
location_holdout,test,P1,20260614,2,pr_auc,,0,4488,model_unavailable
location_holdout,test,P1,20260614,2,brier,,0,4488,model_unavailable
location_holdout,test,P1,20260614,2,rmse,,0,4488,model_unavailable
location_holdout,test,P1,20260614,2,mae,,0,4488,model_unavailable
location_holdout,test,P1,20260614,3,pr_auc,,0,4488,model_unavailable
location_holdout,test,P1,20260614,3,brier,,0,4488,model_unavailable
location_holdout,test,P1,20260614,3,rmse,,0,4488,model_unavailable
location_holdout,test,P1,20260614,3,mae,,0,4488,model_unavailable
location_holdout,test,P1,314159,1,pr_auc,,0,4488,model_unavailable
location_holdout,test,P1,314159,1,brier,,0,4488,model_unavailable
location_holdout,test,P1,314159,1,rmse,,0,4488,model_unavailable
location_holdout,test,P1,314159,1,mae,,0,4488,model_unavailable
location_holdout,test,P1,314159,2,pr_auc,,0,4488,model_unavailable
location_holdout,test,P1,314159,2,brier,,0,4488,model_unavailable
location_holdout,test,P1,314159,2,rmse,,0,4488,model_unavailable
location_holdout,test,P1,314159,2,mae,,0,4488,model_unavailable
location_holdout,test,P1,314159,3,pr_auc,,0,4488,model_unavailable
location_holdout,test,P1,314159,3,brier,,0,4488,model_unavailable
location_holdout,test,P1,314159,3,rmse,,0,4488,model_unavailable
location_holdout,test,P1,314159,3,mae,,0,4488,model_unavailable
location_holdout,test,A1,1729,1,pr_auc,0.65040850083399093,635,4488,available
location_holdout,test,A1,1729,1,brier,0.15639253807416623,635,4488,available
location_holdout,test,A1,1729,1,rmse,0.39546496440793111,635,4488,available
location_holdout,test,A1,1729,1,mae,0.30932054078210214,635,4488,available
location_holdout,test,A1,1729,2,pr_auc,0.62080167238814377,625,4488,available
location_holdout,test,A1,1729,2,brier,0.16959105640826452,625,4488,available
location_holdout,test,A1,1729,2,rmse,0.41181434701606079,625,4488,available
location_holdout,test,A1,1729,2,mae,0.3219338538568034,625,4488,available
location_holdout,test,A1,1729,3,pr_auc,0.6151677995578424,609,4488,available
location_holdout,test,A1,1729,3,brier,0.16827707427549402,609,4488,available
location_holdout,test,A1,1729,3,rmse,0.4102158874001518,609,4488,available
location_holdout,test,A1,1729,3,mae,0.33540946342483224,609,4488,available
location_holdout,test,A1,20260612,1,pr_auc,0.57381334748720014,635,4488,available
location_holdout,test,A1,20260612,1,brier,0.17554283439360624,635,4488,available
location_holdout,test,A1,20260612,1,rmse,0.41897832210462421,635,4488,available
location_holdout,test,A1,20260612,1,mae,0.31053018237454799,635,4488,available
location_holdout,test,A1,20260612,2,pr_auc,0.57534943444901276,625,4488,available
location_holdout,test,A1,20260612,2,brier,0.18197946191293221,625,4488,available
location_holdout,test,A1,20260612,2,rmse,0.42659050846559188,625,4488,available
location_holdout,test,A1,20260612,2,mae,0.32425742917552652,625,4488,available
location_holdout,test,A1,20260612,3,pr_auc,0.58762890405114376,609,4488,available
location_holdout,test,A1,20260612,3,brier,0.17954258607085305,609,4488,available
location_holdout,test,A1,20260612,3,rmse,0.42372465832289374,609,4488,available
location_holdout,test,A1,20260612,3,mae,0.33428802658464335,609,4488,available
location_holdout,test,A1,20260613,1,pr_auc,0.61669581487038305,635,4488,available
location_holdout,test,A1,20260613,1,brier,0.16611013241569419,635,4488,available
location_holdout,test,A1,20260613,1,rmse,0.40756610803119314,635,4488,available
location_holdout,test,A1,20260613,1,mae,0.31704152425160459,635,4488,available
location_holdout,test,A1,20260613,2,pr_auc,0.57302271086082479,625,4488,available
location_holdout,test,A1,20260613,2,brier,0.17924146186247128,625,4488,available
location_holdout,test,A1,20260613,2,rmse,0.42336917915983358,625,4488,available
location_holdout,test,A1,20260613,2,mae,0.32851351787568495,625,4488,available
location_holdout,test,A1,20260613,3,pr_auc,0.5899260454853924,609,4488,available
location_holdout,test,A1,20260613,3,brier,0.17910703569812442,609,4488,available
location_holdout,test,A1,20260613,3,rmse,0.42321039176528313,609,4488,available
location_holdout,test,A1,20260613,3,mae,0.33771716075422281,609,4488,available
location_holdout,test,A1,20260614,1,pr_auc,0.59447022492525237,635,4488,available
location_holdout,test,A1,20260614,1,brier,0.169626123554596,635,4488,available
location_holdout,test,A1,20260614,1,rmse,0.41185692121730333,635,4488,available
location_holdout,test,A1,20260614,1,mae,0.32469911856220202,635,4488,available
location_holdout,test,A1,20260614,2,pr_auc,0.57182184342000486,625,4488,available
location_holdout,test,A1,20260614,2,brier,0.18026848362837805,625,4488,available
location_holdout,test,A1,20260614,2,rmse,0.42458036180254272,625,4488,available
location_holdout,test,A1,20260614,2,mae,0.32172150711806885,625,4488,available
location_holdout,test,A1,20260614,3,pr_auc,0.53245497628612826,609,4488,available
location_holdout,test,A1,20260614,3,brier,0.18710063070891822,609,4488,available
location_holdout,test,A1,20260614,3,rmse,0.43255130413503345,609,4488,available
location_holdout,test,A1,20260614,3,mae,0.3315191017115019,609,4488,available
location_holdout,test,A1,314159,1,pr_auc,0.61699036320437528,635,4488,available
location_holdout,test,A1,314159,1,brier,0.16275462376242433,635,4488,available
location_holdout,test,A1,314159,1,rmse,0.40342858570312584,635,4488,available
location_holdout,test,A1,314159,1,mae,0.308578639126454,635,4488,available
location_holdout,test,A1,314159,2,pr_auc,0.61545448903010036,625,4488,available
location_holdout,test,A1,314159,2,brier,0.17546250833954097,625,4488,available
location_holdout,test,A1,314159,2,rmse,0.41888245169682264,625,4488,available
location_holdout,test,A1,314159,2,mae,0.32168077613380586,625,4488,available
location_holdout,test,A1,314159,3,pr_auc,0.57597722233597481,609,4488,available
location_holdout,test,A1,314159,3,brier,0.17078331048317472,609,4488,available
location_holdout,test,A1,314159,3,rmse,0.41325937434397625,609,4488,available
location_holdout,test,A1,314159,3,mae,0.32821595006188631,609,4488,available
