model,task,horizon_months,split,bin,bin_left,bin_right,rows,mean_pred_probability,observed_bloom_rate
ridge_sgd,risk,2,train,0,0.0,0.1,2218,0.0,0.2006311992786294
ridge_sgd,risk,2,train,1,0.1,0.2,0,,
ridge_sgd,risk,2,train,2,0.2,0.3,0,,
ridge_sgd,risk,2,train,3,0.3,0.4,0,,
ridge_sgd,risk,2,train,4,0.4,0.5,0,,
ridge_sgd,risk,2,train,5,0.5,0.6,0,,
ridge_sgd,risk,2,train,6,0.6,0.7,0,,
ridge_sgd,risk,2,train,7,0.7,0.8,0,,
ridge_sgd,risk,2,train,8,0.8,0.9,0,,
ridge_sgd,risk,2,train,9,0.9,1.0,1292636,1.0,0.15907339730597012
