model,task,horizon_months,split,bin,bin_left,bin_right,rows,mean_pred_probability,observed_bloom_rate
ridge_sgd,risk,3,train,0,0.0,0.1,198,0.0,0.15656565656565657
ridge_sgd,risk,3,train,1,0.1,0.2,0,,
ridge_sgd,risk,3,train,2,0.2,0.3,0,,
ridge_sgd,risk,3,train,3,0.3,0.4,0,,
ridge_sgd,risk,3,train,4,0.4,0.5,0,,
ridge_sgd,risk,3,train,5,0.5,0.6,0,,
ridge_sgd,risk,3,train,6,0.6,0.7,0,,
ridge_sgd,risk,3,train,7,0.7,0.8,0,,
ridge_sgd,risk,3,train,8,0.8,0.9,0,,
ridge_sgd,risk,3,train,9,0.9,1.0,1189055,1.0,0.15975627704353457
