policy_version,policy_name,target_event,split,rollout_horizon_months,score_column,threshold,rows,positive_rows,positive_rate,predicted_positive_rows,predicted_positive_rate,tn,fp,fn,tp,precision,recall,specificity,f1,macro_f1,fbeta,balanced_accuracy,mcc,gmean_pr,pr_distance,pr_auc,roc_auc,brier
pipe_neural_ode_rollout_alert_policy_2b_v0,balanced_accuracy,bloom_h,test,1,rollout_probability_bloom_calibrated,0.14093959731543623,4673,852,0.18232398887224482,1453,0.31093515942649264,3048,773,172,680,0.4679972470750172,0.7981220657276995,0.7976969379743523,0.5900216919739696,0.7279039009507684,0.6994445587327711,0.7979095018510258,0.49700633473634037,0.6111619503784487,0.5690181275370861,0.59788732915184,0.8908155817922452,0.10044953964534889
pipe_neural_ode_rollout_alert_policy_2b_v0,closest_pr,bloom_h,test,1,rollout_probability_bloom_calibrated,0.3008130081300813,4673,852,0.18232398887224482,978,0.2092873956772951,3416,405,279,573,0.5858895705521472,0.6725352112676056,0.8940068045014394,0.6262295081967213,0.7676118270094836,0.6532147742818057,0.7832710078845225,0.5377294111771348,0.6277191777465263,0.527939992458458,0.59788732915184,0.8908155817922452,0.10044953964534889
pipe_neural_ode_rollout_alert_policy_2b_v0,f1,bloom_h,test,1,rollout_probability_bloom_calibrated,0.3008130081300813,4673,852,0.18232398887224482,978,0.2092873956772951,3416,405,279,573,0.5858895705521472,0.6725352112676056,0.8940068045014394,0.6262295081967213,0.7676118270094836,0.6532147742818057,0.7832710078845225,0.5377294111771348,0.6277191777465263,0.527939992458458,0.59788732915184,0.8908155817922452,0.10044953964534889
pipe_neural_ode_rollout_alert_policy_2b_v0,fbeta,bloom_h,test,1,rollout_probability_bloom_calibrated,0.14093959731543623,4673,852,0.18232398887224482,1453,0.31093515942649264,3048,773,172,680,0.4679972470750172,0.7981220657276995,0.7976969379743523,0.5900216919739696,0.7279039009507684,0.6994445587327711,0.7979095018510258,0.49700633473634037,0.6111619503784487,0.5690181275370861,0.59788732915184,0.8908155817922452,0.10044953964534889
pipe_neural_ode_rollout_alert_policy_2b_v0,fixed,bloom_h,test,1,probability_bloom_mean,0.3,4673,852,0.18232398887224482,628,0.1343890434410443,3616,205,429,423,0.6735668789808917,0.4964788732394366,0.9463491232661607,0.5716216216216217,0.7455107853849272,0.5240336967294351,0.7214139982527987,0.5013076147036306,0.5782834297538164,0.6000767514181025,0.6281654842814202,0.8968702733718897,0.11108524836000477
pipe_neural_ode_rollout_alert_policy_2b_v0,gmean_pr,bloom_h,test,1,rollout_probability_bloom_calibrated,0.22935779816513763,4673,852,0.18232398887224482,1059,0.22662101433768458,3359,462,255,597,0.5637393767705382,0.7007042253521126,0.8790892436534938,0.6248037676609105,0.764183995464618,0.6682337139019476,0.7898967345028032,0.5347361945393523,0.6285018403318186,0.5290569837953539,0.59788732915184,0.8908155817922452,0.10044953964534889
pipe_neural_ode_rollout_alert_policy_2b_v0,mcc,bloom_h,test,1,rollout_probability_bloom_calibrated,0.3008130081300813,4673,852,0.18232398887224482,978,0.2092873956772951,3416,405,279,573,0.5858895705521472,0.6725352112676056,0.8940068045014394,0.6262295081967213,0.7676118270094836,0.6532147742818057,0.7832710078845225,0.5377294111771348,0.6277191777465263,0.527939992458458,0.59788732915184,0.8908155817922452,0.10044953964534889
pipe_neural_ode_rollout_alert_policy_2b_v0,balanced_accuracy,bloom_h,test,2,rollout_probability_bloom_calibrated,0.14285714285714285,4710,863,0.18322717622080678,1430,0.3036093418259023,3092,755,188,675,0.47202797202797203,0.7821552723059096,0.8037431765011698,0.5887483645878762,0.7282173140464285,0.6913150348217943,0.7929492244035397,0.49292846574715754,0.6076176157729011,0.5711486563977966,0.5537646832600818,0.8727653728462473,0.1079505524521289
pipe_neural_ode_rollout_alert_policy_2b_v0,closest_pr,bloom_h,test,2,rollout_probability_bloom_calibrated,0.21666666666666667,4710,863,0.18322717622080678,1333,0.2830148619957537,3160,687,217,646,0.4846211552888222,0.7485515643105446,0.8214192877566935,0.5883424408014571,0.7316020066687241,0.6750261233019854,0.7849854260336191,0.48948403642299776,0.602298865920758,0.5734471809909807,0.5537646832600818,0.8727653728462473,0.1079505524521289
pipe_neural_ode_rollout_alert_policy_2b_v0,f1,bloom_h,test,2,rollout_probability_bloom_calibrated,0.2777777777777778,4710,863,0.18322717622080678,1252,0.26581740976645435,3217,630,241,622,0.4968051118210863,0.7207415990730012,0.8362360280738238,0.5881796690307328,0.7344731336255649,0.6611394557823129,0.7784888135734125,0.4877413575764186,0.5983879266174835,0.57549139870001,0.5537646832600818,0.8727653728462473,0.1079505524521289
