model_id,model_seed,horizon_months,threshold,f2,recall,precision,selection_year
A0,1729,1,0.077576756203796726,0.73529411764705876,0.97560975609756095,0.37037037037037035,2021
A0,1729,2,0.19277108433734941,0.72390572390572383,1,0.34399999999999997,2021
A0,1729,3,0.23214285714285715,0.73333333333333339,1,0.35483870967741937,2021
A0,314159,1,0.04747887423658198,0.721830985915493,1,0.34166666666666667,2021
A0,314159,2,0.21311475409836064,0.72164948453608235,0.97674418604651159,0.35294117647058826,2021
A0,314159,3,0.1702127659574468,0.7142857142857143,0.97727272727272729,0.34399999999999997,2021
A0,20260612,1,0.058871665715866224,0.71942446043165464,0.97560975609756095,0.35087719298245612,2021
A0,20260612,2,0.20270270270270271,0.72164948453608235,0.97674418604651159,0.35294117647058826,2021
A0,20260612,3,0.20895522388059701,0.71906354515050164,0.97727272727272729,0.34959349593495936,2021
A0,20260613,1,0.25,0.73333333333333328,0.80487804878048785,0.54098360655737709,2021
A0,20260613,2,0.16393442622950818,0.72164948453608235,0.97674418604651159,0.35294117647058826,2021
A0,20260613,3,0.21428571428571427,0.72164948453608257,0.95454545454545459,0.36521739130434783,2021
A0,20260614,1,0.2857142857142857,0.74152542372881358,0.85365853658536583,0.4861111111111111,2021
A0,20260614,2,0.21052631578947367,0.72664359861591687,0.97674418604651159,0.35897435897435898,2021
A0,20260614,3,0.22222222222222221,0.72847682119205304,1,0.34920634920634919,2021
A1,1729,1,0.19389812889092101,0.73008849557522137,0.80487804878048785,0.532258064516129,2021
A1,1729,2,0.18333333333333332,0.7142857142857143,0.97674418604651159,0.34426229508196721,2021
A1,1729,3,0.14285714285714285,0.70957095709570961,0.97727272727272729,0.33858267716535434,2021
A1,314159,1,0.14275499719418711,0.73770491803278682,0.87804878048780488,0.45000000000000001,2021
A1,314159,2,0.20754716981132076,0.72664359861591687,0.97674418604651159,0.35897435897435898,2021
A1,314159,3,0.18181818181818182,0.72607260726072598,1,0.34645669291338582,2021
A1,20260612,1,0.16417910447761194,0.72953736654804269,1,0.3504273504273504,2021
A1,20260612,2,0.20270270270270271,0.72164948453608235,0.97674418604651159,0.35294117647058826,2021
A1,20260612,3,0.20000000000000001,0.72607260726072598,1,0.34645669291338582,2021
A1,20260613,1,0.067612822643331974,0.7321428571428571,1,0.35344827586206895,2021
A1,20260613,2,0.21621621621621623,0.72664359861591687,0.97674418604651159,0.35897435897435898,2021
A1,20260613,3,0.20000000000000001,0.72607260726072598,1,0.34645669291338582,2021
A1,20260614,1,0.044330673818423622,0.72953736654804269,1,0.3504273504273504,2021
A1,20260614,2,0.21249999999999999,0.72164948453608235,0.97674418604651159,0.35294117647058826,2021
A1,20260614,3,0.22680412371134021,0.72847682119205304,1,0.34920634920634919,2021
