cell_id,hypothesis_id,multiplicity_family,universe_size,comparison_id,horizon_months,endpoint,estimand,availability_state,availability_reason,status,attempted_denominator,successful_denominator,raw_p_value,holm_p_value,holm_universe_retained,evidence_paths
H4_M0_vs_P1_ablate_physchem:h1:irc_alert_h,H4_M0_vs_P1_ablate_physchem,B,78,M0_vs_P1_ablate_physchem,1,irc_alert_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_ablate_physchem:h2:bloom_h,H4_M0_vs_P1_ablate_physchem,B,78,M0_vs_P1_ablate_physchem,2,bloom_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_ablate_physchem:h2:irc_alert_h,H4_M0_vs_P1_ablate_physchem,B,78,M0_vs_P1_ablate_physchem,2,irc_alert_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_ablate_physchem:h3:bloom_h,H4_M0_vs_P1_ablate_physchem,B,78,M0_vs_P1_ablate_physchem,3,bloom_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_ablate_physchem:h3:irc_alert_h,H4_M0_vs_P1_ablate_physchem,B,78,M0_vs_P1_ablate_physchem,3,irc_alert_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_ablate_light:h1:bloom_h,H4_M0_vs_P1_ablate_light,B,78,M0_vs_P1_ablate_light,1,bloom_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_ablate_light:h1:irc_alert_h,H4_M0_vs_P1_ablate_light,B,78,M0_vs_P1_ablate_light,1,irc_alert_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_ablate_light:h2:bloom_h,H4_M0_vs_P1_ablate_light,B,78,M0_vs_P1_ablate_light,2,bloom_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_ablate_light:h2:irc_alert_h,H4_M0_vs_P1_ablate_light,B,78,M0_vs_P1_ablate_light,2,irc_alert_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_ablate_light:h3:bloom_h,H4_M0_vs_P1_ablate_light,B,78,M0_vs_P1_ablate_light,3,bloom_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_ablate_light:h3:irc_alert_h,H4_M0_vs_P1_ablate_light,B,78,M0_vs_P1_ablate_light,3,irc_alert_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_ablate_temperature:h1:bloom_h,H4_M0_vs_P1_ablate_temperature,B,78,M0_vs_P1_ablate_temperature,1,bloom_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_ablate_temperature:h1:irc_alert_h,H4_M0_vs_P1_ablate_temperature,B,78,M0_vs_P1_ablate_temperature,1,irc_alert_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_ablate_temperature:h2:bloom_h,H4_M0_vs_P1_ablate_temperature,B,78,M0_vs_P1_ablate_temperature,2,bloom_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_ablate_temperature:h2:irc_alert_h,H4_M0_vs_P1_ablate_temperature,B,78,M0_vs_P1_ablate_temperature,2,irc_alert_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_ablate_temperature:h3:bloom_h,H4_M0_vs_P1_ablate_temperature,B,78,M0_vs_P1_ablate_temperature,3,bloom_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_ablate_temperature:h3:irc_alert_h,H4_M0_vs_P1_ablate_temperature,B,78,M0_vs_P1_ablate_temperature,3,irc_alert_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_combined_moderate:h1:bloom_h,H4_M0_vs_P1_combined_moderate,B,78,M0_vs_P1_combined_moderate,1,bloom_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_combined_moderate:h1:irc_alert_h,H4_M0_vs_P1_combined_moderate,B,78,M0_vs_P1_combined_moderate,1,irc_alert_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_combined_moderate:h2:bloom_h,H4_M0_vs_P1_combined_moderate,B,78,M0_vs_P1_combined_moderate,2,bloom_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_combined_moderate:h2:irc_alert_h,H4_M0_vs_P1_combined_moderate,B,78,M0_vs_P1_combined_moderate,2,irc_alert_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_combined_moderate:h3:bloom_h,H4_M0_vs_P1_combined_moderate,B,78,M0_vs_P1_combined_moderate,3,bloom_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_combined_moderate:h3:irc_alert_h,H4_M0_vs_P1_combined_moderate,B,78,M0_vs_P1_combined_moderate,3,irc_alert_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_combined_severe:h1:bloom_h,H4_M0_vs_P1_combined_severe,B,78,M0_vs_P1_combined_severe,1,bloom_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_combined_severe:h1:irc_alert_h,H4_M0_vs_P1_combined_severe,B,78,M0_vs_P1_combined_severe,1,irc_alert_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_combined_severe:h2:bloom_h,H4_M0_vs_P1_combined_severe,B,78,M0_vs_P1_combined_severe,2,bloom_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_combined_severe:h2:irc_alert_h,H4_M0_vs_P1_combined_severe,B,78,M0_vs_P1_combined_severe,2,irc_alert_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_combined_severe:h3:bloom_h,H4_M0_vs_P1_combined_severe,B,78,M0_vs_P1_combined_severe,3,bloom_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H4_M0_vs_P1_combined_severe:h3:irc_alert_h,H4_M0_vs_P1_combined_severe,B,78,M0_vs_P1_combined_severe,3,irc_alert_h,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,44880,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/06_degradation/failure_registry.csv
H_surface_A2_vs_P1,H_surface_A2_vs_P1,C,1,A2_vs_P1,,pr_auc;brier,paired_observation_weighted_and_location_balanced,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,13464,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv
H_D_tp_reduction_10_vs_no_action,H_D_tp_reduction_10_vs_no_action,D,9,tp_reduction_10_vs_no_action,,delta_objective_vs_no_action,observation_weighted_mean_exact_common_origins_all_horizons,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,13464,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/09_planning/planning_bootstrap.csv
H_D_tp_reduction_25_vs_no_action,H_D_tp_reduction_25_vs_no_action,D,9,tp_reduction_25_vs_no_action,,delta_objective_vs_no_action,observation_weighted_mean_exact_common_origins_all_horizons,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,13464,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/09_planning/planning_bootstrap.csv
H_D_tn_reduction_10_vs_no_action,H_D_tn_reduction_10_vs_no_action,D,9,tn_reduction_10_vs_no_action,,delta_objective_vs_no_action,observation_weighted_mean_exact_common_origins_all_horizons,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,13464,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/09_planning/planning_bootstrap.csv
H_D_tp_tn_reduction_10_vs_no_action,H_D_tp_tn_reduction_10_vs_no_action,D,9,tp_tn_reduction_10_vs_no_action,,delta_objective_vs_no_action,observation_weighted_mean_exact_common_origins_all_horizons,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,13464,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/09_planning/planning_bootstrap.csv
H_D_clarity_mild_vs_no_action,H_D_clarity_mild_vs_no_action,D,9,clarity_mild_vs_no_action,,delta_objective_vs_no_action,observation_weighted_mean_exact_common_origins_all_horizons,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,13464,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/09_planning/planning_bootstrap.csv
H_D_clarity_strong_vs_no_action,H_D_clarity_strong_vs_no_action,D,9,clarity_strong_vs_no_action,,delta_objective_vs_no_action,observation_weighted_mean_exact_common_origins_all_horizons,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,13464,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/09_planning/planning_bootstrap.csv
H_D_oxygen_support_05_vs_no_action,H_D_oxygen_support_05_vs_no_action,D,9,oxygen_support_05_vs_no_action,,delta_objective_vs_no_action,observation_weighted_mean_exact_common_origins_all_horizons,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,13464,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/09_planning/planning_bootstrap.csv
H_D_nutrient_clarity_mild_vs_no_action,H_D_nutrient_clarity_mild_vs_no_action,D,9,nutrient_clarity_mild_vs_no_action,,delta_objective_vs_no_action,observation_weighted_mean_exact_common_origins_all_horizons,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,13464,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/09_planning/planning_bootstrap.csv
H_D_nutrient_clarity_strong_vs_no_action,H_D_nutrient_clarity_strong_vs_no_action,D,9,nutrient_clarity_strong_vs_no_action,,delta_objective_vs_no_action,observation_weighted_mean_exact_common_origins_all_horizons,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,13464,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/09_planning/planning_bootstrap.csv
H_E_uncertainty_before_vs_after_recalibration,H_E_uncertainty_before_vs_after_recalibration,E,1,uncertainty_before_vs_after_recalibration,,winkler_interval_score_0_90,paired_mean_delta_equal_weight_endpoints_and_horizons,model_unavailable,P1_model_unavailable_no_substitution,not_estimable_model_unavailable,13464,0,,,true,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv
