experiment_id,record_id,scenario_id,horizon_months,endpoint,availability_state,status,attempted_denominator,successful_denominator,estimate,ci95_lower,ci95_upper,p_value,limitation,evidence_path
E6,E6:control:h1:bloom_h,control,1,bloom_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:control:h1:irc_alert_h,control,1,irc_alert_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:control:h2:bloom_h,control,2,bloom_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:control:h2:irc_alert_h,control,2,irc_alert_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:control:h3:bloom_h,control,3,bloom_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:control:h3:irc_alert_h,control,3,irc_alert_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:mcar_10:h1:bloom_h,mcar_10,1,bloom_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:mcar_10:h1:irc_alert_h,mcar_10,1,irc_alert_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:mcar_10:h2:bloom_h,mcar_10,2,bloom_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:mcar_10:h2:irc_alert_h,mcar_10,2,irc_alert_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:mcar_10:h3:bloom_h,mcar_10,3,bloom_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:mcar_10:h3:irc_alert_h,mcar_10,3,irc_alert_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:mcar_25:h1:bloom_h,mcar_25,1,bloom_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:mcar_25:h1:irc_alert_h,mcar_25,1,irc_alert_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:mcar_25:h2:bloom_h,mcar_25,2,bloom_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:mcar_25:h2:irc_alert_h,mcar_25,2,irc_alert_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:mcar_25:h3:bloom_h,mcar_25,3,bloom_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:mcar_25:h3:irc_alert_h,mcar_25,3,irc_alert_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:mcar_50:h1:bloom_h,mcar_50,1,bloom_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:mcar_50:h1:irc_alert_h,mcar_50,1,irc_alert_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:mcar_50:h2:bloom_h,mcar_50,2,bloom_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:mcar_50:h2:irc_alert_h,mcar_50,2,irc_alert_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:mcar_50:h3:bloom_h,mcar_50,3,bloom_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:mcar_50:h3:irc_alert_h,mcar_50,3,irc_alert_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:block_1m_10:h1:bloom_h,block_1m_10,1,bloom_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:block_1m_10:h1:irc_alert_h,block_1m_10,1,irc_alert_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:block_1m_10:h2:bloom_h,block_1m_10,2,bloom_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:block_1m_10:h2:irc_alert_h,block_1m_10,2,irc_alert_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:block_1m_10:h3:bloom_h,block_1m_10,3,bloom_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:block_1m_10:h3:irc_alert_h,block_1m_10,3,irc_alert_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:block_3m_10:h1:bloom_h,block_3m_10,1,bloom_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:block_3m_10:h1:irc_alert_h,block_3m_10,1,irc_alert_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:block_3m_10:h2:bloom_h,block_3m_10,2,bloom_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:block_3m_10:h2:irc_alert_h,block_3m_10,2,irc_alert_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:block_3m_10:h3:bloom_h,block_3m_10,3,bloom_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:block_3m_10:h3:irc_alert_h,block_3m_10,3,irc_alert_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:block_6m_25:h1:bloom_h,block_6m_25,1,bloom_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:block_6m_25:h1:irc_alert_h,block_6m_25,1,irc_alert_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:block_6m_25:h2:bloom_h,block_6m_25,2,bloom_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:block_6m_25:h2:irc_alert_h,block_6m_25,2,irc_alert_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:block_6m_25:h3:bloom_h,block_6m_25,3,bloom_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:block_6m_25:h3:irc_alert_h,block_6m_25,3,irc_alert_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:ablate_nutrients:h1:bloom_h,ablate_nutrients,1,bloom_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:ablate_nutrients:h1:irc_alert_h,ablate_nutrients,1,irc_alert_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:ablate_nutrients:h2:bloom_h,ablate_nutrients,2,bloom_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:ablate_nutrients:h2:irc_alert_h,ablate_nutrients,2,irc_alert_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:ablate_nutrients:h3:bloom_h,ablate_nutrients,3,bloom_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:ablate_nutrients:h3:irc_alert_h,ablate_nutrients,3,irc_alert_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:ablate_physchem:h1:bloom_h,ablate_physchem,1,bloom_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:ablate_physchem:h1:irc_alert_h,ablate_physchem,1,irc_alert_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:ablate_physchem:h2:bloom_h,ablate_physchem,2,bloom_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:ablate_physchem:h2:irc_alert_h,ablate_physchem,2,irc_alert_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:ablate_physchem:h3:bloom_h,ablate_physchem,3,bloom_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:ablate_physchem:h3:irc_alert_h,ablate_physchem,3,irc_alert_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:ablate_light:h1:bloom_h,ablate_light,1,bloom_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:ablate_light:h1:irc_alert_h,ablate_light,1,irc_alert_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:ablate_light:h2:bloom_h,ablate_light,2,bloom_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:ablate_light:h2:irc_alert_h,ablate_light,2,irc_alert_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:ablate_light:h3:bloom_h,ablate_light,3,bloom_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:ablate_light:h3:irc_alert_h,ablate_light,3,irc_alert_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
E6,E6:ablate_temperature:h1:bloom_h,ablate_temperature,1,bloom_h,model_unavailable,model_unavailable,44880,0,,,,,M0_or_P1_model_unavailable_under_formal_lock,reports/closure_v1/06_degradation/failure_registry.csv
