epoch,train_loss,validation_loss,validation_rmse_all,validation_mae_all,validation_selection_objective,validation_blend_selection_metric,epoch_seconds,best_validation_loss,best_validation_objective
1,-1.8112204831004188,-2.1441418099224907,0.12029209037695907,0.06511592128691361,0.8232561501764777,balanced,3.274377078996622,-2.1441418099224907,0.8232561501764777
2,-2.7282683579177918,-2.7314041715887747,0.1168918180568813,0.06258789465892484,0.7954262927601334,balanced,2.9358194480009843,-2.7314041715887747,0.7954262927601334
3,-3.0340685719882816,-2.8731735750694916,0.11665528146469721,0.06265303918326445,0.7950887292357329,balanced,3.3364244640033576,-2.8731735750694916,0.7950887292357329
4,-3.137324524709441,-2.967254294388151,0.11637284986988858,0.06242053556269362,0.7926277694836822,balanced,3.502616826001031,-2.967254294388151,0.7926277694836822
5,-3.16040585682816,-2.9349726017405056,0.11625906969939198,0.06259745279038088,0.7934309183513368,balanced,3.543562805003603,-2.967254294388151,0.7926277694836822
6,-3.175035227453862,-3.036623488164265,0.11543660516476047,0.06282793781390335,0.7922835025064118,balanced,3.5883415900025284,-3.036623488164265,0.7922835025064118
7,-3.26002202079433,-3.0961487218689876,0.11541871142059451,0.0629946256427519,0.7933307923048348,balanced,3.5282154329979676,-3.036623488164265,0.7922835025064118
8,-3.2464772676154654,-3.1528949304605964,0.1153580845827568,0.06265632983364905,0.7908898789949665,balanced,3.5326805470031104,-3.1528949304605964,0.7908898789949665
9,-3.292765223020363,-3.1148392018670186,0.11515031637468781,0.06308946226355956,0.7930864958329608,balanced,3.508491371998389,-3.1528949304605964,0.7908898789949665
10,-3.3191197142519244,-3.149318605091386,0.11573867923505893,0.06333853297486064,0.796652737223601,balanced,3.818107916995359,-3.1528949304605964,0.7908898789949665
11,-3.3454326689173066,-3.214689204552199,0.1149695158360023,0.06245216855118765,0.7882715546548759,balanced,3.8269530610050424,-3.214689204552199,0.7882715546548759
12,-3.248645163765803,-3.167389165727417,0.11488213107846626,0.06258621368219536,0.7888762487670313,balanced,3.5569234159993357,-3.214689204552199,0.7882715546548759
13,-3.3708013725331423,-3.2039714641748387,0.11481576733371614,0.06217434096032312,0.7859286910257733,balanced,3.664384006006003,-3.2039714641748387,0.7859286910257733
14,-3.109812778759989,-3.167730387592415,0.11505554453788938,0.062083427306073524,0.7861058919354575,balanced,3.596715817002405,-3.2039714641748387,0.7859286910257733
15,-3.4035324772218125,-3.275700453768311,0.1147060659546903,0.061306409944296605,0.7798154468669782,balanced,3.5260890159988776,-3.275700453768311,0.7798154468669782
16,-3.2918623665805975,-3.225216547697567,0.1145229924692573,0.061596744614214466,0.7811453463809287,balanced,3.5812445300034597,-3.275700453768311,0.7798154468669782
17,-3.4312006496750254,-3.18567973275283,0.11442967991235248,0.06174842017521273,0.7818476821831387,balanced,3.4539513120034826,-3.275700453768311,0.7798154468669782
18,-3.3632336300226298,-3.262009046342473,0.11420912983813869,0.06151799726611976,0.7796018653599355,balanced,3.579413605002628,-3.262009046342473,0.7796018653599355
19,-3.4069911891964995,-3.1454552051592817,0.11555602623740795,0.06301550191294535,0.7939160279745918,balanced,3.557596941005613,-3.262009046342473,0.7796018653599355
20,-3.4333989559748206,-3.277948040761664,0.11407366711827166,0.061625113775765565,0.7798715321997307,balanced,3.5604708419996314,-3.262009046342473,0.7796018653599355
