split,horizon_months,target,rows,rmse,mae,nll,interval_90_coverage,interval_90_mean_width
train,1,all,112470,0.09106864949799388,0.04779972092381366,-3.014452812770893,0.9508244173754977,0.2408995977845788
train,1,yN,112470,0.03957647154891757,0.012520929786791597,-4.362924712866139,0.9870543255979373,0.08324551690978305
train,1,yF,112470,0.10266857723784813,0.06211779655811998,-2.2294440053670344,0.926389259358051,0.28792240459611385
train,1,yT,112470,0.15961324225490522,0.09723943592633545,-1.8088095680495266,0.9450075575709078,0.4769407695289653
train,1,sigma_N,112470,0.05366725627092989,0.011171947831290134,-4.342546991209375,0.986325242286832,0.10041219086565208
train,1,sigma_F,112470,0.03661595156666243,0.017126070226766144,-3.1387704304698265,0.9254378945496576,0.11070027022379986
train,1,sigma_T,112470,0.05167382688087287,0.027647908628278386,-3.0159750382762662,0.9350226727127234,0.1546990102902088
train,1,delta_yN,112470,0.046456345744526006,0.013889607696774017,-4.342413688246554,0.9877478438694763,0.09177675794959439
train,1,delta_yF,112470,0.12184905978593309,0.06868413564543455,-2.187349886456267,0.9255623721881391,0.3173446148376926
train,1,delta_yT,112470,0.20749711419134978,0.11979965601453275,-1.7018409939970538,0.9388725882457544,0.5450548448593996
train,2,all,106375,0.09102433556055678,0.0484555416957472,-2.9367174055132113,0.9400402141271706,0.24021107573359174
train,2,yN,106375,0.041416073652636616,0.0134453160776795,-4.340942275516855,0.9834359576968272,0.08099820739149907
train,2,yF,106375,0.10844990796445554,0.06793339928560896,-2.1376766205371895,0.9222561692126909,0.30088071892600504
train,2,yT,106375,0.16611179790057568,0.10435883384193573,-1.6964188183651128,0.9371374853113984,0.47978670591361094
train,2,sigma_N,106375,0.05493587485664532,0.011974820728167523,-4.321940488212397,0.9820352526439483,0.09399153228091857
train,2,sigma_F,106375,0.038068841104314806,0.01907838280472716,-3.080461069181019,0.9131562867215041,0.1088694334915466
train,2,sigma_T,106375,0.05290670183291027,0.030484056134341606,-2.9468694005443963,0.9300587544065805,0.15085476105865944
train,2,delta_yN,106375,0.04703267939921339,0.014433513324073003,-4.309769445183974,0.9822514688601646,0.09153590044992091
train,2,delta_yF,106375,0.12150937208103739,0.06725305061474811,-2.0489999996413917,0.903689776733255,0.3322114730099814
train,2,delta_yT,106375,0.18878777125322213,0.10713850245044318,-1.5473785324365636,0.9063407755581668,0.5227709490801837
train,3,all,100807,0.09192485362004836,0.04971034860304958,-2.8837970979600303,0.9386319071757582,0.24401936852071326
train,3,yN,100807,0.04273069908522652,0.014374029330457444,-4.299164673276599,0.9809041038816749,0.08139617114785264
train,3,yF,100807,0.11058174106032118,0.07139917640705334,-2.077871427282756,0.9240925729364032,0.31345518608796735
train,3,yT,100807,0.16986244448812882,0.10886060966046607,-1.5917036262055155,0.9319789300346206,0.48531924441897445
train,3,sigma_N,100807,0.05574189823867826,0.012637972569791312,-4.275442359752742,0.9794557917604928,0.09288945227339013
train,3,sigma_F,100807,0.03836665153243055,0.020058435448265643,-3.0494837941382382,0.910660966004345,0.10996775879870757
train,3,sigma_T,100807,0.053467124622952736,0.03238298827532552,-2.8756241322590173,0.9265130397690636,0.15042086933818685
train,3,delta_yN,100807,0.04688695877821642,0.01471908807843799,-4.277923986467537,0.9802791472814388,0.09007787925249806
train,3,delta_yF,100807,0.12129919120416903,0.06711066896993224,-2.020942867508789,0.9065640282916861,0.34003192119009384
train,3,delta_yT,100807,0.18838697357031176,0.10585016868771661,-1.4860170147490803,0.9072385846220996,0.5326158341787488
train,0,all,319652,0.09136365985989409,0.048620512218957024,-2.9473795124631383,0.9433905205244036,0.24165433479677884
train,0,yN,319652,0.04120380465710522,0.013412952978861485,-4.3355016400121205,0.983910627807741,0.08191443013970066
train,0,yF,319652,0.10714097219513724,0.06698015561912403,-2.1511046474396114,0.9242895398746136,0.3002868627903108
train,0,yT,319652,0.16506286203660303,0.10327356558574156,-1.702940170463562,0.9382797542327281,0.4805301273341842
train,0,sigma_N,319652,0.054750406648704494,0.011901463555325712,-4.3145270403266895,0.9827312202019697,0.09590309263938984
train,0,sigma_F,319652,0.03765948018069936,0.018700533053103232,-3.091208155696713,0.9166906510830528,0.10985998911614929
train,0,sigma_T,319652,0.05265504249042334,0.030085010116576147,-2.9487160629011444,0.9306871222454419,0.15207053129756512
train,0,delta_yN,319652,0.046784599817257445,0.014332199609035883,-4.311212429618361,0.983563375170498,0.0911608378823151
train,0,delta_yF,319652,0.12156282064861808,0.0677116777058733,-2.0888303665753627,0.9122921176779748,0.32944684266527924
train,0,delta_yT,319652,0.19545295006449856,0.11118705174697184,-1.5823750991346797,0.9180702764256129,0.5337162993061152
