epoch,train_loss,validation_loss,validation_rmse_all_horizons,validation_mae_all_horizons,validation_selection_objective,validation_blend_selection_metric,epoch_seconds,best_validation_loss,best_validation_objective
1,-1.933373184772633,-1.5617715524759255,0.13760207234475233,0.08473643718557128,0.8829920516270153,balanced,10.833206598999823,-1.5617715524759255,0.8829920516270153
2,-2.590899745331387,-1.5740135532000743,0.13546693001493626,0.08406413016766821,0.8727059549833104,balanced,10.731220503000259,-1.5740135532000743,0.8727059549833104
3,-2.7486472418801338,-1.6169198611828015,0.13576395322556484,0.08467448155536812,0.8768838440790947,balanced,10.645011456000248,-1.5740135532000743,0.8727059549833104
4,-2.8918372666254157,-1.7851626127843585,0.13543032125016988,0.08464733268810928,0.875690631706588,balanced,10.623582066000381,-1.5740135532000743,0.8727059549833104
5,-2.946466572237291,-1.8796302316790037,0.1334996805998564,0.08340022026045324,0.8629923323833564,balanced,10.78291431300022,-1.8796302316790037,0.8629923323833564
6,-3.0015529226761815,-1.94259516442686,0.1315265990766189,0.08213958207880709,0.8500887115993846,balanced,10.638339146999897,-1.94259516442686,0.8500887115993846
7,-3.0533163429012173,-1.98473366416223,0.12919467504093987,0.08106963838599202,0.8370704747242914,balanced,10.68941440799972,-1.98473366416223,0.8370704747242914
8,-3.1097434789854907,-2.027763546856929,0.12695165076168172,0.07994957781403783,0.8240653564302283,balanced,10.652206672999455,-2.027763546856929,0.8240653564302283
9,-3.1422713225854464,-2.064273525225661,0.12588621778028705,0.07946621040425253,0.8181465757595987,balanced,10.694809068999348,-2.064273525225661,0.8181465757595987
10,-3.175465305675598,-2.0932927318863728,0.12557262047908102,0.07884414064011205,0.8138542947859304,balanced,10.684763879999991,-2.0932927318863728,0.8138542947859304
11,-3.2297816649455053,-2.1309612205578365,0.12493161576684046,0.07869618165099275,0.8110526094258108,balanced,10.706468426000356,-2.1309612205578365,0.8110526094258108
12,-3.246693002005584,-2.1530757581494133,0.12410982656193825,0.0784032435393694,0.8069119746469228,balanced,10.705418558999554,-2.1530757581494133,0.8069119746469228
13,-3.271749039692651,-2.147940306908408,0.12378353186513696,0.07809908310336326,0.8042694896389897,balanced,10.741715932000261,-2.147940306908408,0.8042694896389897
14,-3.298836954656186,-2.1813803645207073,0.12348478516562694,0.07821078469711691,0.8039239561746336,balanced,10.7078251060002,-2.1813803645207073,0.8039239561746336
15,-3.324203237689999,-2.1599708688176533,0.12337140640033208,0.07816996607118604,0.8033505473466969,balanced,10.708903884999927,-2.1599708688176533,0.8033505473466969
16,-3.3411456335607235,-2.107681954403882,0.12254095160970586,0.07737321618211111,0.796504865374983,balanced,10.695055380000667,-2.107681954403882,0.796504865374983
17,-3.3593243662342838,-2.156761506124782,0.12202432393433593,0.07658612111802922,0.7906971484376051,balanced,10.713273332999961,-2.156761506124782,0.7906971484376051
18,-3.369764317942646,-2.1341694713386126,0.12186998487991893,0.07683132655378448,0.7915152062142894,balanced,10.685378729999684,-2.156761506124782,0.7906971484376051
19,-3.3713602077890408,-2.2245802137044923,0.12152417152184099,0.07653640902927898,0.7888604828814345,balanced,10.745847313000013,-2.2245802137044923,0.7888604828814345
20,-3.3933617470746653,-2.102446306398124,0.12182703720935271,0.07669792559911427,0.7906711443430938,balanced,10.704844396000226,-2.2245802137044923,0.7888604828814345
21,-3.3901295724609115,-2.1550739380729405,0.12095762282713686,0.0759487960375213,0.7839560825171759,balanced,11.01403189299981,-2.1550739380729405,0.7839560825171759
22,-3.4101134265707143,-2.158364126473308,0.1208382456572054,0.07568618952255672,0.7821849933125125,balanced,10.735250187999554,-2.158364126473308,0.7821849933125125
23,-3.4212255476473206,-2.236940506463474,0.12046147135522402,0.07592922749986589,0.7822922112022378,balanced,10.661308377999376,-2.158364126473308,0.7821849933125125
24,-3.422632102343478,-2.0831013115459474,0.1208359116981587,0.07587202917057256,0.783165409350332,balanced,10.635146360000363,-2.158364126473308,0.7821849933125125
25,-3.4437105108679535,-2.2391390174866563,0.12005877339899691,0.07537203512899479,0.7780646334488397,balanced,10.780252896000093,-2.2391390174866563,0.7780646334488397
26,-3.4432269440960113,-2.095237968700312,0.12029277681094605,0.07541344682540194,0.7790204292975871,balanced,10.680542684999637,-2.2391390174866563,0.7780646334488397
27,-3.4575125421543356,-2.0289335816157976,0.11984352325659509,0.07488112560818852,0.774778676588088,balanced,10.718477664999227,-2.0289335816157976,0.774778676588088
28,-3.4658904004556144,-1.9973937020133485,0.12056985631910405,0.07507873351476319,0.7781125161493925,balanced,10.653270486999645,-2.0289335816157976,0.774778676588088
29,-3.4814428770938797,-2.246234333319828,0.11974637584866926,0.07476621444011153,0.773862489644241,balanced,10.668134228999406,-2.246234333319828,0.773862489644241
30,-3.480343470767292,-2.2149627126378877,0.11951405441997928,0.07484303004278128,0.7735403701611923,balanced,10.668702582999686,-2.2149627126378877,0.7735403701611923
31,-3.490185653759249,-1.941665596318536,0.11976605197609357,0.07470696489588685,0.7736094334456739,balanced,10.703404062000118,-2.2149627126378877,0.7735403701611923
32,-3.4995037497731594,-1.9763710776217553,0.11939020349934555,0.07468689791432576,0.7723211364099982,balanced,10.633795823999208,-1.9763710776217553,0.7723211364099982
33,-3.49841536720826,-2.181289955844164,0.11950418721849698,0.07476578978951938,0.7730988097855369,balanced,10.736626906999845,-1.9763710776217553,0.7723211364099982
34,-3.512384039020308,-2.0512294141579996,0.11924673601089972,0.07453164964357512,0.7710449274280116,balanced,10.737355802999446,-2.0512294141579996,0.7710449274280116
35,-3.5267382948569215,-2.006632011059709,0.11875256437556923,0.07448095838882905,0.7692218606324897,balanced,10.744630015999974,-2.006632011059709,0.7692218606324897
36,-3.536397181691211,-1.8707772828323095,0.11950637290615666,0.0747079943606078,0.772798493711143,balanced,10.718425648999983,-2.006632011059709,0.7692218606324897
