diagnostic_type,source_id,panel_rows,panel_sites,canonical_sequence_rows,canonical_sequence_sites,selected_origin_rows,selected_origin_sites,panel_rows_without_sequence_origin,source_in_canonical_sequences,source_in_selected_origins,rebuilt_state_rows,rebuilt_sequence_rows,rebuilt_discarded_rows,alignment_missing_rows,affected_sequence_rows,affected_sequence_cells,affected_selected_window_rows,affected_selected_window_cells,degradation_version,scenario_id,scenario_family,scenario_tier,scenario_status,seed,score_recomputed,fuzzy_state_rebuilt,labels_preserved,scope,input_column,rows,changed_rows,mean_before,mean_after,mean_delta,mean_abs_delta,max_abs_delta
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,all_sequence_rows,x_delta_yT,986674.0,0.0,0.0208852582632934,0.0208852582632934,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,all_sequence_rows,x_irc_basis,986674.0,0.0,0.5001497517079388,0.5001497517079388,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,selected_window,x_yN,12998.0,0.0,0.49841358362553434,0.49841358362553434,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,selected_window,x_yF,12998.0,0.0,0.6007928439683611,0.6007928439683611,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,selected_window,x_yT,12998.0,0.0,0.5875975402169176,0.5875975402169176,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,selected_window,x_sigma_N,12998.0,0.0,0.3112587876092884,0.3112587876092884,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,selected_window,x_sigma_F,12998.0,0.0,0.3329487793246204,0.3329487793246204,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,selected_window,x_sigma_T,12998.0,0.0,0.4235345600838485,0.4235345600838485,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,selected_window,x_delta_yN,12998.0,0.0,0.000278759871237221,0.000278759871237221,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,selected_window,x_delta_yF,12998.0,0.0,-0.00020134648432479956,-0.00020134648432479956,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,selected_window,x_delta_yT,12998.0,0.0,0.0052427390628850745,0.0052427390628850745,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,selected_window,x_irc_basis,12998.0,0.0,0.5413351500874739,0.5413351500874739,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_yN,986674.0,353249.0,0.5028808041160826,0.5,-0.0028808041160825865,0.10404039555205237,0.5
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_yF,986674.0,0.0,0.6569116323523828,0.6569116323523828,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_yT,986674.0,0.0,0.5387323346209835,0.5387323346209835,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_sigma_N,986674.0,373455.0,0.6154957087155186,0.7750000000000001,0.1595042912844814,0.16462401674598134,0.6749999999999999
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_sigma_F,986674.0,0.0,0.3948478545542281,0.3948478545542281,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_sigma_T,986674.0,0.0,0.4723175727860856,0.4723175727860856,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_delta_yN,986674.0,312717.0,0.001279835720440109,0.0,-0.001279835720440109,0.05140122738140335,1.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_delta_yF,986674.0,0.0,-0.0032078903125487297,-0.0032078903125487297,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_delta_yT,986674.0,0.0,0.0208852582632934,0.0208852582632934,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_irc_basis,986674.0,353244.0,0.5001497517079388,0.4996696176885918,-0.0004801340193470971,0.017340065925342065,0.08333333333333348
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_yN,12998.0,11487.0,0.49841358362553434,0.5,0.0015864163744657188,0.2461207568608894,0.5
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_yF,12998.0,0.0,0.6007928439683611,0.6007928439683611,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_yT,12998.0,0.0,0.5875975402169176,0.5875975402169176,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_sigma_N,12998.0,12225.0,0.3112587876092884,0.775,0.46374121239071153,0.4779357038509362,0.6749999999999999
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_sigma_F,12998.0,0.0,0.3329487793246204,0.3329487793246204,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_sigma_T,12998.0,0.0,0.4235345600838485,0.4235345600838485,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_delta_yN,12998.0,10565.0,0.000278759871237221,0.0,-0.000278759871237221,0.07673277699540877,1.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_delta_yF,12998.0,0.0,-0.00020134648432479956,-0.00020134648432479956,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_delta_yT,12998.0,0.0,0.0052427390628850745,0.0052427390628850745,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_irc_basis,12998.0,11487.0,0.5413351500874739,0.5415995528165516,0.0002644027290776227,0.04102012614348157,0.08333333333333348
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_yN,986674.0,0.0,0.5028808041160826,0.5028808041160826,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_yF,986674.0,811635.0,0.6569116323523828,0.60442873758007,-0.0524828947723129,0.22797349136108713,0.5714285714285715
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_yT,986674.0,0.0,0.5387323346209835,0.5387323346209835,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_sigma_N,986674.0,0.0,0.6154957087155186,0.6154957087155186,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_sigma_F,986674.0,869211.0,0.3948478545542281,0.589337387344607,0.19448953279037873,0.2015770773749281,0.48285714285714276
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_sigma_T,986674.0,0.0,0.4723175727860856,0.4723175727860856,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_delta_yN,986674.0,0.0,0.001279835720440109,0.001279835720440109,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_delta_yF,986674.0,619603.0,-0.0032078903125487297,-0.0036843943508512575,-0.00047650403830252775,0.08976858276393976,1.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_delta_yT,986674.0,0.0,0.0208852582632934,0.0208852582632934,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_irc_basis,986674.0,811630.0,0.5001497517079388,0.5088969008366576,0.008747149128718813,0.03799558189351452,0.09523809523809534
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_yN,12998.0,0.0,0.49841358362553434,0.49841358362553434,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_yF,12998.0,11989.0,0.6007928439683611,0.6859813100690069,0.08518846610064586,0.20916546191354687,0.5714285714285714
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_yT,12998.0,0.0,0.5875975402169176,0.5875975402169176,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_sigma_N,12998.0,0.0,0.3112587876092884,0.3112587876092884,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_sigma_F,12998.0,12705.0,0.3329487793246204,0.5111197581909075,0.1781709788662869,0.1828920286454869,0.4649999999999999
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_sigma_T,12998.0,0.0,0.4235345600838485,0.4235345600838485,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_delta_yN,12998.0,0.0,0.000278759871237221,0.000278759871237221,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_delta_yF,12998.0,10311.0,-0.00020134648432479956,-0.00046503845589224185,-0.00026369197156744225,0.07407088367932683,1.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_delta_yT,12998.0,0.0,0.0052427390628850745,0.0052427390628850745,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_irc_basis,12998.0,11989.0,0.5413351500874739,0.527137072404033,-0.014198077683440974,0.034860910318924486,0.0952380952380952
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_physicochemical,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_yN,986674.0,0.0,0.5028808041160826,0.5028808041160826,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_physicochemical,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_yF,986674.0,355844.0,0.6569116323523828,0.6118320860921127,-0.045079546260270165,0.11189828630673487,0.75
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_physicochemical,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_yT,986674.0,468105.0,0.5387323346209835,0.5,-0.038732334620983355,0.19266810246322297,0.5
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_physicochemical,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_sigma_N,986674.0,0.0,0.6154957087155186,0.6154957087155186,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_physicochemical,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_sigma_F,986674.0,407304.0,0.3948478545542281,0.48115335414008537,0.0863054995858572,0.08801447032764091,0.5974999999999999
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_physicochemical,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_sigma_T,986674.0,470201.0,0.4723175727860856,0.7750000000000001,0.3026824272139144,0.30296342174706314,0.6749999999999999
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_physicochemical,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_delta_yN,986674.0,0.0,0.001279835720440109,0.001279835720440109,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_physicochemical,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_delta_yF,986674.0,345657.0,-0.0032078903125487297,-0.0009096794273924101,0.0022982108851563195,0.07082126534044833,1.5
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_physicochemical,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_delta_yT,986674.0,299341.0,0.0208852582632934,0.0,-0.0208852582632934,0.11495305968004399,1.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_physicochemical,feature_family_ablation,core,evaluated,,True,True,True,all_sequence_rows,x_irc_basis,986674.0,487743.0,0.5001497517079388,0.48184145300399506,-0.018308298703943876,0.12745451194568824,0.4583333333333334
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_physicochemical,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_yN,12998.0,0.0,0.49841358362553434,0.49841358362553434,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_physicochemical,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_yF,12998.0,6582.0,0.6007928439683611,0.5221395682777163,-0.07865327569064479,0.12320121710164209,0.7499999999999999
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_physicochemical,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_yT,12998.0,7141.0,0.5875975402169176,0.5,-0.08759754021691761,0.22372630174452562,0.5
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_physicochemical,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_sigma_N,12998.0,0.0,0.3112587876092884,0.3112587876092884,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_physicochemical,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_sigma_F,12998.0,7164.0,0.3329487793246204,0.45588784616705635,0.12293906684243595,0.12325769045377945,0.5974999999999999
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_physicochemical,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_sigma_T,12998.0,7169.0,0.4235345600838485,0.775,0.3514654399161515,0.3514654399161515,0.6749999999999999
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_physicochemical,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_delta_yN,12998.0,0.0,0.000278759871237221,0.000278759871237221,0.0,0.0,0.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_physicochemical,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_delta_yF,12998.0,6594.0,-0.00020134648432479956,-0.0005392282325693681,-0.00033788174824456846,0.06756604119421396,1.0399999999999998
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_physicochemical,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_delta_yT,12998.0,4256.0,0.0052427390628850745,0.0,-0.0052427390628850745,0.10764642006231266,1.0
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_physicochemical,feature_family_ablation,core,evaluated,,True,True,True,selected_window,x_irc_basis,12998.0,7184.0,0.5413351500874739,0.49604566922463633,-0.04528948086283761,0.14551258967848243,0.45833333333333337
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,random_dropout_mcar_10,random_value_dropout,core,evaluated,20260612,True,True,True,all_sequence_rows,x_yN,986674.0,52516.0,0.5028808041160826,0.5017225994181627,-0.0011582046979199297,0.010299044413772376,0.8
input_change,,,,,,,,,,,,,,,,,,,pipe_grud_raw_predictor_recomputed_degradation_v0,random_dropout_mcar_10,random_value_dropout,core,evaluated,20260612,True,True,True,all_sequence_rows,x_yF,986674.0,143155.0,0.6569116323523828,0.6493283492141766,-0.007583283138206335,0.03375083802168653,0.7852444444444444
