degradation_version,scenario_id,scenario_family,scenario_tier,scenario_status,seed,score_recomputed,backtest_version,group_type,group_value,source_id,split,rollout_horizon_months,target,rows,rmse,mae,bias,simulation_90_coverage,simulation_90_mean_width,persistence_rmse,persistence_mae,rmse_relative_improvement,mae_relative_improvement
pipe_grud_state_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,1,all,119943,0.13409927407611422,0.07295270433850513,0.021552674012820273,0.8815270586862093,0.2873518164756485,0.17922463889390292,0.07433379365817751,0.25178103354696635,0.018579561888409545
pipe_grud_state_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,1,delta_yF,13327,0.14085064777604203,0.0859842925746357,0.07490122348779783,0.8077586853755534,0.28441781787253617,0.16718689651610977,0.07179721813233811,0.1575257947175904,-0.1975992219663398
pipe_grud_state_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,1,delta_yN,13327,0.09054127825797167,0.043557431625548364,0.02414745732608139,0.7740676821490208,0.0820242455207658,0.14859040665474998,0.06340142865495388,0.390665384822962,0.3129897456633259
pipe_grud_state_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,1,delta_yT,13327,0.23307265864688642,0.1710659909483329,0.0920571805611789,0.6784722743303069,0.35587333913912506,0.3823564898008344,0.2295266243128493,0.3904310117286316,0.25470088073457386
pipe_grud_state_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,1,irc1,13327,0.14147201798478504,0.10837789248431728,0.009141157171490956,0.8716890522998424,0.3680298891269994,0.162693785001285,0.09647541854550948,0.13043993669661294,-0.1233731256961913
pipe_grud_state_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,1,sigma_F,13327,0.0559435617160161,0.02381188739237506,0.00783509734872445,0.9917460793877092,0.3088995786146847,0.05321810148190408,0.018329722278423877,-0.051213030119813034,-0.29908609801493286
pipe_grud_state_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,1,sigma_N,13327,0.09416092707305496,0.029024812694559168,0.0019821381167648444,0.961281608764163,0.17053242278441652,0.0948967822469848,0.02754385341823203,0.007754268969991665,-0.05376732346923003
pipe_grud_state_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,1,sigma_T,13327,0.07636383768782544,0.04522907844768197,0.0005519855247664579,0.8938245666691679,0.27327847073778905,0.07702569482512318,0.04288973756016555,0.008592679868716601,-0.05454313830283524
pipe_grud_state_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,1,yF,13327,0.11006908712571892,0.06109661606481158,-0.019680547822359635,0.9978239663840324,0.46282191936508377,0.10119177982708899,0.04234518502967956,-0.08772755369852163,-0.44282321642919314
pipe_grud_state_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,1,yN,13327,0.08440020249843094,0.0393848737079202,0.004517244007777633,0.9218878967509567,0.13580669524736377,0.09031938779752856,0.03739821336666127,0.06553615390271261,-0.05312179813995995
