degradation_version,scenario_id,scenario_family,scenario_tier,scenario_status,seed,score_recomputed,fuzzy_state_rebuilt,labels_preserved,backtest_version,group_type,group_value,source_id,split,rollout_horizon_months,target,rows,rmse,mae,bias,simulation_90_coverage,simulation_90_mean_width,persistence_rmse,persistence_mae,rmse_relative_improvement,mae_relative_improvement
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,1,all,55305,0.15366443356063156,0.10435427953210606,0.015650146617035843,0.7862580236868276,0.35585390805219297,0.20365391425123475,0.12230918292328388,0.2454629014836139,0.1467993078037296
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,1,delta_yF,6145,0.1561243758849883,0.11397028908554714,0.07149267220537125,0.5536208299430431,0.260833219103015,0.24585991266580412,0.15509306390725805,0.3649864502424712,0.2651490259184082
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,1,delta_yN,6145,0.13173656178780688,0.08835871752303488,0.035839348765932644,0.4597233523189585,0.11544190970519153,0.218553573959106,0.13704159477787467,0.39723446566718523,0.35524161356811373
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,1,delta_yT,6145,0.211358589264467,0.15777350149575634,0.08980531538429026,0.6803905614320586,0.40560873724926383,0.3126330755507254,0.1890449680841956,0.32394040876147284,0.16541813783962653
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,1,irc1,6145,0.1502184208638889,0.11987983669089686,-0.028653024524268877,0.9196094385679414,0.5204396280122405,0.18493683786460005,0.14402341918804662,0.18773121354075467,0.16763650407178768
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,1,sigma_F,6145,0.0751122897618053,0.04112106362243285,-0.0016374721731964369,0.9715215622457283,0.3165900792262727,0.0781045885323657,0.03951481899625572,0.03831143376833003,-0.040649170791579044
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,1,sigma_N,6145,0.13853919813616067,0.06045347085339498,-9.133218475976485e-05,0.886899918633035,0.22262046043226832,0.13866929660032928,0.059162104987563205,0.0009381922845082524,-0.021827584838356277
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,1,sigma_T,6145,0.147928351859882,0.12533404948665294,0.00038414416224690287,0.8965012205044752,0.4758724525995231,0.17501207001355057,0.14456306803439722,0.15475343015811172,0.13301473750660123
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,1,yF,6145,0.13619179179158347,0.09838929304433061,-0.0096317568592975,0.9210740439381611,0.44429315476518416,0.148697983846422,0.09141308787233611,0.08410465112798804,-0.07631516814897657
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,1,yN,6145,0.12137748926907554,0.08157970931540219,0.00010383492223019006,0.7378356387306754,0.207075480818506,0.1328292646024008,0.08083229837557053,0.08621424930420243,-0.009246439292855076
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,1,yT,6145,0.21474302254195116,0.17220842136240255,-0.04541343466949496,0.9687550854353133,0.7543496785705123,0.26759787121598905,0.20411764127410384,0.19751595344858558,0.15632759477585426
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,source,wqp,wqp,test,1,all,55305,0.15366443356063156,0.10435427953210606,0.015650146617035843,0.7862580236868276,0.35585390805219297,0.20365391425123475,0.12230918292328388,0.2454629014836139,0.1467993078037296
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,source,wqp,wqp,test,1,delta_yF,6145,0.1561243758849883,0.11397028908554714,0.07149267220537125,0.5536208299430431,0.260833219103015,0.24585991266580412,0.15509306390725805,0.3649864502424712,0.2651490259184082
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,source,wqp,wqp,test,1,delta_yN,6145,0.13173656178780688,0.08835871752303488,0.035839348765932644,0.4597233523189585,0.11544190970519153,0.218553573959106,0.13704159477787467,0.39723446566718523,0.35524161356811373
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,source,wqp,wqp,test,1,delta_yT,6145,0.211358589264467,0.15777350149575634,0.08980531538429026,0.6803905614320586,0.40560873724926383,0.3126330755507254,0.1890449680841956,0.32394040876147284,0.16541813783962653
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,source,wqp,wqp,test,1,irc1,6145,0.1502184208638889,0.11987983669089686,-0.028653024524268877,0.9196094385679414,0.5204396280122405,0.18493683786460005,0.14402341918804662,0.18773121354075467,0.16763650407178768
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,source,wqp,wqp,test,1,sigma_F,6145,0.0751122897618053,0.04112106362243285,-0.0016374721731964369,0.9715215622457283,0.3165900792262727,0.0781045885323657,0.03951481899625572,0.03831143376833003,-0.040649170791579044
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,source,wqp,wqp,test,1,sigma_N,6145,0.13853919813616067,0.06045347085339498,-9.133218475976485e-05,0.886899918633035,0.22262046043226832,0.13866929660032928,0.059162104987563205,0.0009381922845082524,-0.021827584838356277
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,source,wqp,wqp,test,1,sigma_T,6145,0.147928351859882,0.12533404948665294,0.00038414416224690287,0.8965012205044752,0.4758724525995231,0.17501207001355057,0.14456306803439722,0.15475343015811172,0.13301473750660123
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,source,wqp,wqp,test,1,yF,6145,0.13619179179158347,0.09838929304433061,-0.0096317568592975,0.9210740439381611,0.44429315476518416,0.148697983846422,0.09141308787233611,0.08410465112798804,-0.07631516814897657
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,source,wqp,wqp,test,1,yN,6145,0.12137748926907554,0.08157970931540219,0.00010383492223019006,0.7378356387306754,0.207075480818506,0.1328292646024008,0.08083229837557053,0.08621424930420243,-0.009246439292855076
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,source,wqp,wqp,test,1,yT,6145,0.21474302254195116,0.17220842136240255,-0.04541343466949496,0.9687550854353133,0.7543496785705123,0.26759787121598905,0.20411764127410384,0.19751595344858558,0.15632759477585426
