mifal_degradation_version,scenario_id,scenario_family,scenario_tier,scenario_status,seed,surface,split,horizon_months,source_id,target_event,score_column,threshold,score_recomputed,rows,control_rows,rows_retained_rate,positive_rows,positive_rate,predicted_positive_rows,alert_rate,mean_probability,tn,fp,fn,tp,precision,recall,specificity,macro_f1,fbeta,mcc,pr_auc,roc_auc,brier,rmse_risk,mae_risk,calibration_bias,absolute_calibration_bias,interval_coverage_risk,interval_mean_width,winkler_score_risk,mean_uncertainty,mean_data_reliability,mean_confidence,mean_observation_reliability,delta_positive_rate_vs_control,delta_mean_probability_vs_control,delta_alert_rate_vs_control,delta_precision_vs_control,delta_recall_vs_control,delta_specificity_vs_control,delta_macro_f1_vs_control,delta_fbeta_vs_control,delta_mcc_vs_control,delta_pr_auc_vs_control,delta_roc_auc_vs_control,delta_brier_vs_control,delta_rmse_risk_vs_control,delta_mae_risk_vs_control,delta_calibration_bias_vs_control,delta_absolute_calibration_bias_vs_control,delta_interval_coverage_risk_vs_control,delta_interval_mean_width_vs_control,delta_winkler_score_risk_vs_control,delta_mean_uncertainty_vs_control,delta_mean_data_reliability_vs_control,delta_mean_confidence_vs_control,delta_mean_observation_reliability_vs_control
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,observable_no_current_chla,test,1,all,bloom_h,mifal_probability_bloom_calibrated,0.1496598639455782,True,30,30,1.0,2,0.06666666666666667,6,0.2,0.08217154619839101,24,4,0,2,0.3333333333333333,1.0,0.8571428571428571,0.7115384615384616,0.7142857142857143,0.5345224838248488,0.6666666666666666,0.9642857142857142,0.047510613044686435,0.3897274808029949,0.2725743716758326,0.015504879531724344,0.015504879531724344,0.7,0.6451395093980387,1.7594510011387987,0.6451395093980387,0.03736906671888032,0.184087479902427,0.0,0.0,-0.012552185983427624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666663,0.0,0.0030354333663274308,0.016889906592254367,0.01255218598342761,-0.012552185983427624,-0.012552185983427624,0.0,-0.0029003481435457834,0.02595864635709555,-0.0029003481435457834,-0.015229513956775617,-0.0011620514950628213,0.0
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,observable_no_current_chla,test,1,wqp,bloom_h,mifal_probability_bloom_calibrated,0.1496598639455782,True,30,30,1.0,2,0.06666666666666667,6,0.2,0.08217154619839101,24,4,0,2,0.3333333333333333,1.0,0.8571428571428571,0.7115384615384616,0.7142857142857143,0.5345224838248488,0.6666666666666666,0.9642857142857142,0.047510613044686435,0.3897274808029949,0.2725743716758326,0.015504879531724344,0.015504879531724344,0.7,0.6451395093980387,1.7594510011387987,0.6451395093980387,0.03736906671888032,0.184087479902427,0.0,0.0,-0.012552185983427624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666663,0.0,0.0030354333663274308,0.016889906592254367,0.01255218598342761,-0.012552185983427624,-0.012552185983427624,0.0,-0.0029003481435457834,0.02595864635709555,-0.0029003481435457834,-0.015229513956775617,-0.0011620514950628213,0.0
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,observable_no_current_chla,test,2,all,bloom_h,mifal_probability_bloom_calibrated,0.1111111111111111,True,30,30,1.0,8,0.26666666666666666,13,0.43333333333333335,0.12154588009777352,15,7,2,6,0.46153846153846156,0.75,0.6818181818181818,0.6703296703296704,0.6666666666666666,0.3853551092995474,0.5200676638176638,0.7244318181818181,0.19485655627641962,0.5237350585131619,0.4159740326027825,-0.14512078656889316,0.14512078656889316,0.6,0.6657591996877545,2.7850158084064853,0.6657591996877545,0.042109517152769886,0.17416803788487703,0.0,0.0,-0.013101218427305397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007167022792022748,-1.1102230246251565e-16,0.00768053720436368,0.014964370602429944,0.013101218427305272,-0.013101218427305411,0.013101218427305411,0.0,-0.0012744368666285366,0.010362879299012029,-0.0012744368666285366,-0.015683953292425452,-0.0019400153717224478,0.0
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,observable_no_current_chla,test,2,wqp,bloom_h,mifal_probability_bloom_calibrated,0.1111111111111111,True,30,30,1.0,8,0.26666666666666666,13,0.43333333333333335,0.12154588009777352,15,7,2,6,0.46153846153846156,0.75,0.6818181818181818,0.6703296703296704,0.6666666666666666,0.3853551092995474,0.5200676638176638,0.7244318181818181,0.19485655627641962,0.5237350585131619,0.4159740326027825,-0.14512078656889316,0.14512078656889316,0.6,0.6657591996877545,2.7850158084064853,0.6657591996877545,0.042109517152769886,0.17416803788487703,0.0,0.0,-0.013101218427305397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007167022792022748,-1.1102230246251565e-16,0.00768053720436368,0.014964370602429944,0.013101218427305272,-0.013101218427305411,0.013101218427305411,0.0,-0.0012744368666285366,0.010362879299012029,-0.0012744368666285366,-0.015683953292425452,-0.0019400153717224478,0.0
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,observable_no_current_chla,test,3,all,bloom_h,mifal_probability_bloom_calibrated,0.135593220338983,True,30,30,1.0,5,0.16666666666666666,8,0.26666666666666666,0.11198080371614676,21,4,1,4,0.5,0.8,0.84,0.7545008183306056,0.7142857142857143,0.5393598899705937,0.43333333333333335,0.8200000000000001,0.11984215862876062,0.42207687693390605,0.2991182326421462,-0.0546858629505199,0.0546858629505199,0.7,0.6607364483532312,1.9838807471115332,0.6607364483532312,0.036906370954639015,0.1759090756495408,0.0,0.0,-0.003260302821146685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333333333326,0.016000000000000014,0.00024281153683593237,0.0041454304327882,0.003260302821146699,-0.003260302821146685,0.003260302821146685,-0.033333333333333326,-0.002657316358366857,0.003258826077648491,-0.002657316358366857,-0.016418637895427593,-0.0013862851511069196,0.0
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,observable_no_current_chla,test,3,wqp,bloom_h,mifal_probability_bloom_calibrated,0.135593220338983,True,30,30,1.0,5,0.16666666666666666,8,0.26666666666666666,0.11198080371614676,21,4,1,4,0.5,0.8,0.84,0.7545008183306056,0.7142857142857143,0.5393598899705937,0.43333333333333335,0.8200000000000001,0.11984215862876062,0.42207687693390605,0.2991182326421462,-0.0546858629505199,0.0546858629505199,0.7,0.6607364483532312,1.9838807471115332,0.6607364483532312,0.036906370954639015,0.1759090756495408,0.0,0.0,-0.003260302821146685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333333333326,0.016000000000000014,0.00024281153683593237,0.0041454304327882,0.003260302821146699,-0.003260302821146685,0.003260302821146685,-0.033333333333333326,-0.002657316358366857,0.003258826077648491,-0.002657316358366857,-0.016418637895427593,-0.0013862851511069196,0.0
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,observable_no_current_chla,validation,1,all,bloom_h,mifal_probability_bloom_calibrated,0.1496598639455782,True,30,30,1.0,4,0.13333333333333333,11,0.36666666666666664,0.12568556212406146,18,8,1,3,0.2727272727272727,0.75,0.6923076923076923,0.6000000000000001,0.5555555555555556,0.31200964472696996,0.20094696969696968,0.6586538461538461,0.11573730576391349,0.3653748504402522,0.24790111575170498,-0.007647771209271875,0.007647771209271875,0.8333333333333334,0.6597406996159622,1.6908441515079837,0.6597406996159622,0.032663725871398715,0.17549024459187085,0.0,0.0,-0.008368123988951759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.057386363636363624,-0.07692307692307698,0.013181120896153989,0.01850648861103804,0.008368123988951759,-0.008368123988951759,0.006927418429591992,0.0,-0.0027882000699009923,0.01487758899183489,-0.0027882000699009923,-0.016045179602520734,-0.001304572332103876,0.0
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,observable_no_current_chla,validation,1,wqp,bloom_h,mifal_probability_bloom_calibrated,0.1496598639455782,True,30,30,1.0,4,0.13333333333333333,11,0.36666666666666664,0.12568556212406146,18,8,1,3,0.2727272727272727,0.75,0.6923076923076923,0.6000000000000001,0.5555555555555556,0.31200964472696996,0.20094696969696968,0.6586538461538461,0.11573730576391349,0.3653748504402522,0.24790111575170498,-0.007647771209271875,0.007647771209271875,0.8333333333333334,0.6597406996159622,1.6908441515079837,0.6597406996159622,0.032663725871398715,0.17549024459187085,0.0,0.0,-0.008368123988951759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.057386363636363624,-0.07692307692307698,0.013181120896153989,0.01850648861103804,0.008368123988951759,-0.008368123988951759,0.006927418429591992,0.0,-0.0027882000699009923,0.01487758899183489,-0.0027882000699009923,-0.016045179602520734,-0.001304572332103876,0.0
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,observable_no_current_chla,validation,2,all,bloom_h,mifal_probability_bloom_calibrated,0.1111111111111111,True,30,30,1.0,4,0.13333333333333333,10,0.3333333333333333,0.1193406618055987,18,8,2,2,0.2,0.5,0.6923076923076923,0.5341614906832298,0.3846153846153846,0.1386750490563073,0.15760869565217392,0.5528846153846154,0.1161913418539381,0.4594867293817053,0.3257321181757894,-0.013992671527734632,0.013992671527734632,0.7666666666666667,0.6593816789898486,2.1077647393648458,0.6593816789898486,0.032614510125132175,0.17570157431315797,0.0,0.0,-0.009705964325529517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888895,0.028846153846153855,-0.003928507996585909,0.013858984562283239,0.009705964325529615,-0.009705964325529517,0.009705964325529517,0.0,-0.00234120072914501,-0.0023410981558931176,-0.00234120072914501,-0.016351504941030798,-0.0015588823957934095,0.0
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,observable_no_current_chla,validation,2,wqp,bloom_h,mifal_probability_bloom_calibrated,0.1111111111111111,True,30,30,1.0,4,0.13333333333333333,10,0.3333333333333333,0.1193406618055987,18,8,2,2,0.2,0.5,0.6923076923076923,0.5341614906832298,0.3846153846153846,0.1386750490563073,0.15760869565217392,0.5528846153846154,0.1161913418539381,0.4594867293817053,0.3257321181757894,-0.013992671527734632,0.013992671527734632,0.7666666666666667,0.6593816789898486,2.1077647393648458,0.6593816789898486,0.032614510125132175,0.17570157431315797,0.0,0.0,-0.009705964325529517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888895,0.028846153846153855,-0.003928507996585909,0.013858984562283239,0.009705964325529615,-0.009705964325529517,0.009705964325529517,0.0,-0.00234120072914501,-0.0023410981558931176,-0.00234120072914501,-0.016351504941030798,-0.0015588823957934095,0.0
