mifal_degradation_version,scenario_id,scenario_family,scenario_tier,seed,surface,split,horizon_months,mifal_variable,rows,present_rows,coverage_rate
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,test,1,Chl,30,22,0.7333333333333333
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,test,1,Chl_prev,30,25,0.8333333333333334
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,test,2,Tw,30,9,0.3
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,test,2,TP,30,24,0.8
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,test,2,TN,30,12,0.4
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,test,2,Secchi,30,22,0.7333333333333333
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,test,2,Turb,30,10,0.3333333333333333
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,test,2,DOb,30,9,0.3
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,test,2,Chl,30,20,0.6666666666666666
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,test,2,Chl_prev,30,21,0.7
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,test,3,Tw,30,10,0.3333333333333333
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,test,3,TP,30,23,0.7666666666666667
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,test,3,TN,30,17,0.5666666666666667
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,test,3,Secchi,30,23,0.7666666666666667
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,test,3,Turb,30,8,0.26666666666666666
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,test,3,DOb,30,11,0.36666666666666664
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,test,3,Chl,30,21,0.7
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,test,3,Chl_prev,30,20,0.6666666666666666
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,validation,1,Tw,30,10,0.3333333333333333
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,validation,1,TP,30,19,0.6333333333333333
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,validation,1,TN,30,15,0.5
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,validation,1,Secchi,30,22,0.7333333333333333
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,validation,1,Turb,30,8,0.26666666666666666
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,validation,1,DOb,30,7,0.23333333333333334
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,validation,1,Chl,30,21,0.7
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,validation,1,Chl_prev,30,17,0.5666666666666667
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,validation,2,Tw,30,4,0.13333333333333333
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,validation,2,TP,30,19,0.6333333333333333
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,validation,2,TN,30,17,0.5666666666666667
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,validation,2,Secchi,30,22,0.7333333333333333
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,validation,2,Turb,30,6,0.2
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,validation,2,DOb,30,8,0.26666666666666666
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,validation,2,Chl,30,17,0.5666666666666667
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,validation,2,Chl_prev,30,16,0.5333333333333333
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,validation,3,Tw,30,11,0.36666666666666664
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,validation,3,TP,30,18,0.6
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,validation,3,TN,30,16,0.5333333333333333
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,validation,3,Secchi,30,22,0.7333333333333333
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,validation,3,Turb,30,10,0.3333333333333333
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,validation,3,DOb,30,8,0.26666666666666666
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,validation,3,Chl,30,20,0.6666666666666666
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_current_chla,validation,3,Chl_prev,30,16,0.5333333333333333
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260613,observable_current_chla,test,1,Tw,30,13,0.43333333333333335
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260613,observable_current_chla,test,1,TP,30,25,0.8333333333333334
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260613,observable_current_chla,test,1,TN,30,21,0.7
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260613,observable_current_chla,test,1,Secchi,30,20,0.6666666666666666
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260613,observable_current_chla,test,1,Turb,30,10,0.3333333333333333
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260613,observable_current_chla,test,1,DOb,30,11,0.36666666666666664
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260613,observable_current_chla,test,1,Chl,30,20,0.6666666666666666
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260613,observable_current_chla,test,1,Chl_prev,30,21,0.7
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260613,observable_current_chla,test,2,Tw,30,9,0.3
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260613,observable_current_chla,test,2,TP,30,21,0.7
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260613,observable_current_chla,test,2,TN,30,13,0.43333333333333335
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260613,observable_current_chla,test,2,Secchi,30,20,0.6666666666666666
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260613,observable_current_chla,test,2,Turb,30,10,0.3333333333333333
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260613,observable_current_chla,test,2,DOb,30,10,0.3333333333333333
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260613,observable_current_chla,test,2,Chl,30,20,0.6666666666666666
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260613,observable_current_chla,test,2,Chl_prev,30,24,0.8
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260613,observable_current_chla,test,3,Tw,30,12,0.4
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260613,observable_current_chla,test,3,TP,30,22,0.7333333333333333
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260613,observable_current_chla,test,3,TN,30,23,0.7666666666666667
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260613,observable_current_chla,test,3,Secchi,30,20,0.6666666666666666
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260613,observable_current_chla,test,3,Turb,30,10,0.3333333333333333
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260613,observable_current_chla,test,3,DOb,30,6,0.2
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260613,observable_current_chla,test,3,Chl,30,21,0.7
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260613,observable_current_chla,test,3,Chl_prev,30,19,0.6333333333333333
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260613,observable_current_chla,validation,1,Tw,30,8,0.26666666666666666
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260613,observable_current_chla,validation,1,TP,30,19,0.6333333333333333
