degradation_version,scenario_id,scenario_family,scenario_tier,scenario_status,seed,score_recomputed,fuzzy_state_rebuilt,labels_preserved,backtest_version,group_type,group_value,source_id,split,rollout_horizon_months,target,rows,rmse,mae,bias,simulation_90_coverage,simulation_90_mean_width,persistence_rmse,persistence_mae,rmse_relative_improvement,mae_relative_improvement
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,source,wqp,wqp,test,1,sigma_F,512,0.07394140917652837,0.0407432061974063,-0.0007347191622904055,0.0,0.0,0.07738349878030032,0.040497424697350556,0.04448092497787402,-0.006069064931721942
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,source,wqp,wqp,test,1,sigma_N,512,0.1405498708183879,0.05803451827286147,-0.001315595808687783,0.0,0.0,0.1405498708183879,0.05803451827286147,0.0,0.0
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,source,wqp,wqp,test,1,sigma_T,512,0.14787417902507272,0.12287371357694206,-0.01078029375513588,0.0,0.0,0.18142972577038752,0.1515855689135869,0.18495065570336464,0.18941021590922266
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,source,wqp,wqp,test,1,yF,512,0.14590957954464176,0.09622354206179817,0.005481004264411062,0.0,0.0,0.16316457055932734,0.09736484355810278,0.10575206955490128,0.011721905511238567
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,source,wqp,wqp,test,1,yN,512,0.11595789609501167,0.07677996839913029,0.005888658451614473,0.0,0.0,0.12826624526110522,0.07958211432006629,0.09595937840885618,0.035210749863546296
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,source,wqp,wqp,test,1,yT,512,0.21363756722783933,0.16685932972832315,-0.050992331299567206,0.009765625,0.0,0.2691075954275519,0.2069364079709413,0.20612583643944754,0.19366857014472724
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,2,all,4608,0.19514479597514756,0.12867284847993943,-0.015238153026560872,0.029513888888888888,0.0,0.22297354828044896,0.13735439191979795,0.12480741558769697,0.06320543026340017
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,2,delta_yF,512,0.14925161059189596,0.09286505856211351,0.012466526010189834,0.064453125,0.0,0.21389145916115826,0.14245492409363245,0.3022086474269124,0.3481091710029246
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,2,delta_yN,512,0.12547855764544366,0.0795111048819995,0.009366733577972068,0.078125,0.0,0.18189401165680327,0.12151748602878851,0.31015564227482106,0.34568178226496016
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,2,delta_yT,512,0.19713711713463514,0.13535113204206733,0.035322356063247656,0.119140625,0.0,0.3506929546788197,0.2245525828694916,0.4378640502909957,0.39724081410039946
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,2,irc1,512,0.20221849917897491,0.16525159317383853,-0.06810648153989482,0.0,0.0,0.2483776311893781,0.19057985305303318,0.18584254866014357,0.13290103583061577
