mifal_degradation_version,scenario_id,scenario_family,scenario_tier,seed,surface,split,horizon_months,mifal_variable,rows,present_rows,coverage_rate
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,test,1,TP,4673,4300,0.920179756045367
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,test,1,TN,4673,3193,0.6832869676867109
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,test,1,Secchi,4673,0,0.0
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,test,1,Turb,4673,0,0.0
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,test,1,DOb,4673,2217,0.47442756259362295
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,test,1,Chl,4673,0,0.0
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,test,1,Chl_prev,4673,4443,0.950781082816178
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,test,2,Tw,4710,2317,0.491932059447983
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,test,2,TP,4710,4333,0.9199575371549894
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,test,2,TN,4710,3222,0.6840764331210191
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,test,2,Secchi,4710,0,0.0
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,test,2,Turb,4710,0,0.0
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,test,2,DOb,4710,2255,0.47876857749469215
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,,observable_no_current_chla,test,2,Chl,4710,0,0.0
