scenario_id,seed,surface,source_id,site_id,origin_year_month,horizon_months,split,bloom_h,target_risk_chla_h,risk_conservative,mifal_probability_bloom_calibrated,mifal_bloom_probability_threshold,mifal_predicted_bloom_h,uncertainty,data_reliability,confidence,payload_variables
random_dropout_mcar_25,20260612,observable_no_current_chla,wqp,wqp:21FLKWAT_WQX-OSC-COON-1,2023-04,3,test,0,0.5313917968190804,0.5733856295529917,0.25719591457753027,0.135593220338983,1,0.6950128843066565,0.039682935289430565,0.15854494983475625,"TN,TP"
random_dropout_mcar_25,20260613,observable_no_current_chla,wqp,wqp:21FLSWFD_WQX-23144,2023-07,3,test,1,1.0,0.5733857135542846,0.25719591457753027,0.135593220338983,1,0.6950129861264056,0.06338304552435774,0.1621590098291412,"DOb,Secchi,TN,TP,Turb,Tw"
random_dropout_mcar_25,20260613,observable_no_current_chla,wqp,wqp:21FLMAIT_WQX-LAKE JACKSON,2023-07,3,test,0,0.0,0.5733856916540504,0.25719591457753027,0.135593220338983,1,0.6950129595806672,0.04485120934018731,0.15933303900761223,"DOb,Secchi,TP,Turb,Tw"
random_dropout_mcar_25,20260613,observable_no_current_chla,wqp,wqp:21FLKWAT_WQX-HIL-JAMES-3,2023-11,3,test,0,0.3261639645537792,0.5733856463893556,0.25719591457753027,0.135593220338983,1,0.6950129047143705,0.05520410616050604,0.16091181763568088,"Secchi,TN,TP"
random_dropout_mcar_25,20260613,observable_no_current_chla,wqp,wqp:21FLKWAT_WQX-OSC-COON-2,2023-02,3,test,0,0.05268228898267742,0.5733856458215563,0.25719591457753027,0.135593220338983,1,0.6950129040261288,0.0530322084373799,0.16058061760913436,"Secchi,TN,TP"
random_dropout_mcar_25,20260613,observable_no_current_chla,wqp,wqp:21FLKWAT_WQX-LAK-HARRISEA-2,2020-12,3,validation,1,1.0,0.573385645277195,0.25719591457753027,0.135593220338983,1,0.6950129033662971,0.05470129417137637,0.16083514276256855,"Secchi,TN,TP"
random_dropout_mcar_25,20260614,observable_no_current_chla,wqp,wqp:21FLSWFD_WQX-23144,2023-07,3,test,1,1.0,0.5733857135542846,0.25719591457753027,0.135593220338983,1,0.6950129861264056,0.06338304552435774,0.1621590098291412,"DOb,Secchi,TN,TP,Turb,Tw"
random_dropout_mcar_25,20260614,observable_no_current_chla,wqp,wqp:21SC60WQ_WQX-S-022,2020-04,3,validation,0,0.6333745881310783,0.5733856878647019,0.25719591457753027,0.135593220338983,1,0.6950129549875175,0.04910136901206026,0.15998116322676914,"DOb,Secchi,TP,Turb,Tw"
random_dropout_mcar_25,20260614,observable_no_current_chla,wqp,wqp:21SC60WQ_WQX-B-345,2021-04,3,validation,0,0.12348119801179501,0.573385664768455,0.25719591457753027,0.135593220338983,1,0.6950129269920666,0.03714139017133007,0.15815735844186646,"DOb,TP,Tw"
random_dropout_mcar_25,20260614,observable_no_current_chla,wqp,wqp:21FLKWAT_WQX-PUT-STAR-2,2020-12,3,validation,0,0.1008560701867831,0.5733856405060337,0.25719591457753027,0.135593220338983,1,0.6950128975830712,0.05102236548545045,0.16027413291239695,"Secchi,TN,TP"
random_dropout_mcar_25,20260614,observable_no_current_chla,wqp,wqp:21FLKWAT_WQX-LAK-HARRISEA-2,2020-12,3,validation,1,1.0,0.5733856278229348,0.25719591457753027,0.135593220338983,1,0.6950128822096179,0.04054159449725121,0.1586758909233626,"TN,TP"
temporal_blocks_3m_rate_10,20260612,observable_no_current_chla,wqp,wqp:21FLSWFD_WQX-23144,2023-07,3,test,1,1.0,0.5733857135542846,0.25719591457753027,0.135593220338983,1,0.6950129861264056,0.06338304552435774,0.1621590098291412,"DOb,Secchi,TN,TP,Turb,Tw"
temporal_blocks_3m_rate_10,20260612,observable_no_current_chla,wqp,wqp:21SC60WQ_WQX-B-345,2021-04,3,validation,0,0.12348119801179501,0.5733856861564142,0.25719591457753027,0.135593220338983,1,0.6950129529168656,0.04982562480773822,0.16009160863115932,"DOb,Secchi,TP,Turb,Tw"
temporal_blocks_3m_rate_10,20260612,observable_no_current_chla,wqp,wqp:21FLKWAT_WQX-LAK-EUSTIS-2,2019-12,3,validation,0,0.38489314433916905,0.5733856462180782,0.25719591457753027,0.135593220338983,1,0.6950129045067615,0.055601303148907544,0.16097238772313147,"Secchi,TN,TP"
temporal_blocks_3m_rate_10,20260612,observable_no_current_chla,wqp,wqp:21FLKWAT_WQX-LAK-HARRISEA-2,2020-12,3,validation,1,1.0,0.573385645277195,0.25719591457753027,0.135593220338983,1,0.6950129033662971,0.05470129417137637,0.16083514276256855,"Secchi,TN,TP"
temporal_blocks_3m_rate_10,20260612,observable_no_current_chla,wqp,wqp:21FLKWAT_WQX-WAL-ALLIGATOR-1,2020-06,3,validation,0,0.0,0.5733856305066245,0.25719591457753027,0.135593220338983,1,0.6950128854625751,0.04819432978945568,0.159842882058488,"Secchi,TN,TP"
temporal_blocks_3m_rate_10,20260613,observable_no_current_chla,wqp,wqp:21FLSWFD_WQX-23144,2023-07,3,test,1,1.0,0.5733857135542846,0.25719591457753027,0.135593220338983,1,0.6950129861264056,0.06338304552435774,0.1621590098291412,"DOb,Secchi,TN,TP,Turb,Tw"
temporal_blocks_3m_rate_10,20260613,observable_no_current_chla,wqp,wqp:21SC60WQ_WQX-S-022,2020-04,3,validation,0,0.6333745881310783,0.5733856878647019,0.25719591457753027,0.135593220338983,1,0.6950129549875175,0.04910136901206026,0.15998116322676914,"DOb,Secchi,TP,Turb,Tw"
temporal_blocks_3m_rate_10,20260613,observable_no_current_chla,wqp,wqp:21SC60WQ_WQX-B-345,2021-04,3,validation,0,0.12348119801179501,0.5733856861564142,0.25719591457753027,0.135593220338983,1,0.6950129529168656,0.04982562480773822,0.16009160863115932,"DOb,Secchi,TP,Turb,Tw"
temporal_blocks_3m_rate_10,20260613,observable_no_current_chla,wqp,wqp:21FLKWAT_WQX-LAK-EUSTIS-2,2019-12,3,validation,0,0.38489314433916905,0.5733856462180782,0.25719591457753027,0.135593220338983,1,0.6950129045067615,0.055601303148907544,0.16097238772313147,"Secchi,TN,TP"
temporal_blocks_3m_rate_10,20260613,observable_no_current_chla,wqp,wqp:21FLKWAT_WQX-LAK-HARRISEA-2,2020-12,3,validation,1,1.0,0.573385645277195,0.25719591457753027,0.135593220338983,1,0.6950129033662971,0.05470129417137637,0.16083514276256855,"Secchi,TN,TP"
temporal_blocks_3m_rate_10,20260614,observable_no_current_chla,wqp,wqp:21FLKWAT_WQX-LAK-EUSTIS-2,2019-12,3,validation,0,0.38489314433916905,0.5733856462180782,0.25719591457753027,0.135593220338983,1,0.6950129045067615,0.055601303148907544,0.16097238772313147,"Secchi,TN,TP"
temporal_blocks_3m_rate_10,20260614,observable_no_current_chla,wqp,wqp:21FLKWAT_WQX-LAK-HARRISEA-2,2020-12,3,validation,1,1.0,0.573385645277195,0.25719591457753027,0.135593220338983,1,0.6950129033662971,0.05470129417137637,0.16083514276256855,"Secchi,TN,TP"
temporal_blocks_3m_rate_10,20260614,observable_no_current_chla,wqp,wqp:21FLKWAT_WQX-WAL-ALLIGATOR-1,2020-06,3,validation,0,0.0,0.5733856305066245,0.25719591457753027,0.135593220338983,1,0.6950128854625751,0.04819432978945568,0.159842882058488,"Secchi,TN,TP"
temporal_blocks_3m_rate_10,20260614,observable_no_current_chla,wqp,wqp:21FLCBA_WQX-WAL-ALLIGATOR-1,2021-07,3,validation,0,0.1008560701867831,0.573385607700049,0.25719591457753027,0.135593220338983,1,0.6950128578182412,0.031891183153598755,0.157356771496285,"TN,TP"
temporal_blocks_3m_rate_10,20260614,observable_no_current_chla,wqp,wqp:21FLKWAT_WQX-HIL-FRANCIS-1,2019-12,2,validation,0,0.14523254730598842,0.5733386781190783,0.2509057971014492,0.1111111111111111,1,0.6949559734776707,0.055506403924069955,0.16098796173655122,"Secchi,TN,TP"
