scenario_id,seed,surface,source_id,site_id,origin_year_month,horizon_months,split,bloom_h,target_risk_chla_h,risk_conservative,mifal_probability_bloom_calibrated,mifal_bloom_probability_threshold,mifal_predicted_bloom_h,uncertainty,data_reliability,confidence,payload_variables
control_observed,,observable_no_current_chla,wqp,wqp:21SCSANT_WQX-SC-030,2023-05,3,test,0,0.323682506995679,0.5733857284683814,0.25719591457753027,0.135593220338983,1,0.6950130042040986,0.017818474076585832,0.15521069933709322,"DOb,Secchi,Turb,Tw"
control_observed,,observable_no_current_chla,wqp,wqp:21SCSANT_WQX-SC-022,2023-05,3,test,0,0.668156620237124,0.5733857284683814,0.25719591457753027,0.135593220338983,1,0.6950130042040986,0.017294901793977902,0.1551308579683159,"DOb,Secchi,Turb,Tw"
control_observed,,observable_no_current_chla,wqp,wqp:21SC60WQ_WQX-PD-327,2024-04,3,test,0,0.22839442238947819,0.5733857284683814,0.25719591457753027,0.135593220338983,1,0.6950130042040986,0.018091534330504498,0.1552523392503502,"DOb,Secchi,Turb,Tw"
control_observed,,observable_no_current_chla,wqp,wqp:21SC60WQ_WQX-CL-089,2024-06,3,test,0,0.6684938186636716,0.5733857284683814,0.25719591457753027,0.135593220338983,1,0.6950130042040986,0.017659070604183702,0.15518639134400955,"DOb,Secchi,Turb,Tw"
control_observed,,observable_no_current_chla,wqp,wqp:21SC60WQ_WQX-PD-327,2021-05,3,validation,0,0.6475461520495154,0.5733857284683814,0.25719591457753027,0.135593220338983,1,0.6950130042040986,0.018092375161145747,0.1552524674715558,"DOb,Secchi,Turb,Tw"
ablate_chlorophyll_memory,,observable_no_current_chla,wqp,wqp:21FLCBA_WQX-WAL-TRESCA-2,2023-04,3,test,0,0.1008560701867831,0.5733857284683814,0.25719591457753027,0.135593220338983,1,0.6950130042040986,0.01798387724342194,0.15523592224456748,"DOb,Secchi,Turb,Tw"
ablate_chlorophyll_memory,,observable_no_current_chla,wqp,wqp:21NC03WQ-NEU019L,2023-07,3,test,1,1.0,0.5733857284683814,0.25719591457753027,0.135593220338983,1,0.6950130042040986,0.016733608326067472,0.15504526436404698,"DOb,Secchi,Turb,Tw"
ablate_chlorophyll_memory,,observable_no_current_chla,wqp,wqp:21NC03WQ-NEU019P,2023-07,3,test,1,1.0,0.5733857284683814,0.25719591457753027,0.135593220338983,1,0.6950130042040986,0.016205780115668134,0.15496477399395397,"DOb,Secchi,Turb,Tw"
ablate_chlorophyll_memory,,observable_no_current_chla,wqp,wqp:21FLCHCO_WQX-MC1991A01,2023-06,3,test,1,1.0,0.5733857284683814,0.25719591457753027,0.135593220338983,1,0.6950130042040986,0.0005999789794815635,0.15258499079119706,"DOb,Tw"
ablate_chlorophyll_memory,,observable_no_current_chla,wqp,wqp:21NC03WQ-LLC01,2023-09,3,test,0,1.0,0.5733857284683814,0.25719591457753027,0.135593220338983,1,0.6950130042040986,0.013752455695025567,0.15459065797157173,"DOb,Secchi,Turb,Tw"
ablate_nutrients,,observable_no_current_chla,wqp,wqp:21FLSWFD_WQX-23144,2023-07,3,test,1,1.0,0.5733857284683814,0.25719591457753027,0.135593220338983,1,0.6950130042040986,0.025360260024363535,0.15636077265666745,"DOb,Secchi,Turb,Tw"
ablate_nutrients,,observable_no_current_chla,wqp,wqp:21FLHESD_WQX-BEAUDETTE POND WEST,2023-12,3,test,1,1.0,0.5733857284683814,0.25719591457753027,0.135593220338983,1,0.6950130042040986,0.005470069209782613,0.15332764788549433,"DOb,Turb,Tw"
ablate_nutrients,,observable_no_current_chla,wqp,wqp:21FLHESD_WQX-BEAUDETTE POND INLET,2023-03,3,test,0,0.7437949788459861,0.5733857284683814,0.25719591457753027,0.135593220338983,1,0.6950130042040986,0.006686202060400759,0.1535131002377937,"DOb,Turb,Tw"
ablate_nutrients,,observable_no_current_chla,wqp,wqp:21FLHESD_WQX-BEAUDETTE POND INLET,2023-02,3,test,1,1.0,0.5733857284683814,0.25719591457753027,0.135593220338983,1,0.6950130042040986,0.00587260839279431,0.15338903249355273,"DOb,Turb,Tw"
ablate_nutrients,,observable_no_current_chla,wqp,wqp:21FLCHCO_WQX-MC1991A01,2023-07,3,test,0,0.6225069207234714,0.5733857284683814,0.25719591457753027,0.135593220338983,1,0.6950130042040986,0.005478312778338701,0.1533289049760986,"DOb,Turb,Tw"
ablate_light,,observable_no_current_chla,wqp,wqp:21SCSANT_WQX-SC-030,2023-05,3,test,0,0.323682506995679,0.5733857284683814,0.25719591457753027,0.135593220338983,1,0.6950130042040986,0.0005967048457389268,0.15258449150709008,"DOb,Tw"
ablate_light,,observable_no_current_chla,wqp,wqp:21SCSANT_WQX-SC-022,2023-05,3,test,0,0.668156620237124,0.5733857284683814,0.25719591457753027,0.135593220338983,1,0.6950130042040986,0.0005962725762186816,0.15258442558879892,"DOb,Tw"
ablate_light,,observable_no_current_chla,wqp,wqp:21SC60WQ_WQX-PD-327,2024-04,3,test,0,0.22839442238947819,0.5733857284683814,0.25719591457753027,0.135593220338983,1,0.6950130042040986,0.0006026653621235667,0.15258540044708285,"DOb,Tw"
ablate_light,,observable_no_current_chla,wqp,wqp:21SC60WQ_WQX-CL-089,2024-06,3,test,0,0.6684938186636716,0.5733857284683814,0.25719591457753027,0.135593220338983,1,0.6950130042040986,0.0006009619552210133,0.15258514068860593,"DOb,Tw"
ablate_light,,observable_no_current_chla,wqp,wqp:21SC60WQ_WQX-PD-327,2021-05,3,validation,0,0.6475461520495154,0.5733857284683814,0.25719591457753027,0.135593220338983,1,0.6950130042040986,0.0006035061927648133,0.15258552866828845,"DOb,Tw"
ablate_physicochemical,,observable_no_current_chla,wqp,wqp:CAPECRD_WQX-290,2021-03,3,validation,0,0.8954255877972012,0.5733856771318614,0.25719591457753027,0.135593220338983,1,0.6950129419780138,0.10474104997274887,0.16846586135365435,"Secchi,TN,TP,Turb"
ablate_physicochemical,,observable_no_current_chla,wqp,wqp:CAPECRD_WQX-262,2019-12,3,validation,0,0.0,0.5733856763521812,0.25719591457753027,0.135593220338983,1,0.6950129410329469,0.10389254290519556,0.16833647003815855,"Secchi,TN,TP,Turb"
ablate_physicochemical,,observable_no_current_chla,wqp,wqp:CAPECRD_WQX-262,2021-04,3,validation,0,0.8954255877972012,0.5733856731555214,0.25719591457753027,0.135593220338983,1,0.6950129371582077,0.08543770610050128,0.16552222894066226,"Secchi,TN,TP,Turb"
ablate_physicochemical,,observable_no_current_chla,wqp,wqp:CAPECRD_WQX-262,2021-03,3,validation,0,0.8954255877972012,0.5733856714818123,0.25719591457753027,0.135593220338983,1,0.6950129351294695,0.08543770610050128,0.16552223004169672,"Secchi,TN,TP,Turb"
ablate_physicochemical,,observable_no_current_chla,wqp,wqp:21DELAWQ_WQX-108111,2023-03,3,test,0,0.6896651638708362,0.5733856702889865,0.25719591457753027,0.135593220338983,1,0.6950129336836199,0.07631832042057862,0.1641315834838229,"Secchi,TN,TP,Turb"
random_dropout_mcar_10,20260612,observable_no_current_chla,wqp,wqp:21FLHESD_WQX-BEAUDETTE POND WEST,2023-12,3,test,1,1.0,0.5733857284683814,0.25719591457753027,0.135593220338983,1,0.6950130042040986,0.005470069209782613,0.15332764788549433,"DOb,Turb,Tw"
random_dropout_mcar_10,20260612,observable_no_current_chla,wqp,wqp:21FLHESD_WQX-BEAUDETTE POND INLET,2023-02,3,test,1,1.0,0.5733857284683814,0.25719591457753027,0.135593220338983,1,0.6950130042040986,0.00587260839279431,0.15338903249355273,"DOb,Turb,Tw"
random_dropout_mcar_10,20260612,observable_no_current_chla,wqp,wqp:21FLCOLL_WQX-LKTRAF8,2023-06,3,test,1,1.0,0.5733857284683814,0.25719591457753027,0.135593220338983,1,0.6950130042040986,0.010907618028201704,0.15415683872480593,"DOb,Secchi,Turb,Tw"
random_dropout_mcar_10,20260612,observable_no_current_chla,wqp,wqp:21NC03WQ-NEU019P,2023-06,3,test,1,1.0,0.5733857284683814,0.25719591457753027,0.135593220338983,1,0.6950130042040986,0.01715921499796964,0.15511016661417404,"DOb,Secchi,Turb,Tw"
random_dropout_mcar_10,20260612,observable_no_current_chla,wqp,wqp:21NC03WQ-CPF055E,2023-05,3,test,1,1.0,0.5733857284683814,0.25719591457753027,0.135593220338983,1,0.6950130042040986,0.01754901079146145,0.15516960793818954,"DOb,Secchi,Tw"
random_dropout_mcar_10,20260613,observable_no_current_chla,wqp,wqp:21NC03WQ-CPF0880A,2023-08,3,test,0,0.6114254494800293,0.5733857284683814,0.25719591457753027,0.135593220338983,1,0.6950130042040986,0.017180398623099856,0.15511339697926832,"DOb,Secchi,Turb,Tw"
random_dropout_mcar_10,20260613,observable_no_current_chla,wqp,wqp:21FLSJWM_WQX-44678,2023-07,3,test,0,0.0,0.5733857284683814,0.25719591457753027,0.135593220338983,1,0.6950130042040986,0.02605127748601126,0.15646614832650269,"DOb,Secchi,Turb,Tw"
random_dropout_mcar_10,20260613,observable_no_current_chla,wqp,wqp:21FLCOLL_WQX-LKTRAF8,2023-11,3,test,1,1.0,0.5733857284683814,0.25719591457753027,0.135593220338983,1,0.6950130042040986,0.030029843767971,0.15707285381545755,"DOb,Secchi,Turb,Tw"
random_dropout_mcar_10,20260613,observable_no_current_chla,wqp,wqp:21NC03WQ-NEU020D,2023-07,3,test,1,1.0,0.5733857284683814,0.25719591457753027,0.135593220338983,1,0.6950130042040986,0.01620759004338046,0.15496504999616179,"DOb,Secchi,Turb,Tw"
