record_type,profile,selected,best_epoch,probabilistic_validation_loss,epochs_ran,time_role,target,rows,rmse,mae,nll,interval_90_coverage,interval_90_mean_width
profile_selection,v2_primary,True,55,-1.8697893018797627,60,model_selection,all,1016,,,,,
profile_selection,legacy_diagnostic,False,20,-1.361877202987671,20,model_selection,all,1016,,,,,
selected_profile_metric,v2_primary,True,55,-1.8697893018797627,60,training,all,7909,0.12954402169685625,0.08460485077579549,-1.646159218588934,0.9128278613674996,0.4125809450774279
selected_profile_metric,v2_primary,True,55,-1.8697893018797627,60,training,yN,7909,0.12540928750140873,0.08615765057316711,-1.5938631261038652,0.9026425591098748,0.4043826388866595
selected_profile_metric,v2_primary,True,55,-1.8697893018797627,60,training,yF,7909,0.1574064841430398,0.10562089246479053,-1.3722252772812717,0.8963206473637628,0.4929642618825394
selected_profile_metric,v2_primary,True,55,-1.8697893018797627,60,training,yT,7909,0.18670355608058634,0.12442220069768532,-1.2667083682355544,0.8955620179542294,0.5865534503747214
selected_profile_metric,v2_primary,True,55,-1.8697893018797627,60,training,sigma_N,7909,0.07924690938246243,0.04191917516380635,-2.066560674578852,0.9379188266531799,0.2503035146588094
selected_profile_metric,v2_primary,True,55,-1.8697893018797627,60,training,sigma_F,7909,0.06165970747980843,0.039805047776428064,-2.3009273284514675,0.9111139208496649,0.20463816437411964
selected_profile_metric,v2_primary,True,55,-1.8697893018797627,60,training,sigma_T,7909,0.08738287989601289,0.047323746994120806,-1.9748167780018708,0.9690226324440511,0.28606397527737387
selected_profile_metric,v2_primary,True,55,-1.8697893018797627,60,training,delta_yN,7909,0.12502822504259756,0.08643527072545233,-1.5965034850464561,0.9049184473384752,0.40659720931738663
selected_profile_metric,v2_primary,True,55,-1.8697893018797627,60,training,delta_yF,7909,0.15547404169872037,0.10527129347518205,-1.3808196508292077,0.9052977620432419,0.4942740588562575
selected_profile_metric,v2_primary,True,55,-1.8697893018797627,60,training,delta_yT,7909,0.1875851040470697,0.12448837911152692,-1.26300827877186,0.8926539385510178,0.5874512320689839
selected_profile_metric,v2_primary,True,55,-1.8697893018797627,60,model_selection,all,1016,0.1279338498936698,0.0852216892042185,-1.5917363070857597,0.9137139107611549,0.4102791980599898
selected_profile_metric,v2_primary,True,55,-1.8697893018797627,60,model_selection,yN,1016,0.12362744668640636,0.08781126728208047,-1.5964853481983576,0.90748031496063,0.4091526391937977
selected_profile_metric,v2_primary,True,55,-1.8697893018797627,60,model_selection,yF,1016,0.1326052916474711,0.09718457169420137,-1.525446854238435,0.9232283464566929,0.48783975135623003
selected_profile_metric,v2_primary,True,55,-1.8697893018797627,60,model_selection,yT,1016,0.18223426066568352,0.12432635299802765,-1.2222918412816806,0.8779527559055118,0.5764665378360297
selected_profile_metric,v2_primary,True,55,-1.8697893018797627,60,model_selection,sigma_N,1016,0.11803894906298133,0.054727011778223235,-1.4875870952456016,0.9232283464566929,0.2555747520266555
selected_profile_metric,v2_primary,True,55,-1.8697893018797627,60,model_selection,sigma_F,1016,0.06092692906762686,0.04213113296689011,-2.2968182901697833,0.9192913385826772,0.2038202586136465
selected_profile_metric,v2_primary,True,55,-1.8697893018797627,60,model_selection,sigma_T,1016,0.09172076295541827,0.04728011822137307,-1.8780683983029343,0.9665354330708661,0.28300638273945006
selected_profile_metric,v2_primary,True,55,-1.8697893018797627,60,model_selection,delta_yN,1016,0.12462388358282174,0.08947070189348356,-1.5876566969503567,0.905511811023622,0.41271140631728287
selected_profile_metric,v2_primary,True,55,-1.8697893018797627,60,model_selection,delta_yF,1016,0.1350417033850996,0.09880369291530819,-1.5100055003729391,0.9163385826771654,0.48958629698265255
selected_profile_metric,v2_primary,True,55,-1.8697893018797627,60,model_selection,delta_yT,1016,0.18258542198951921,0.1252603530883789,-1.2212667390117495,0.8838582677165354,0.5743547574741634
