split,target,pipe_rows,pipe_rmse,pipe_mae,persistence_rows,persistence_rmse,persistence_mae,rmse_delta_pipe_minus_persistence,mae_delta_pipe_minus_persistence,rmse_relative_improvement,mae_relative_improvement
test,all,17420,0.11347151021489271,0.060973855794913184,17420,0.1502124247613828,0.07370182161410603,-0.03674091454649009,-0.012727965819192846,0.24459304618012923,0.17269540345739295
test,delta_yF,17420,0.09806521320716394,0.05092537263504537,17420,0.1630622050559579,0.06900768979213148,-0.06499699184879396,-0.018082317157086115,0.39860243412315566,0.26203336485476625
test,delta_yN,17420,0.08363410714183943,0.03911051985590658,17420,0.14935259401327203,0.06141122394188189,-0.0657184868714326,-0.022300704085975315,0.44002240005012977,0.3631372679867147
test,delta_yT,17420,0.2149256434316039,0.15025503200176252,17420,0.385113285932532,0.23094663542988667,-0.17018764250092813,-0.08069160342812415,0.44191579132053965,0.34939501620330554
test,sigma_F,17420,0.05149793990389392,0.0174741983687426,17420,0.05149794458534569,0.017474223848094387,-4.681451774846135e-09,-2.5479351788149085e-08,9.090560434092147e-08,1.4581106439773393e-06
test,sigma_N,17420,0.09624982392778761,0.027819940608623518,17420,0.09624982610397069,0.027819951371538407,-2.1761830809596816e-09,-1.0762914889189679e-08,2.260973519691279e-08,3.8687755939792297e-07
test,sigma_T,17420,0.07651730907793822,0.042616839140619395,17420,0.0765173030200839,0.04261684134199844,6.0578543153999576e-09,-2.201379044330931e-09,-7.91697312411798e-08,5.165514324876761e-08
test,yF,17420,0.09907833185221333,0.04070764973024003,17420,0.09907832230036724,0.04070776553874907,9.551846091859773e-09,-1.1580850904635565e-07,-9.640702295000779e-08,2.8448751120009123e-06
test,yN,17420,0.08160640314269726,0.03544544106099143,17420,0.0906855726973068,0.03643796115919285,-0.009079169554609537,-0.000992520098201423,0.10011702285780649,0.02723862879882955
test,yT,17420,0.21966882024889683,0.14440970875228723,17420,0.24035476914360895,0.13689410210348102,-0.02068594889471212,0.007515606648806211,0.08606423316839835,-0.054900879828445874
train,all,378557,0.0996592626696038,0.05259036189011209,378557,0.13554656028138215,0.06451877807387668,-0.03588729761177835,-0.011928416183764591,0.26475992852404096,0.18488285953131442
train,delta_yF,378557,0.08439539408711685,0.037764598448486994,378557,0.14689128304428692,0.04906364164059999,-0.062495888957170065,-0.011299043192112994,0.42545675728305743,0.230293610793926
train,delta_yN,378557,0.04013804546293028,0.009663566950644102,378557,0.07282056873303237,0.01164747379480895,-0.03268252327010209,-0.001983906844164848,0.44880895382621294,0.1703293674761506
train,delta_yT,378557,0.2392833461982983,0.16883479169419632,378557,0.43686240294733136,0.26703906107607217,-0.19757905674903306,-0.09820426938187585,0.4522683925557527,0.3677524515932151
train,sigma_F,378557,0.045884957322062866,0.012699038479860513,378557,0.04588496612695152,0.01269906253216614,-8.80488865151463e-09,-2.4052305626354187e-08,1.9189049038750168e-07,1.894022142613347e-06
