evaluation_cohort,estimand,comparison_id,comparison_tier,challenger,reference,horizon_months,metric,direction,estimate,challenger_estimate,reference_estimate,shared_success_rows,shared_success_clusters,bootstrap_replicates,valid_replicates,invalid_replicates,valid_replicate_fraction,ci95_lower,ci95_upper,interval_status,site_improvement_numerator,site_improvement_denominator,proportion_sites_challenger_better,registered_hypothesis_id,holm_family,raw_p_value,holm_p_value,p_value_status,holm_universe_retained,result_state,adjudication,seed_pseudoreplication
fresh_primary,site_weighted,P1_vs_B2,primary,P1,B2,3,pr_auc,higher_is_better,-0.129610659481755,0.40010691403515697,0.529717573516912,885,86,2000,2000,0,1.0,-0.2302197768406213,0.0010933031209549992,available,14,30,0.4666666666666667,,,,,not_computed_not_predeclared,False,confirmatory_available,inconclusive,False
fresh_primary,site_weighted,P1_vs_P0,primary,P1,P0,1,brier,lower_is_better,0.0014478094358833515,0.15139168277211176,0.1499438733362284,966,89,2000,2000,0,1.0,-0.003153784622873326,0.006274871612953109,available,24,89,0.2696629213483146,,,,,not_computed_not_predeclared,False,confirmatory_available,inconclusive,False
fresh_primary,site_weighted,P1_vs_P0,primary,P1,P0,1,pr_auc,higher_is_better,-0.04583380627373834,0.35682269024958857,0.4026564965233269,966,89,2000,2000,0,1.0,-0.085681889617209,-0.0048240123162096695,available,8,30,0.26666666666666666,,,,,not_computed_not_predeclared,False,confirmatory_available,inferior,False
fresh_primary,site_weighted,P1_vs_P0,primary,P1,P0,2,brier,lower_is_better,-0.0038354809486410985,0.12126288574410378,0.12509836669274488,933,88,2000,2000,0,1.0,-0.014816940730409584,0.004153715508580154,available,26,88,0.29545454545454547,,,,,not_computed_not_predeclared,False,confirmatory_available,descriptively_favorable,False
fresh_primary,site_weighted,P1_vs_P0,primary,P1,P0,2,pr_auc,higher_is_better,-0.04454403446332267,0.43426948859073833,0.478813523054061,933,88,2000,2000,0,1.0,-0.11387205738124867,0.0464659746071553,available,3,30,0.1,,,,,not_computed_not_predeclared,False,confirmatory_available,inconclusive,False
fresh_primary,site_weighted,P1_vs_P0,primary,P1,P0,3,brier,lower_is_better,0.005088340335973315,0.12983472961357456,0.12474638927760125,885,86,2000,2000,0,1.0,-0.0012770212871831045,0.013378032752770948,available,27,86,0.313953488372093,,,,,not_computed_not_predeclared,False,confirmatory_available,inconclusive,False
fresh_primary,site_weighted,P1_vs_P0,primary,P1,P0,3,pr_auc,higher_is_better,-0.05551094938736645,0.40010691403515697,0.4556178634225234,885,86,2000,2000,0,1.0,-0.12884496563470801,0.014513005077089405,available,8,30,0.26666666666666666,,,,,not_computed_not_predeclared,False,confirmatory_available,inconclusive,False
legacy_posthoc,observation_weighted,P1_vs_B2,primary,P1,B2,1,brier,lower_is_better,0.09468032901711546,0.24833562524851233,0.15365529623139687,635,32,2000,2000,0,1.0,0.03747507907496289,0.15708179544275816,available,9,32,0.28125,,,,,not_computed_not_predeclared,False,posthoc_available,inferior,False
legacy_posthoc,observation_weighted,P1_vs_B2,primary,P1,B2,1,pr_auc,higher_is_better,-0.1963445585192497,0.47756280843898136,0.6739073669582311,635,32,2000,2000,0,1.0,-0.323597843510353,-0.07864392162712702,available,10,19,0.5263157894736842,,,,,not_computed_not_predeclared,False,posthoc_available,inferior,False
legacy_posthoc,observation_weighted,P1_vs_B2,primary,P1,B2,2,brier,lower_is_better,0.08550083040169845,0.24932841418920765,0.1638275837875092,625,33,2000,2000,0,1.0,0.02433590893634342,0.1510022392422561,available,11,33,0.3333333333333333,,,,,not_computed_not_predeclared,False,posthoc_available,inferior,False
