model_id,model_seed,seed_slot,horizon_months,metric,legacy_value,heldout_value,delta_name,delta,estimable,not_estimable_reason
A0,20260612,20260612,2,pr_auc,,0.56758044577057132,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260612,20260612,2,prediction_availability_rate,,0.13926024955436719,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260612,20260612,2,recall,,0.99514563106796117,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260612,20260612,2,rmse,,0.32916669305359908,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260612,20260612,3,brier,,0.1959684157734479,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260612,20260612,3,coverage,,,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260612,20260612,3,mae,,0.27968448465747675,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260612,20260612,3,pr_auc,,0.54282000210580816,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260612,20260612,3,prediction_availability_rate,,0.13569518716577539,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260612,20260612,3,recall,,0.99502487562189057,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260612,20260612,3,rmse,,0.33016382915421894,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260613,20260613,1,brier,,0.1650827158013182,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260613,20260613,1,coverage,,,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260613,20260613,1,mae,,0.26639621153589987,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260613,20260613,1,pr_auc,,0.6046453601562809,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260613,20260613,1,prediction_availability_rate,,0.14148841354723707,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260613,20260613,1,recall,,0.95169082125603865,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260613,20260613,1,rmse,,0.3118655327648292,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260613,20260613,2,brier,,0.16576472819273844,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260613,20260613,2,coverage,,,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260613,20260613,2,mae,,0.26780332163357107,error_increase,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260613,20260613,2,pr_auc,,0.60845982625281558,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260613,20260613,2,prediction_availability_rate,,0.13926024955436719,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
A0,20260613,20260613,2,recall,,0.99514563106796117,location_transfer_gap,,False,legacy_evaluation_surface_not_frozen_before_e0_u
