evaluation_cohort,model_id,base_seed,aggregation_level,horizon_months,coverage_nominal,rows,picp,mpiw,winkler,status,interval_method,inference_performed
fresh_primary,B2,20260614,seed,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,B2,20260614,seed,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,B2,20260614,seed,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,M0,-1,family,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,M0,-1,family,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,M0,-1,family,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,P0,-1,family,1,0.9,966,0.2225672877846791,0.4427472617625208,5.071835118088889,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,P0,-1,family,2,0.9,933,0.22615219721329047,0.4301652985708817,5.180259452404407,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,P0,-1,family,3,0.9,885,0.20677966101694914,0.40317534647143594,5.369876824170794,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,P0,1729,seed,1,0.9,966,0.2515527950310559,0.4607700779081412,4.812603874404565,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,P0,1729,seed,2,0.9,933,0.2540192926045016,0.4471825852435482,4.932071871279692,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,P0,1729,seed,3,0.9,885,0.2519774011299435,0.43114133641990193,5.032769142484859,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,P0,314159,seed,1,0.9,966,0.22153209109730848,0.42945057357095184,5.2261861481684395,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,P0,314159,seed,2,0.9,933,0.2647374062165059,0.43945894224177245,5.140770391658562,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,P0,314159,seed,3,0.9,885,0.23954802259887006,0.4126438752377999,5.3286750062333175,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,P0,20260612,seed,1,0.9,966,0.2329192546583851,0.4282840161682013,5.251231123909787,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,P0,20260612,seed,2,0.9,933,0.2454448017148982,0.4199827124589936,5.359881608712781,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,P0,20260612,seed,3,0.9,885,0.23954802259887006,0.39723874648327884,5.536748801474545,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,P0,20260613,seed,1,0.9,966,0.2587991718426501,0.46520966097835914,4.863862994401177,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,P0,20260613,seed,2,0.9,933,0.2529474812433012,0.44807324048082464,4.994237688271057,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,P0,20260613,seed,3,0.9,885,0.23389830508474577,0.406621413949435,5.271466288463723,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,P0,20260614,seed,1,0.9,966,0.2412008281573499,0.4300219801869506,5.21431969599721,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,P0,20260614,seed,2,0.9,933,0.2304394426580922,0.3961290124292702,5.485912437513892,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,P0,20260614,seed,3,0.9,885,0.2192090395480226,0.36823136026676384,5.699307820143483,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,P1,-1,family,1,0.9,966,0.12836438923395446,0.40077408508155327,5.314129691238273,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,P1,-1,family,2,0.9,933,0.10932475884244373,0.3348155685325485,5.853696853870421,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,P1,-1,family,3,0.9,885,0.09717514124293786,0.3036577611645287,6.08955554757884,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,P1,1729,seed,1,0.9,966,0.12215320910973085,0.37955352037198964,5.495288619186299,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,P1,1729,seed,2,0.9,933,0.09753483386923902,0.2949062784512838,6.166577285200262,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,P1,1729,seed,3,0.9,885,0.08926553672316384,0.2856032500664392,6.214208937583513,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,P1,314159,seed,1,0.9,966,0.13664596273291926,0.41176345492947763,5.058844219839271,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,P1,314159,seed,2,0.9,933,0.12218649517684887,0.3664422233899434,5.360680307855995,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,P1,314159,seed,3,0.9,885,0.11864406779661017,0.3513483799895773,5.417280423323287,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,P1,20260612,seed,1,0.9,966,0.13146997929606624,0.37960881879199687,5.534652077320359,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,P1,20260612,seed,2,0.9,933,0.10932475884244373,0.3437355961510862,5.851588886532266,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,P1,20260612,seed,3,0.9,885,0.1016949152542373,0.32315897941589355,6.004798669225992,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,P1,20260613,seed,1,0.9,966,0.14492753623188406,0.4095710437253806,5.314114193620423,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,P1,20260613,seed,2,0.9,933,0.1082529474812433,0.3170481721560159,6.086645704104829,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,P1,20260613,seed,3,0.9,885,0.07570621468926554,0.24146766463915503,6.687271459094238,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,P1,20260614,seed,1,0.9,966,0.15734989648033126,0.4233735875889217,5.178644535734006,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,P1,20260614,seed,2,0.9,933,0.11146838156484459,0.35194557251441305,5.817670129506535,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
fresh_primary,P1,20260614,seed,3,0.9,885,0.09830508474576272,0.31671053171157837,6.146417756233285,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,A0,-1,family,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,A0,-1,family,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,A0,-1,family,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,A1,-1,family,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,A1,-1,family,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,A1,-1,family,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,A1,1729,seed,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,A1,1729,seed,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,A1,1729,seed,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,A1,314159,seed,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,A1,314159,seed,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,A1,314159,seed,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,A1,20260612,seed,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,A1,20260612,seed,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,A1,20260612,seed,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,A1,20260613,seed,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,A1,20260613,seed,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,A1,20260613,seed,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,A1,20260614,seed,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,A1,20260614,seed,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,A1,20260614,seed,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,B1,-1,family,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,B1,-1,family,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,B1,-1,family,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,B1,1729,seed,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,B1,1729,seed,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
