evaluation_cohort,model_id,horizon_months,chlorophyll_cutoff_ugL,primary_endpoint,metric,estimate,rows,interpretation,inference_performed
fresh_primary,A1,1,50.0,False,brier,0.3519760692392543,966,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,A1,1,50.0,False,f2,0.27096114519427406,966,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,A1,1,50.0,False,recall,0.7066666666666667,966,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,A1,1,50.0,False,precision,0.07817109144542773,966,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,A1,1,50.0,False,macro_f1,0.29600005406702284,966,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,A1,2,25.0,False,brier,0.31842887434311556,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,A1,2,25.0,False,f2,0.49786628733997157,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,A1,2,25.0,False,recall,0.7407407407407407,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,A1,2,25.0,False,precision,0.2153846153846154,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,A1,2,25.0,False,macro_f1,0.39471341711802777,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,A1,2,30.0,True,brier,0.32539505087833726,933,primary_calibrated_endpoint,False
fresh_primary,A1,2,30.0,True,f2,0.4641185647425897,933,primary_calibrated_endpoint,False
fresh_primary,A1,2,30.0,True,recall,0.7531645569620253,933,primary_calibrated_endpoint,False
fresh_primary,A1,2,30.0,True,precision,0.18307692307692308,933,primary_calibrated_endpoint,False
fresh_primary,A1,2,30.0,True,macro_f1,0.3779010462482921,933,primary_calibrated_endpoint,False
fresh_primary,A1,2,33.0,False,brier,0.3309023074106416,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,A1,2,33.0,False,f2,0.43657331136738053,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,A1,2,33.0,False,recall,0.75177304964539,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,A1,2,33.0,False,precision,0.16307692307692306,933,predeclared_endpoint_sensitivity_without_recalibration,False
