evaluation_cohort,model_id,base_seed,aggregation_level,horizon_months,attempted,input_eligible,prediction_successful,target_available,metric_evaluable,shared_success,success_rate,evaluable_rate,abstention_rate,failure_rate
fresh_primary,M0,-1,family,1,2286,2286,2286,966,966,966,1.0,0.4225721784776903,0.0,0.0
fresh_primary,M0,-1,family,2,2286,2286,2286,933,933,933,1.0,0.40813648293963256,0.0,0.0
fresh_primary,M0,-1,family,3,2286,2286,2286,885,885,885,1.0,0.38713910761154857,0.0,0.0
fresh_primary,P0,-1,family,1,2286,2286,2286,966,966,966,1.0,0.4225721784776903,0.0,0.0
fresh_primary,P0,-1,family,2,2286,2286,2286,933,933,933,1.0,0.40813648293963256,0.0,0.0
fresh_primary,P0,-1,family,3,2286,2286,2286,885,885,885,1.0,0.38713910761154857,0.0,0.0
fresh_primary,P0,1729,seed,1,2286,2286,2286,966,966,966,1.0,0.4225721784776903,0.0,0.0
fresh_primary,P0,1729,seed,2,2286,2286,2286,933,933,933,1.0,0.40813648293963256,0.0,0.0
fresh_primary,P0,1729,seed,3,2286,2286,2286,885,885,885,1.0,0.38713910761154857,0.0,0.0
fresh_primary,P0,314159,seed,1,2286,2286,2286,966,966,966,1.0,0.4225721784776903,0.0,0.0
fresh_primary,P0,314159,seed,2,2286,2286,2286,933,933,933,1.0,0.40813648293963256,0.0,0.0
fresh_primary,P0,314159,seed,3,2286,2286,2286,885,885,885,1.0,0.38713910761154857,0.0,0.0
fresh_primary,P0,20260612,seed,1,2286,2286,2286,966,966,966,1.0,0.4225721784776903,0.0,0.0
fresh_primary,P0,20260612,seed,2,2286,2286,2286,933,933,933,1.0,0.40813648293963256,0.0,0.0
fresh_primary,P0,20260612,seed,3,2286,2286,2286,885,885,885,1.0,0.38713910761154857,0.0,0.0
fresh_primary,P0,20260613,seed,1,2286,2286,2286,966,966,966,1.0,0.4225721784776903,0.0,0.0
fresh_primary,P0,20260613,seed,2,2286,2286,2286,933,933,933,1.0,0.40813648293963256,0.0,0.0
fresh_primary,P0,20260613,seed,3,2286,2286,2286,885,885,885,1.0,0.38713910761154857,0.0,0.0
fresh_primary,P0,20260614,seed,1,2286,2286,2286,966,966,966,1.0,0.4225721784776903,0.0,0.0
fresh_primary,P0,20260614,seed,2,2286,2286,2286,933,933,933,1.0,0.40813648293963256,0.0,0.0
fresh_primary,P0,20260614,seed,3,2286,2286,2286,885,885,885,1.0,0.38713910761154857,0.0,0.0
fresh_primary,P1,-1,family,1,2286,2286,2286,966,966,966,1.0,0.4225721784776903,0.0,0.0
fresh_primary,P1,-1,family,2,2286,2286,2286,933,933,933,1.0,0.40813648293963256,0.0,0.0
fresh_primary,P1,-1,family,3,2286,2286,2286,885,885,885,1.0,0.38713910761154857,0.0,0.0
fresh_primary,P1,1729,seed,1,2286,2286,2286,966,966,966,1.0,0.4225721784776903,0.0,0.0
fresh_primary,P1,1729,seed,2,2286,2286,2286,933,933,933,1.0,0.40813648293963256,0.0,0.0
fresh_primary,P1,1729,seed,3,2286,2286,2286,885,885,885,1.0,0.38713910761154857,0.0,0.0
fresh_primary,P1,314159,seed,1,2286,2286,2286,966,966,966,1.0,0.4225721784776903,0.0,0.0
fresh_primary,P1,314159,seed,2,2286,2286,2286,933,933,933,1.0,0.40813648293963256,0.0,0.0
fresh_primary,P1,314159,seed,3,2286,2286,2286,885,885,885,1.0,0.38713910761154857,0.0,0.0
fresh_primary,P1,20260612,seed,1,2286,2286,2286,966,966,966,1.0,0.4225721784776903,0.0,0.0
fresh_primary,P1,20260612,seed,2,2286,2286,2286,933,933,933,1.0,0.40813648293963256,0.0,0.0
fresh_primary,P1,20260612,seed,3,2286,2286,2286,885,885,885,1.0,0.38713910761154857,0.0,0.0
fresh_primary,P1,20260613,seed,1,2286,2286,2286,966,966,966,1.0,0.4225721784776903,0.0,0.0
fresh_primary,P1,20260613,seed,2,2286,2286,2286,933,933,933,1.0,0.40813648293963256,0.0,0.0
fresh_primary,P1,20260613,seed,3,2286,2286,2286,885,885,885,1.0,0.38713910761154857,0.0,0.0
fresh_primary,P1,20260614,seed,1,2286,2286,2286,966,966,966,1.0,0.4225721784776903,0.0,0.0
fresh_primary,P1,20260614,seed,2,2286,2286,2286,933,933,933,1.0,0.40813648293963256,0.0,0.0
fresh_primary,P1,20260614,seed,3,2286,2286,2286,885,885,885,1.0,0.38713910761154857,0.0,0.0
legacy_posthoc,A0,-1,family,1,4488,804,804,827,635,635,0.17914438502673796,0.14148841354723707,0.820855614973262,0.820855614973262
legacy_posthoc,A0,-1,family,2,4488,804,804,858,625,625,0.17914438502673796,0.1392602495543672,0.820855614973262,0.820855614973262
legacy_posthoc,A0,-1,family,3,4488,804,804,819,609,609,0.17914438502673796,0.1356951871657754,0.820855614973262,0.820855614973262
legacy_posthoc,A1,-1,family,1,4488,804,804,827,635,635,0.17914438502673796,0.14148841354723707,0.820855614973262,0.820855614973262
legacy_posthoc,A1,-1,family,2,4488,804,804,858,625,625,0.17914438502673796,0.1392602495543672,0.820855614973262,0.820855614973262
legacy_posthoc,A1,-1,family,3,4488,804,804,819,609,609,0.17914438502673796,0.1356951871657754,0.820855614973262,0.820855614973262
legacy_posthoc,A1,1729,seed,1,4488,804,804,827,635,635,0.17914438502673796,0.14148841354723707,0.820855614973262,0.820855614973262
legacy_posthoc,A1,1729,seed,2,4488,804,804,858,625,625,0.17914438502673796,0.1392602495543672,0.820855614973262,0.820855614973262
legacy_posthoc,A1,1729,seed,3,4488,804,804,819,609,609,0.17914438502673796,0.1356951871657754,0.820855614973262,0.820855614973262
legacy_posthoc,A1,314159,seed,1,4488,804,804,827,635,635,0.17914438502673796,0.14148841354723707,0.820855614973262,0.820855614973262
legacy_posthoc,A1,314159,seed,2,4488,804,804,858,625,625,0.17914438502673796,0.1392602495543672,0.820855614973262,0.820855614973262
legacy_posthoc,A1,314159,seed,3,4488,804,804,819,609,609,0.17914438502673796,0.1356951871657754,0.820855614973262,0.820855614973262
legacy_posthoc,A1,20260612,seed,1,4488,804,804,827,635,635,0.17914438502673796,0.14148841354723707,0.820855614973262,0.820855614973262
legacy_posthoc,A1,20260612,seed,2,4488,804,804,858,625,625,0.17914438502673796,0.1392602495543672,0.820855614973262,0.820855614973262
legacy_posthoc,A1,20260612,seed,3,4488,804,804,819,609,609,0.17914438502673796,0.1356951871657754,0.820855614973262,0.820855614973262
legacy_posthoc,A1,20260613,seed,1,4488,804,804,827,635,635,0.17914438502673796,0.14148841354723707,0.820855614973262,0.820855614973262
legacy_posthoc,A1,20260613,seed,2,4488,804,804,858,625,625,0.17914438502673796,0.1392602495543672,0.820855614973262,0.820855614973262
legacy_posthoc,A1,20260613,seed,3,4488,804,804,819,609,609,0.17914438502673796,0.1356951871657754,0.820855614973262,0.820855614973262
legacy_posthoc,A1,20260614,seed,1,4488,804,804,827,635,635,0.17914438502673796,0.14148841354723707,0.820855614973262,0.820855614973262
legacy_posthoc,A1,20260614,seed,2,4488,804,804,858,625,625,0.17914438502673796,0.1392602495543672,0.820855614973262,0.820855614973262
legacy_posthoc,A1,20260614,seed,3,4488,804,804,819,609,609,0.17914438502673796,0.1356951871657754,0.820855614973262,0.820855614973262
legacy_posthoc,B1,-1,family,1,4488,804,804,827,635,635,0.17914438502673796,0.14148841354723707,0.820855614973262,0.820855614973262
legacy_posthoc,B1,-1,family,2,4488,804,804,858,625,625,0.17914438502673796,0.1392602495543672,0.820855614973262,0.820855614973262
legacy_posthoc,B1,-1,family,3,4488,804,804,819,609,609,0.17914438502673796,0.1356951871657754,0.820855614973262,0.820855614973262
legacy_posthoc,B1,1729,seed,1,4488,804,804,827,635,635,0.17914438502673796,0.14148841354723707,0.820855614973262,0.820855614973262
legacy_posthoc,B1,1729,seed,2,4488,804,804,858,625,625,0.17914438502673796,0.1392602495543672,0.820855614973262,0.820855614973262
legacy_posthoc,B1,1729,seed,3,4488,804,804,819,609,609,0.17914438502673796,0.1356951871657754,0.820855614973262,0.820855614973262
legacy_posthoc,B1,314159,seed,1,4488,804,804,827,635,635,0.17914438502673796,0.14148841354723707,0.820855614973262,0.820855614973262
legacy_posthoc,B1,314159,seed,2,4488,804,804,858,625,625,0.17914438502673796,0.1392602495543672,0.820855614973262,0.820855614973262
legacy_posthoc,B1,314159,seed,3,4488,804,804,819,609,609,0.17914438502673796,0.1356951871657754,0.820855614973262,0.820855614973262
legacy_posthoc,B1,20260612,seed,1,4488,804,804,827,635,635,0.17914438502673796,0.14148841354723707,0.820855614973262,0.820855614973262
legacy_posthoc,B1,20260612,seed,2,4488,804,804,858,625,625,0.17914438502673796,0.1392602495543672,0.820855614973262,0.820855614973262
legacy_posthoc,B1,20260612,seed,3,4488,804,804,819,609,609,0.17914438502673796,0.1356951871657754,0.820855614973262,0.820855614973262
legacy_posthoc,B1,20260613,seed,1,4488,804,804,827,635,635,0.17914438502673796,0.14148841354723707,0.820855614973262,0.820855614973262
legacy_posthoc,B1,20260613,seed,2,4488,804,804,858,625,625,0.17914438502673796,0.1392602495543672,0.820855614973262,0.820855614973262
legacy_posthoc,B1,20260613,seed,3,4488,804,804,819,609,609,0.17914438502673796,0.1356951871657754,0.820855614973262,0.820855614973262
legacy_posthoc,B1,20260614,seed,1,4488,804,804,827,635,635,0.17914438502673796,0.14148841354723707,0.820855614973262,0.820855614973262
legacy_posthoc,B1,20260614,seed,2,4488,804,804,858,625,625,0.17914438502673796,0.1392602495543672,0.820855614973262,0.820855614973262
legacy_posthoc,B1,20260614,seed,3,4488,804,804,819,609,609,0.17914438502673796,0.1356951871657754,0.820855614973262,0.820855614973262
legacy_posthoc,B2,-1,family,1,4488,804,1308,827,827,635,0.2914438502673797,0.18426916221033868,0.7085561497326203,0.7085561497326203
legacy_posthoc,B2,-1,family,2,4488,804,1308,858,858,625,0.2914438502673797,0.19117647058823528,0.7085561497326203,0.7085561497326203
legacy_posthoc,B2,-1,family,3,4488,804,1308,819,819,609,0.2914438502673797,0.1824866310160428,0.7085561497326203,0.7085561497326203
legacy_posthoc,B2,1729,seed,1,4488,804,1308,827,827,635,0.2914438502673797,0.18426916221033868,0.7085561497326203,0.7085561497326203
legacy_posthoc,B2,1729,seed,2,4488,804,1308,858,858,625,0.2914438502673797,0.19117647058823528,0.7085561497326203,0.7085561497326203
