source_id,site_id,site_id_source,site_name,split,horizon_months,origin_year_month,target_year_month,bloom_h,target_risk_chla_h,operational_evidence_band,has_tp,has_tn,has_temperature,has_light_proxy,has_physicochemical,has_current_chla_forbidden
aquamatch_chla,aquamatch_chla:1119USBR_WQX-EMM015,1119USBR_WQX-EMM015,,validation,2,2019-01,2019-03,False,0.0,season_only,False,False,False,False,False,True
aquamatch_chla,aquamatch_chla:1119USBR_WQX-EMM025,1119USBR_WQX-EMM025,,validation,2,2019-01,2019-03,False,0.0,season_only,False,False,False,False,False,True
aquamatch_chla,aquamatch_chla:11NPSWRD_WQX-PAIS_BAFF,11NPSWRD_WQX-PAIS_BAFF,,validation,2,2019-01,2019-03,False,0.0,season_only,False,False,False,False,False,True
aquamatch_chla,aquamatch_chla:11NPSWRD_WQX-PAIS_BIRD,11NPSWRD_WQX-PAIS_BIRD,,validation,2,2019-01,2019-03,False,0.032196760344150914,season_only,False,False,False,False,False,True
aquamatch_chla,aquamatch_chla:11NPSWRD_WQX-PAIS_BAFF,11NPSWRD_WQX-PAIS_BAFF,,validation,3,2019-01,2019-04,False,0.2605911827336292,season_only,False,False,False,False,False,True
aquamatch_chla,aquamatch_chla:11NPSWRD_WQX-PAIS_BIRD,11NPSWRD_WQX-PAIS_BIRD,,validation,3,2019-01,2019-04,False,0.13663253362064645,season_only,False,False,False,False,False,True
aquamatch_chla,aquamatch_chla:21AWIC-10409,21AWIC-10409,,validation,3,2019-01,2019-04,False,0.0,season_only,False,False,False,False,False,True
aquamatch_chla,aquamatch_chla:21AWIC-10449,21AWIC-10449,,validation,3,2019-01,2019-04,False,0.2966190110415376,season_only,False,False,False,False,False,True
aquamatch_chla,aquamatch_chla:21AWIC-10450,21AWIC-10450,,validation,3,2019-01,2019-04,False,0.0,season_only,False,False,False,False,False,True
lakebed_us_cse,lakebed_us_cse:BARC,BARC,Lake Barco,test,1,2022-01,2022-02,False,0.0,low,False,False,True,True,True,True
lakebed_us_cse,lakebed_us_cse:SUGG,SUGG,Lake Suggs,test,1,2022-01,2022-02,True,1.0,low,False,False,True,True,True,True
lakebed_us_cse,lakebed_us_cse:BARC,BARC,Lake Barco,test,1,2022-02,2022-03,False,0.0,low,False,False,True,True,True,True
lakebed_us_cse,lakebed_us_cse:SUGG,SUGG,Lake Suggs,test,1,2022-02,2022-03,True,1.0,low,False,False,True,True,True,True
lakebed_us_cse,lakebed_us_cse:BARC,BARC,Lake Barco,test,1,2022-03,2022-04,False,0.0,low,False,False,True,True,True,True
lakebed_us_cse,lakebed_us_cse:BARC,BARC,Lake Barco,test,2,2022-01,2022-03,False,0.0,low,False,False,True,True,True,True
lakebed_us_cse,lakebed_us_cse:SUGG,SUGG,Lake Suggs,test,2,2022-01,2022-03,True,1.0,low,False,False,True,True,True,True
lakebed_us_cse,lakebed_us_cse:BARC,BARC,Lake Barco,test,2,2022-02,2022-04,False,0.0,low,False,False,True,True,True,True
lakebed_us_cse,lakebed_us_cse:ME,ME,Lake Mendota,test,2,2022-02,2022-04,False,0.4431251329391838,low,False,False,True,True,True,True
lakebed_us_cse,lakebed_us_cse:SUGG,SUGG,Lake Suggs,test,2,2022-02,2022-04,True,1.0,low,False,False,True,True,True,True
lakebed_us_cse,lakebed_us_cse:BARC,BARC,Lake Barco,test,3,2022-01,2022-04,False,0.0,low,False,False,True,True,True,True
lakebed_us_cse,lakebed_us_cse:SUGG,SUGG,Lake Suggs,test,3,2022-01,2022-04,True,1.0,low,False,False,True,True,True,True
lakebed_us_cse,lakebed_us_cse:BARC,BARC,Lake Barco,test,3,2022-02,2022-05,False,0.0,low,False,False,True,True,True,True
lakebed_us_cse,lakebed_us_cse:ME,ME,Lake Mendota,test,3,2022-02,2022-05,False,0.0,low,False,False,True,True,True,True
lakebed_us_cse,lakebed_us_cse:MO,MO,Lake Monona,test,3,2022-02,2022-05,False,0.0,low,False,False,True,True,True,True
lakebed_us_cse,lakebed_us_cse:CB,CB,Crystal Bog,train,1,1981-07,1981-08,True,1.0,low,False,False,True,False,True,True
lakebed_us_cse,lakebed_us_cse:TB,TB,Trout Bog,train,1,1981-07,1981-08,True,1.0,low,False,False,True,False,True,True
lakebed_us_cse,lakebed_us_cse:BM,BM,Big Muskellunge Lake,train,1,1981-10,1981-11,False,0.5977377976415303,low,False,False,True,False,True,True
lakebed_us_cse,lakebed_us_cse:CR,CR,Crystal Lake,train,1,1981-12,1982-01,False,0.0,low,False,False,True,False,True,True
lakebed_us_cse,lakebed_us_cse:SP,SP,Sparkling Lake,train,1,1981-12,1982-01,False,0.030891336921586982,low,False,False,True,False,True,True
lakebed_us_cse,lakebed_us_cse:AL,AL,Allequash Lake,train,2,1981-05,1981-07,True,1.0,low,False,False,True,False,True,False
lakebed_us_cse,lakebed_us_cse:TR,TR,Trout Lake,train,2,1981-05,1981-07,False,0.22012108617935197,low,False,False,True,False,True,False
lakebed_us_cse,lakebed_us_cse:CB,CB,Crystal Bog,train,2,1981-07,1981-09,True,1.0,low,False,False,True,False,True,True
lakebed_us_cse,lakebed_us_cse:TB,TB,Trout Bog,train,2,1981-07,1981-09,True,1.0,low,False,False,True,False,True,True
lakebed_us_cse,lakebed_us_cse:CR,CR,Crystal Lake,train,2,1981-10,1981-12,False,0.0,low,False,False,True,False,True,True
lakebed_us_cse,lakebed_us_cse:AL,AL,Allequash Lake,train,3,1981-05,1981-08,True,1.0,low,False,False,True,False,True,False
lakebed_us_cse,lakebed_us_cse:TR,TR,Trout Lake,train,3,1981-05,1981-08,False,0.30299737442960245,low,False,False,True,False,True,False
lakebed_us_cse,lakebed_us_cse:CB,CB,Crystal Bog,train,3,1981-07,1981-10,True,1.0,low,False,False,True,False,True,True
lakebed_us_cse,lakebed_us_cse:TB,TB,Trout Bog,train,3,1981-07,1981-10,False,0.7461493812484568,low,False,False,True,False,True,True
lakebed_us_cse,lakebed_us_cse:AL,AL,Allequash Lake,train,3,1981-10,1982-01,False,0.3702027041063201,low,False,False,True,False,True,True
lakebed_us_cse,lakebed_us_cse:GL4,GL4,Green Lake 4,validation,1,2019-01,2019-02,True,1.0,low,False,False,True,False,True,True
lakebed_us_cse,lakebed_us_cse:ME,ME,Lake Mendota,validation,1,2019-01,2019-02,False,0.4121105135424978,low,False,False,True,False,False,False
lakebed_us_cse,lakebed_us_cse:GL4,GL4,Green Lake 4,validation,1,2019-02,2019-03,True,1.0,low,False,False,True,False,True,True
lakebed_us_cse,lakebed_us_cse:BVR,BVR,Beaverdam Reservoir,validation,1,2019-03,2019-04,False,0.3302755883181824,low,False,False,True,False,True,False
lakebed_us_cse,lakebed_us_cse:GL4,GL4,Green Lake 4,validation,1,2019-03,2019-04,True,1.0,low,False,False,True,False,True,True
lakebed_us_cse,lakebed_us_cse:GL4,GL4,Green Lake 4,validation,2,2019-01,2019-03,True,1.0,low,False,False,True,False,True,True
lakebed_us_cse,lakebed_us_cse:BVR,BVR,Beaverdam Reservoir,validation,2,2019-02,2019-04,False,0.3302755883181824,low,False,False,True,False,True,False
lakebed_us_cse,lakebed_us_cse:GL4,GL4,Green Lake 4,validation,2,2019-02,2019-04,True,1.0,low,False,False,True,False,True,True
lakebed_us_cse,lakebed_us_cse:BVR,BVR,Beaverdam Reservoir,validation,2,2019-03,2019-05,False,0.5332316132224346,low,False,False,True,False,True,False
