source_id,split,rows,sites,origin_min,origin_max,target_min,target_max,mean_x_evidence_N,mean_x_evidence_F,mean_x_evidence_T_no_chla,mean_x_missing_N,mean_x_missing_F,mean_x_missing_T_no_chla,low_nutrient_evidence_rate,low_temperature_evidence_rate,mean_abs_irc_chla_delta,changed_irc_chla_delta_rate
aquamatch_chla,test,66226,8829,2022-01,2024-05,2022-02,2024-06,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2682077509992559,1.0
aquamatch_chla,train,901569,43288,1970-01,2018-11,1970-02,2018-12,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2588141501672332,1.0
aquamatch_chla,validation,110443,12420,2019-01,2021-11,2019-02,2021-12,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.26427116537803996,1.0
lakebed_us_cse,test,254,21,2022-01,2024-03,2022-02,2024-04,0.44291338582677164,0.397244094488189,0.9173228346456693,0.5570866141732284,0.602755905511811,0.08267716535433071,0.5433070866141733,0.08267716535433071,0.110724700284931,0.5708661417322834
lakebed_us_cse,train,3309,21,1981-04,2018-11,1981-05,2018-12,0.8241160471441523,0.48150498640072525,0.9909338168631007,0.17588395285584768,0.5184950135992747,0.009066183136899365,0.1242067089755213,0.009066183136899365,0.07553980594275832,0.495618011483832
lakebed_us_cse,validation,549,21,2019-01,2021-11,2019-02,2021-12,0.7299635701275046,0.4539162112932605,0.994535519125683,0.27003642987249543,0.5460837887067396,0.00546448087431694,0.2586520947176685,0.00546448087431694,0.10354418323290576,0.6284153005464481
wqp,test,86478,10366,2022-01,2026-04,2022-02,2026-05,0.4802996137746016,0.48256897708087604,0.6049284211013206,0.5197003862253984,0.5174310229191239,0.39507157889867944,0.33633987835056317,0.39507157889867944,0.12708237286807597,0.5571012280580032
wqp,train,808970,38508,1970-01,2018-11,1970-02,2018-12,0.1675483639689976,0.40620084799189093,0.45514666798521575,0.8324516360310024,0.5937991520081091,0.5448533320147843,0.7045737171959405,0.5448533320147843,0.10795836373823062,0.47084193480598785
wqp,validation,91226,11283,2019-01,2021-11,2019-02,2021-12,0.46249808168723827,0.45687304058053624,0.5325126608642273,0.5375019183127617,0.5431269594194638,0.4674873391357727,0.37664700852827043,0.4674873391357727,0.11535241402021719,0.5005590511476992
