split,target,pipe_rows,pipe_rmse,pipe_mae,persistence_rows,persistence_rmse,persistence_mae,rmse_delta_pipe_minus_persistence,mae_delta_pipe_minus_persistence,rmse_relative_improvement,mae_relative_improvement
test,all,17420,0.13594043089319363,0.08399649346448097,17420,0.19629651924743374,0.12986079666957837,-0.06035608835424011,-0.04586430320509739,0.3074740631450558,0.35318051622458374
test,delta_yF,17420,0.09101462211835867,0.04593450275819693,17420,0.1630622050559579,0.06900768979213148,-0.07204758293759922,-0.02307318703393455,0.44184109317591236,0.3343567521740953
test,delta_yN,17420,0.0813535162032612,0.03705092845088989,17420,0.14935259401327203,0.06141122394188189,-0.06799907781001083,-0.024360295490992,0.45529224490046805,0.39667497124053414
test,delta_yT,17420,0.23589047381905973,0.14699110519461736,17420,0.28442734997570734,0.16603524404047254,-0.04853687615664762,-0.01904413884585518,0.17064771078025057,0.11469937576152811
test,sigma_F,17420,0.05149793990389392,0.0174741983687426,17420,0.05149794458534569,0.017474223848094387,-4.681451774846135e-09,-2.5479351788149085e-08,9.090560434092147e-08,1.4581106439773393e-06
test,sigma_N,17420,0.09624982392778761,0.027819940608623518,17420,0.09624982610397069,0.027819951371538407,-2.1761830809596816e-09,-1.0762914889189679e-08,2.260973519691279e-08,3.8687755939792297e-07
test,sigma_T,17420,0.1576449060829557,0.11352861975966584,17420,0.42287995520194344,0.3878072453409139,-0.26523504911898776,-0.27427862558124805,0.6272112117310611,0.7072550316591816
test,yF,17420,0.091030589044551,0.04138963969785776,17420,0.09907832230036724,0.04070776553874907,-0.008047733255816245,0.0006818741591086835,0.08122597424912609,-0.0167504688622523
test,yN,17420,0.08340544725063363,0.0364452842729921,17420,0.0906855726973068,0.03643796115919285,-0.007280125446673169,7.323113799251324e-06,0.0802787613303497,-0.000200974850575683
test,yT,17420,0.335376559688241,0.2893342220687428,17420,0.4094349032930327,0.3620458649932308,-0.07405834360479174,-0.072711642924488,0.18087940966720212,0.200835446431207
train,all,378557,0.11903398066094084,0.07370824970452462,378557,0.17640008204618324,0.11934338341007909,-0.057366101385242396,-0.04563513370555447,0.3252045051216212,0.382385117646165
train,delta_yF,378557,0.08004392244212122,0.03341375556264821,378557,0.14689128304428692,0.04906364164059999,-0.0668473606021657,-0.01564988607795178,0.4550805140834095,0.3189711475676839
train,delta_yN,378557,0.0391095989413751,0.009839044288259565,378557,0.07282056873303237,0.01164747379480895,-0.033710969791657275,-0.0018084295065493843,0.46293197620091553,0.15526366819175552
train,delta_yT,378557,0.26770857749463595,0.1674612845079927,378557,0.2923837153330817,0.17060719953705067,-0.02467513783844577,-0.0031459150290579774,0.08439299640999502,0.018439520943984433
train,sigma_F,378557,0.045884957322062866,0.012699038479860513,378557,0.04588496612695152,0.01269906253216614,-8.80488865151463e-09,-2.4052305626354187e-08,1.9189049038750168e-07,1.894022142613347e-06
train,sigma_N,378557,0.04122226286682951,0.005243056400966277,378557,0.04122226605749145,0.005243058703222287,-3.1906619429866723e-09,-2.302256009965864e-09,7.740142035221335e-08,4.3910551841636636e-07
train,sigma_T,378557,0.11182015653482091,0.08329062825038645,378557,0.4472246099812921,0.42535126738382134,-0.3354044534464712,-0.3420606391334349,0.7499686867869403,0.8041838954361735
train,yF,378557,0.08162687029747845,0.03006533964468467,378557,0.08936965373702793,0.02849713672224933,-0.007742783439549483,0.001568202922435341,0.08663772450470475,-0.05503019260215558
train,yN,378557,0.03995232651914475,0.009173886058624386,378557,0.04348358174627022,0.006663063825571275,-0.0035312552271254682,0.002510822233053111,0.08120893186146884,-0.376826982118521
train,yT,378557,0.36393715352999884,0.3121882141472988,378557,0.4083200936562149,0.364318546551222,-0.044382940126216075,-0.052130332403923174,0.10869643893544041,0.14308997688261754
validation,all,22087,0.13451948723263774,0.08218267392225354,22087,0.19146598129617817,0.12659679991900577,-0.05694649406354044,-0.044414125996752235,0.2974235615017692,0.3508313482265551
validation,delta_yF,22087,0.08377825202052801,0.038029022137349204,22087,0.1499019871545891,0.05795078672068996,-0.0661237351340611,-0.01992176458334076,0.44111313258222395,0.3437703905446406
validation,delta_yN,22087,0.06464570488899234,0.025853418637872116,22087,0.12002908976697779,0.041589937017229725,-0.055383384877985456,-0.01573651837935761,0.4614163531982598,0.3783732197728105
validation,delta_yT,22087,0.28371691064235194,0.17952029097424035,22087,0.3155709947997667,0.1873990538440312,-0.03185408415741475,-0.007878762869790834,0.10094110258018651,0.04204270356854728
validation,sigma_F,22087,0.04892513176679256,0.014611799342271648,22087,0.048925153751488946,0.014611831893657161,-2.1984696389754088e-08,-3.255138551240544e-08,4.493536494831153e-07,2.227741582938389e-06
validation,sigma_N,22087,0.08526779586403486,0.01969647179767351,22087,0.08526782862026627,0.01969648484265973,-3.275623140785999e-08,-1.3044986219706844e-08,3.841569785216105e-07,6.623002187402138e-07
validation,sigma_T,22087,0.14373764406732148,0.10287477520315613,22087,0.4329137843591967,0.40196889551909565,-0.2891761402918752,-0.2990941203159395,0.6679762824367365,0.7440727968010922
validation,yF,22087,0.08413754958629296,0.03452782461014654,22087,0.0914036280320771,0.03401176659484653,-0.007266078445784141,0.000516058015300011,0.07949442054131801,-0.015172925930233928
validation,yN,22087,0.06640931052596642,0.025202878405478194,22087,0.07188778284957195,0.02407862550210902,-0.005478472323605529,0.0011242529033691738,0.07620867004716853,-0.046690908634743365
validation,yT,22087,0.35005708573145916,0.29932758419209404,22087,0.40729358233166885,0.35806381733673304,-0.057236496600209685,-0.058736233144638994,0.14052884475258107,0.1640384487366447
