target,blend_weight,validation_rows,validation_mae,validation_rmse,selection_metric,selection_objective
yN,0.5,22087,0.02520289500745106,0.06640929874079682,balanced,1.0388598376147427
yF,0.65,22087,0.034527843414201634,0.08413754586470323,balanced,1.015580341693115
yT,1.0,22087,0.29932725396611626,0.3500570058033502,balanced,1.0
sigma_N,0.0,22087,0.01969648388753672,0.08526782422142601,balanced,1.0003873346353855
sigma_F,0.0,22087,0.014611832157614633,0.048925152947599373,balanced,1.0093694292329833
sigma_T,1.0,22087,0.1028747634587176,0.1437376796641355,balanced,1.0
delta_yN,0.9,22087,0.025853411966858312,0.06464570912479768,balanced,1.0060485755987
delta_yF,1.0,22087,0.03802903133428086,0.08377826375560979,balanced,1.0052390583587087
delta_yT,1.0,22087,0.17952046783166783,0.2837167809788259,balanced,1.0012897563666208
