source_id,split,horizon_months,feature_family,feature_name,column,rows,present_rows,coverage_rate,sites_with_value,bloom_positive
aquamatch_chla,validation,1,nutrient,log_TN,log_TN,110443,0,0.0,0,12376
aquamatch_chla,validation,1,nutrient,log_TP,log_TP,110443,0,0.0,0,12376
aquamatch_chla,validation,1,physicochemical,DO_mgL,mean_DO_mgL,110443,0,0.0,0,12376
aquamatch_chla,validation,1,physicochemical,pH,mean_pH,110443,0,0.0,0,12376
aquamatch_chla,validation,1,temperature,temperature_C,mean_temperature_C,110443,0,0.0,0,12376
aquamatch_chla,validation,2,light_proxy,secchi_depth_m,mean_secchi_depth_m,106736,0,0.0,0,12013
aquamatch_chla,validation,2,light_proxy,turbidity_NTU,mean_turbidity_NTU,106736,0,0.0,0,12013
aquamatch_chla,validation,2,nutrient,TN_TP_ratio,TN_TP_ratio,106736,0,0.0,0,12013
aquamatch_chla,validation,2,nutrient,TN_ugL,mean_TN_ugL,106736,0,0.0,0,12013
aquamatch_chla,validation,2,nutrient,TP_ugL,mean_TP_ugL,106736,0,0.0,0,12013
aquamatch_chla,validation,2,nutrient,log_TN,log_TN,106736,0,0.0,0,12013
aquamatch_chla,validation,2,nutrient,log_TP,log_TP,106736,0,0.0,0,12013
aquamatch_chla,validation,2,physicochemical,DO_mgL,mean_DO_mgL,106736,0,0.0,0,12013
aquamatch_chla,validation,2,physicochemical,pH,mean_pH,106736,0,0.0,0,12013
aquamatch_chla,validation,2,temperature,temperature_C,mean_temperature_C,106736,0,0.0,0,12013
aquamatch_chla,validation,3,light_proxy,secchi_depth_m,mean_secchi_depth_m,94463,0,0.0,0,10450
aquamatch_chla,validation,3,light_proxy,turbidity_NTU,mean_turbidity_NTU,94463,0,0.0,0,10450
aquamatch_chla,validation,3,nutrient,TN_TP_ratio,TN_TP_ratio,94463,0,0.0,0,10450
aquamatch_chla,validation,3,nutrient,TN_ugL,mean_TN_ugL,94463,0,0.0,0,10450
aquamatch_chla,validation,3,nutrient,TP_ugL,mean_TP_ugL,94463,0,0.0,0,10450
aquamatch_chla,validation,3,nutrient,log_TN,log_TN,94463,0,0.0,0,10450
aquamatch_chla,validation,3,nutrient,log_TP,log_TP,94463,0,0.0,0,10450
aquamatch_chla,validation,3,physicochemical,DO_mgL,mean_DO_mgL,94463,0,0.0,0,10450
aquamatch_chla,validation,3,physicochemical,pH,mean_pH,94463,0,0.0,0,10450
aquamatch_chla,validation,3,temperature,temperature_C,mean_temperature_C,94463,0,0.0,0,10450
lakebed_us_cse,test,1,light_proxy,secchi_depth_m,mean_secchi_depth_m,163,95,0.5828220858895705,12,22
lakebed_us_cse,test,1,light_proxy,turbidity_NTU,mean_turbidity_NTU,163,0,0.0,0,22
lakebed_us_cse,test,1,nutrient,TN_TP_ratio,TN_TP_ratio,163,60,0.36809815950920244,7,22
lakebed_us_cse,test,1,nutrient,TN_ugL,mean_TN_ugL,163,60,0.36809815950920244,7,22
lakebed_us_cse,test,1,nutrient,TP_ugL,mean_TP_ugL,163,63,0.38650306748466257,7,22
lakebed_us_cse,test,1,nutrient,log_TN,log_TN,163,60,0.36809815950920244,7,22
lakebed_us_cse,test,1,nutrient,log_TP,log_TP,163,63,0.38650306748466257,7,22
