policy_version,policy_name,target_event,rollout_horizon_months,calibration_split,selection_objective,fbeta_beta,min_recall,min_precision,score_column,selected_threshold,constraint_satisfied,calibration_rows,calibration_positive_rows,calibration_positive_rate,calibration_predicted_positive_rows,calibration_predicted_positive_rate,calibration_tn,calibration_fp,calibration_fn,calibration_tp,calibration_precision,calibration_recall,calibration_specificity,calibration_f1,calibration_macro_f1,calibration_fbeta,calibration_balanced_accuracy,calibration_mcc,calibration_gmean_pr,calibration_pr_distance
pipe_grud_rollout_alert_policy_2b_v0,balanced_accuracy,bloom_h,1,validation,balanced_accuracy,2.0,,,rollout_probability_bloom_calibrated,0.16037735849056603,True,445,57,0.12808988764044943,121,0.27191011235955054,287,101,37,20,0.1652892561983471,0.3508771929824561,0.7396907216494846,0.2247191011235955,0.5154494382022472,0.2865329512893983,0.5452839573159703,0.06802404735431301,0.24082406492091704,1.0574036336273127
pipe_grud_rollout_alert_policy_2b_v0,closest_pr,bloom_h,1,validation,closest_pr,2.0,,,rollout_probability_bloom_calibrated,0.1076923076923077,True,445,57,0.12808988764044943,433,0.9730337078651685,11,377,1,56,0.12933025404157045,0.9824561403508771,0.028350515463917526,0.22857142857142856,0.1417857142857143,0.4236006051437216,0.5054033279073973,0.022295131545571157,0.3564565923310715,0.8708464810393991
pipe_grud_rollout_alert_policy_2b_v0,f1,bloom_h,1,validation,f1,2.0,,,rollout_probability_bloom_calibrated,0.11715481171548116,True,445,57,0.12808988764044943,368,0.8269662921348314,69,319,8,49,0.1331521739130435,0.8596491228070176,0.17783505154639176,0.23058823529411765,0.26368121442125236,0.41107382550335575,0.5187420871767047,0.0331155496619113,0.33832550820799084,0.8781363916388628
pipe_grud_rollout_alert_policy_2b_v0,fbeta,bloom_h,1,validation,fbeta,2.0,,,rollout_probability_bloom_calibrated,0.1,True,445,57,0.12808988764044943,443,0.9955056179775281,2,386,0,57,0.12866817155756208,1.0,0.005154639175257732,0.228,0.11912820512820513,0.4247391952309985,0.5025773195876289,0.025753407497249605,0.358703459082237,0.871331828442438
pipe_grud_rollout_alert_policy_2b_v0,gmean_pr,bloom_h,1,validation,gmean_pr,2.0,,,rollout_probability_bloom_calibrated,0.1,True,445,57,0.12808988764044943,443,0.9955056179775281,2,386,0,57,0.12866817155756208,1.0,0.005154639175257732,0.228,0.11912820512820513,0.4247391952309985,0.5025773195876289,0.025753407497249605,0.358703459082237,0.871331828442438
pipe_grud_rollout_alert_policy_2b_v0,mcc,bloom_h,1,validation,mcc,2.0,,,rollout_probability_bloom_calibrated,0.16037735849056603,True,445,57,0.12808988764044943,121,0.27191011235955054,287,101,37,20,0.1652892561983471,0.3508771929824561,0.7396907216494846,0.2247191011235955,0.5154494382022472,0.2865329512893983,0.5452839573159703,0.06802404735431301,0.24082406492091704,1.0574036336273127
pipe_grud_rollout_alert_policy_2b_v0,balanced_accuracy,bloom_h,2,validation,balanced_accuracy,2.0,,,rollout_probability_bloom_calibrated,0.1792452830188679,True,451,66,0.14634146341463414,221,0.49002217294900224,204,181,26,40,0.18099547511312217,0.6060606060606061,0.5298701298701298,0.2787456445993031,0.47108013937282234,0.4123711340206186,0.567965367965368,0.09610808987847874,0.3312011886169586,0.9088215764838099
pipe_grud_rollout_alert_policy_2b_v0,closest_pr,bloom_h,2,validation,closest_pr,2.0,,,rollout_probability_bloom_calibrated,0.10843373493975904,True,451,66,0.14634146341463414,449,0.9955654101995566,2,383,0,66,0.14699331848552338,1.0,0.005194805194805195,0.2563106796116505,0.133323298462156,0.4628330995792427,0.5025974025974026,0.027633343164920374,0.38339707678270496,0.8530066815144766
pipe_grud_rollout_alert_policy_2b_v0,f1,bloom_h,2,validation,f1,2.0,,,rollout_probability_bloom_calibrated,0.1792452830188679,True,451,66,0.14634146341463414,221,0.49002217294900224,204,181,26,40,0.18099547511312217,0.6060606060606061,0.5298701298701298,0.2787456445993031,0.47108013937282234,0.4123711340206186,0.567965367965368,0.09610808987847874,0.3312011886169586,0.9088215764838099
pipe_grud_rollout_alert_policy_2b_v0,fbeta,bloom_h,2,validation,fbeta,2.0,,,rollout_probability_bloom_calibrated,0.10843373493975904,True,451,66,0.14634146341463414,449,0.9955654101995566,2,383,0,66,0.14699331848552338,1.0,0.005194805194805195,0.2563106796116505,0.133323298462156,0.4628330995792427,0.5025974025974026,0.027633343164920374,0.38339707678270496,0.8530066815144766
