split,horizon_months,rows,sites,bloom_positive,target_risk_chla_mean,origin_panel_matched_rows,current_chla_forbidden_present_rows,any_nutrient_rows,both_nutrients_rows,nutrient_ratio_rows,temperature_rows,light_proxy_rows,physicochemical_rows,precursor_ready_rows,mean_nonseason_exogenous_groups,origin_min,origin_max,target_min,target_max,high,low,medium,season_only,high_rate,medium_rate,low_rate,season_only_rate,origin_panel_matched_rate,current_chla_forbidden_present_rate,any_nutrient_rate,both_nutrients_rate,nutrient_ratio_rate,temperature_rate,light_proxy_rate,physicochemical_rate,precursor_ready_rate,bloom_rate
test,1,121540,15608,16737,0.32629599576974644,54879,117630,47945,25155,25155,31573,51495,26940,26383,1.2995968405463223,2022-01,2026-03,2022-02,2026-04,26383,9059,19437,66661,0.217072568701662,0.15992265920684548,0.07453513246667763,0.5484696396248149,0.4515303603751851,0.967829521145302,0.3944791838077999,0.20696889912785915,0.20696889912785915,0.2597745598156985,0.423687674839559,0.22165542208326477,0.217072568701662,0.13770775053480336
test,2,115691,17536,16765,0.3362233677899774,50223,111253,44280,24235,24226,28219,47173,24982,23786,1.2503479095175942,2022-01,2026-02,2022-03,2026-04,23786,7844,18593,65468,0.20559939839745528,0.16071258784175088,0.06780129828595137,0.5658867154748425,0.4341132845251575,0.9616391940600393,0.38274368792732366,0.20948042630801014,0.2094026328755046,0.24391698576380186,0.4077499546204977,0.21593728120597108,0.20559939839745528,0.14491187732840066
test,3,99670,16316,14639,0.3423319637208213,43584,95091,39017,22551,22551,24035,41212,22614,20539,1.2729808367613122,2022-01,2025-11,2022-04,2026-02,20539,6026,17019,56086,0.20607003110263872,0.17075348650546804,0.06045951640413364,0.5627169659877596,0.4372830340122404,0.9540583926958964,0.39146182401926355,0.22625664693488512,0.22625664693488512,0.24114578107755594,0.4134844988461924,0.22688873281830038,0.20607003110263872,0.1468746864653356
train,1,1336605,65617,211603,0.3570400072093894,408553,1311921,193222,43462,43452,218690,385368,190624,150391,0.7391143980457952,1970-01,2018-11,1970-02,2018-12,150391,223294,34868,928052,0.11251716101615661,0.02608698905061705,0.16706057511381447,0.6943352748194118,0.3056647251805881,0.9815323150818679,0.14456178152857427,0.03251671211764134,0.0325092304757202,0.16361602717332346,0.2883185383864343,0.14261805095746313,0.11251716101615661,0.15831378754381437
train,2,1294854,70268,206069,0.35764601269785706,377701,1266849,168269,38148,38137,200545,355676,180916,133898,0.6992340449193499,1970-01,2018-10,1970-03,2018-12,133898,216519,27284,917153,0.10340779732695732,0.021071101452364512,0.16721499103373816,0.70830611018694,0.29169388981306,0.9783720790143136,0.12995210270810453,0.029461236556399407,0.029452741390149004,0.15487846506247036,0.2746842501162293,0.13971922703254575,0.10340779732695732,0.15914458309585483
train,3,1189253,66960,189990,0.3606272481610352,345077,1161998,142757,31423,31411,181897,325146,171026,116325,0.6902030097884975,1970-01,2018-09,1970-04,2018-12,116325,208229,20523,844176,0.09781350141643536,0.017257051275044084,0.17509226379920842,0.7098371835093121,0.29016281649068787,0.9770822524727707,0.12003921789560337,0.026422468557993968,0.026412378190343012,0.1529506337171317,0.2734035566864242,0.14380960148933827,0.09781350141643536,0.15975574583372923
validation,1,163110,19348,20506,0.31411263983387966,52193,158304,45184,23650,23649,30534,48670,24778,25119,0.9145116792348722,2019-01,2021-11,2019-02,2021-12,25119,8602,18472,110917,0.15400036784991725,0.11324872785236957,0.05273741646741463,0.6800134878302986,0.3199865121697014,0.9705352216295752,0.27701551100484334,0.1449941757096438,0.1449880448776899,0.18719882288026485,0.2983875911961253,0.15190975415363864,0.15400036784991725,0.1257188400465943
validation,2,154216,21045,19697,0.31581415391495116,47087,148280,40959,22382,22381,26837,43764,22679,22259,0.8704609119676299,2019-01,2021-10,2019-03,2021-12,22259,7630,17198,107129,0.144336515017897,0.11151890854386055,0.04947605955283498,0.6946685168854074,0.3053314831145925,0.9615085334855008,0.265595009596929,0.14513409762929916,0.14512761321782436,0.17402215074959795,0.28378378378378377,0.1470599678373191,0.144336515017897,0.1277234528194221
validation,3,136038,20202,17377,0.3182686222753775,41294,129961,36496,20645,20644,22848,38754,20523,19365,0.8719695967303254,2019-01,2021-09,2019-04,2021-12,19365,6037,15892,94744,0.14234993163674856,0.11682030021023537,0.04437730634087535,0.6964524618121407,0.3035475381878593,0.955328658169041,0.2682779811523251,0.15175906731942546,0.15175171643217336,0.16795307193578266,0.2848762845675473,0.15086225907467032,0.14234993163674856,0.127736367779591
