calibration_version,target_event,split,rollout_horizon_months,score_column,threshold,rows,positive_rows,positive_rate,predicted_positive_rows,predicted_positive_rate,tn,fp,fn,tp,precision,recall,specificity,macro_f1,fbeta,pr_auc,roc_auc,brier
pipe_grud_rollout_alert_calibration_v0,bloom_h,test,1,rollout_probability_bloom_calibrated,0.09090909090909091,11852,1473,0.12428282146473169,9026,0.7615592305096186,2650,7729,176,1297,0.1436959893640594,0.8805159538357095,0.25532324886790636,0.324217134831795,0.43470974661482775,0.2913429849316014,0.6933937639890774,0.10079502993622337
pipe_grud_rollout_alert_calibration_v0,bloom_h,test,2,rollout_probability_bloom_calibrated,0.08968609865470852,11891,1544,0.1298461020940207,9734,0.8186023042637288,2075,8272,82,1462,0.15019519211012944,0.9468911917098446,0.20054121967720112,0.29557981063013195,0.45945945945945943,0.2672474956629424,0.7003487719651412,0.10485594669308952
pipe_grud_rollout_alert_calibration_v0,bloom_h,test,3,rollout_probability_bloom_calibrated,0.09019607843137255,11939,1594,0.13351201943211324,10724,0.898232682804255,1181,9164,34,1560,0.14546810891458412,0.9786700125470514,0.11416143064282262,0.22880656546163347,0.45614035087719307,0.25611692953740095,0.6917026633830464,0.10932961469989597
pipe_grud_rollout_alert_calibration_v0,bloom_h,validation,1,rollout_probability_bloom_calibrated,0.09090909090909091,14212,1841,0.12953841823810863,11775,0.8285251899802983,2275,10096,162,1679,0.14259023354564757,0.9120043454644216,0.1838978255597769,0.27694398206958987,0.4386331574272428,0.18924709543970525,0.5957732797582403,0.10968547155829668
pipe_grud_rollout_alert_calibration_v0,bloom_h,validation,2,rollout_probability_bloom_calibrated,0.08968609865470852,14325,1892,0.13207678883071552,12191,0.8510296684118673,1987,10446,147,1745,0.14313838077270116,0.9223044397463002,0.1598166170674817,0.2603124594604843,0.4415709297029201,0.1991301264909452,0.5953775024830766,0.11087096300884132
pipe_grud_rollout_alert_calibration_v0,bloom_h,validation,3,rollout_probability_bloom_calibrated,0.09019607843137255,14352,1898,0.1322463768115942,12990,0.9051003344481605,1273,11181,89,1809,0.13926096997690532,0.9531085353003161,0.1022161554520636,0.21364680251416718,0.43946166553298993,0.19724733162213096,0.6035789577087306,0.1111218561966448
pipe_grud_rollout_alert_calibration_v0,irc_alert,test,1,alert_probability_irc,0.1875,13327,4444,0.33345839273654987,11935,0.8955503864335559,1223,7660,169,4275,0.3581901968998743,0.961971197119712,0.13767871214679725,0.38003170934712704,0.7194305139510617,0.6532175072538027,0.7450888325914659,0.18047334538349075
pipe_grud_rollout_alert_calibration_v0,irc_alert,test,2,alert_probability_irc,0.1015625,13327,4616,0.34636452314849553,12998,0.9753132738050574,318,8393,11,4605,0.35428527465763965,0.9976169844020797,0.03650556767305706,0.2966167549746732,0.7318352298010298,0.6345913703535335,0.7404071939759426,0.18515394543853644
pipe_grud_rollout_alert_calibration_v0,irc_alert,test,3,alert_probability_irc,0.0546875,13327,4750,0.35641929916710435,13225,0.9923463645231485,102,8475,0,4750,0.3591682419659735,1.0,0.011892270024484085,0.27600841703656664,0.7370054305663304,0.614747054343753,0.7305471303301976,0.19668290344407735
pipe_grud_rollout_alert_calibration_v0,irc_alert,validation,1,alert_probability_irc,0.1875,16260,5860,0.36039360393603936,15239,0.9372078720787208,939,9461,82,5778,0.3791587374499639,0.9860068259385666,0.09028846153846154,0.3560688100612852,0.746916931668347,0.602653260965982,0.6945939715148334,0.19814569865059004
pipe_grud_rollout_alert_calibration_v0,irc_alert,validation,2,alert_probability_irc,0.1015625,16260,5873,0.3611931119311193,16030,0.9858548585485855,218,10169,12,5861,0.3656269494697442,0.9979567512344628,0.020987773178010975,0.2881220220413112,0.7414857547694954,0.5790388462952543,0.6713123129278007,0.20849652542545932
pipe_grud_rollout_alert_calibration_v0,irc_alert,validation,3,alert_probability_irc,0.0546875,16260,5817,0.3577490774907749,16170,0.9944649446494465,87,10356,3,5814,0.35955473098330243,0.999484270242393,0.008330939385234128,0.27268873581689873,0.7371063441350982,0.5641580411874069,0.6664383506057286,0.21791909230737816
