profile,epoch,training_loss,probabilistic_validation_loss,best_probabilistic_validation_loss,best_epoch,epochs_without_improvement,batch_order_sha256
v2_primary,1,-0.04127064458427666,-0.3060048461899044,-0.3060048461899044,1,0,c506e70576e2404c35a768d6d4f00944044e5e8f476dde0365267c0b72dd160a
v2_primary,2,-0.8873478268865599,-1.2930690810436338,-1.2930690810436338,2,0,e106b26f45eaa2d50bd73d73224ddebe5b77fb0c11e7767d8671d8abf0a4eecf
v2_primary,3,-1.4397464884806108,-1.5288841668076403,-1.5288841668076403,3,0,b1fedbf19790c16ccd8a816832d5e5c974e6bdd2f608210f03c1b4863f77172d
v2_primary,4,-1.5820206548881555,-1.5756955878941092,-1.5756955878941092,4,0,96950008c7d1965744aee0387cc28c9070fe443d5cfa7f8324c1180ceed92616
v2_primary,5,-1.6458910322924873,-1.5957032545345036,-1.5957032545345036,5,0,65542972f5bccec3cd7365b04ef8bd381503fb8a3cdfec79d4fca96603e82e48
v2_primary,6,-1.6780804795853512,-1.6161662593601256,-1.6161662593601256,6,0,4743c9921c261dc72f92cf2fb770c5639e393cf9584d1537adfe52d6368dcc9d
v2_primary,7,-1.7061168646930005,-1.6569555124898596,-1.6569555124898596,7,0,2f72216beed2618d6a6c03b4a7f64fdbde35e0e087eb512de9f78bb1082bbc17
v2_primary,8,-1.736498376952063,-1.6907139237471454,-1.6907139237471454,8,0,b3f339244873ec77d0714f581fe82da0e6699431796da5263edc8c73d0965f21
v2_primary,9,-1.775663234202083,-1.7335048294442845,-1.7335048294442845,9,0,d5a9fe9ec9e3dc4ebdd931e68bfc9452c9adc4b15535e60fc92b7fc508ef3f30
v2_primary,10,-1.82014720199352,-1.7802281079329842,-1.7802281079329842,10,0,1878ba4067eefd95524a6bf41d44fc143f55945def568e0a839bc4fa81caafbd
v2_primary,11,-1.8676303738754307,-1.8238692565227117,-1.8238692565227117,11,0,bbfa8ae09d5a0a5253b675ce7ca5844f461af11dfca810070aa0dbcc3d948fb0
v2_primary,12,-1.9105581305605495,-1.8631800216013992,-1.8631800216013992,12,0,5198e792711ba155a958f4f02d4645e729de47a894ede9b09f49d25620deece5
v2_primary,13,-1.9521755524510032,-1.8941014723514948,-1.8941014723514948,13,0,bf967572cc2b8b7c3909ba243c4df7f5b5762d2c50f7919af80e33a8d5b31fa9
v2_primary,14,-1.978367086517357,-1.921005330686494,-1.921005330686494,14,0,82f2fad358edafbd88d2adb2c27df7dc6d22a54feaf4da814c7e847d1813a090
v2_primary,15,-2.0078652762088542,-1.9480615169044555,-1.9480615169044555,15,0,18ea5849694d4d5cc3f388b4831e008b95b568c826adbc94a386605e7a8c2630
v2_primary,16,-2.018368175017998,-1.9465577424041869,-1.9480615169044555,15,1,992c39f42c56cf21b09021187700708f6edd47481898f294ff2a253a50578725
v2_primary,17,-2.032002598013343,-1.947385491348627,-1.9480615169044555,15,2,c62e39635d4d11dab867a4b12bcd951c537baf3cb82cd8afcb75143d95e0cfe6
v2_primary,18,-2.042466428430904,-1.9670105102494007,-1.9670105102494007,18,0,a66384821fee5f09bcdf111465eb9937aafb37c2de5b90554c10bea6cd613200
v2_primary,19,-2.053063755075192,-1.9764312618360744,-1.9764312618360744,19,0,8f4e1e21d720f1ae75e5215ff3b437de91e3ba9e40178a0d42fca29d4aec0574
v2_primary,20,-2.061754753743672,-1.9914045596685934,-1.9914045596685934,20,0,4b3a2aaad3b7d210f51facf500ffde6cbb95390f7ffcb3ac80426a227acb8c41
v2_primary,21,-2.075232016089171,-2.0150201142303588,-2.0150201142303588,21,0,d8e658a2f9f5bc4aa70a409aafc887cef2b472f03066e2a7bc24c344675c1ed5
v2_primary,22,-2.092606497437934,-2.012175711121146,-2.0150201142303588,21,1,bd4ac4eb9094625c69e24cdb91b4856080ae2a3687cbb799d6932f3651c2fde3
v2_primary,23,-2.1121662881223933,-2.0449860255549273,-2.0449860255549273,23,0,2e3cf28d78ff2afeb809e208d57ef8b4d8677fae9cbbb3585356939ee3a27673
v2_primary,24,-2.122995080349795,-2.050509800122479,-2.050509800122479,24,0,bef1a7846816ef02f907f17f408c582fb3e9f6887765c0925009e7cad5d52768
v2_primary,25,-2.1308478293489426,-2.0473118720092174,-2.050509800122479,24,1,7673e43fcce8aa65936d8f8720db9cdf365f2a0c7a6ca4e3ae3d320f8f7642db
v2_primary,26,-2.136952247160216,-2.0804211379974844,-2.0804211379974844,26,0,d74ffc402e54c2595ffe59e2701ceb8e6f473bfd7f99505220bf24d3894fe9ad
v2_primary,27,-2.1536450238034313,-2.0694408848529724,-2.0804211379974844,26,1,142b554120309f7f21a79d4b2073ba7d8c25bc1a9aaa4d61a772313af5bcbca4
v2_primary,28,-2.1585224756987724,-2.0976210691797452,-2.0976210691797452,28,0,ccd89e64e767171424c20d71b9741f00d7df77f0b8ea58d0667a84770b5fac41
v2_primary,29,-2.1594067486548245,-2.072964458953677,-2.0976210691797452,28,1,5e8185129a6ef5973af7f29840d8ea98e5a85e05735cb10c7949b9c1f85960cc
v2_primary,30,-2.154818459548304,-2.055600468567976,-2.0976210691797452,28,2,8312ece940570389930de4f7aac6e19970de869c2c9a57b46cb6fbc272a9165d
v2_primary,31,-2.166229736248783,-2.098291563236807,-2.098291563236807,31,0,a0e1431ab04027b35cff25e0e436ac2386829bc4f338270d9d140ded5b64f4cd
v2_primary,32,-2.1784883881507535,-2.09782533664403,-2.098291563236807,31,1,8a2a3bbfe7922755d8ef51a39488cd8daf8f9767a00ab72c75ecbdd49bfa6579
v2_primary,33,-2.157271542520797,-2.1059635718037764,-2.1059635718037764,33,0,0c5ba3ad85b2d21806c03b457ad0bddf329a674134439ee18992795b4ad673d9
v2_primary,34,-2.18169495013077,-2.0930233527356243,-2.1059635718037764,33,1,472938934b995c32c52fd4e7e88dc9c57eae1cc9f6eb02accd7566841bb9e012
v2_primary,35,-2.187501778779251,-2.1043674692394227,-2.1059635718037764,33,2,4afaa757cf2d9495720f097e8a416fef399da19514637b092398fd40618fd84a
v2_primary,36,-2.1827009179405534,-2.1189291646161417,-2.1189291646161417,36,0,e670f76ab35cc292a64720202d35bf1aa3c51cbb2751458c9a9aa8d60ab5b059
v2_primary,37,-2.189782252036179,-2.1084372086787786,-2.1189291646161417,36,1,e89a9380f61b61cc2ed4772702f8db647403f686627a9840b2b21f7532da283c
v2_primary,38,-2.190337320874714,-2.1117492942359504,-2.1189291646161417,36,2,16f07f482f31d673212c6e130254bcbe486e6ac956e0439f2a9110716ac45a19
v2_primary,39,-2.196633726218992,-2.1125026378105947,-2.1189291646161417,36,3,1b9a8faa937c824f2ab2946d945b213629771664f6a0ea44246b364479fbdc11
v2_primary,40,-2.1979754457643774,-2.11186236190045,-2.1189291646161417,36,4,16e2c7e602e0f45bb22131e4eb13d147befc1af8b11678da7fb524aceef1d8c5
v2_primary,41,-2.2006570788849045,-2.1117479857497328,-2.1189291646161417,36,5,1d197aba750cefaa538e08f34687f0e096c3a8e60db6cd475b98731d6e2b1244
v2_primary,42,-2.1976927943440088,-2.1265781113481896,-2.1265781113481896,42,0,2c557b34fe872a8bf7d4f8bb8bfd19c4bfa7fea567481bc3812b96b8d2159473
v2_primary,43,-2.1985711433715953,-2.099435631684431,-2.1265781113481896,42,1,5321fde63f39e853e8fe2555e0a0535cf38fe764818682b01a5c1350cb31c064
v2_primary,44,-2.1931038548844186,-2.114166897112929,-2.1265781113481896,42,2,1642a3c95c86f023f620f36726b860b504f1e9c6995bca12aeac5cfba2211fad
v2_primary,45,-2.2031563106989767,-2.112661065079096,-2.1265781113481896,42,3,bc2c12e57fe0ece5552c1e0ba7f79bfbb51f9e0261ffd1f4a0263e2bcc016c24
v2_primary,46,-2.2107741261782605,-2.121004102736946,-2.1265781113481896,42,4,c27d60028821752c075575e09787fd0419798e27bfb08686ab1720440ed3f613
v2_primary,47,-2.2130891120996017,-2.129209178639209,-2.129209178639209,47,0,ee151191b05a0a6b744a8a31e5470ec74ab5427d84283db4d47350075f079853
v2_primary,48,-2.216580409137891,-2.1131029110255204,-2.129209178639209,47,1,fc3da5e594b18098e5bbf79c5f5e93b6ab30a504d7c6353585138b9ae5371380
v2_primary,49,-2.2091539559645876,-2.1237246314371663,-2.129209178639209,47,2,620633a624cae2ddf3c80fe57f9e44e7bdb23c27843997ff1e744ddd6a5347ce
v2_primary,50,-2.2168610023930695,-2.1220544905174434,-2.129209178639209,47,3,0193f5bd1d0cdc706b4b23226d1e71c61104e29bf6e8d9ab94f65ac3c31a3a8e
v2_primary,51,-2.2163178723897534,-2.0922232190455037,-2.129209178639209,47,4,6dc85845000735b2ad603ea88ea20223f3051ffa5dda00f5536c8a405b056c2c
v2_primary,52,-2.213101427237655,-2.123734605593944,-2.129209178639209,47,5,c05db2040af21e0b72957eceebc49e74320d5bef8abf3fdc94f12233df6fb007
v2_primary,53,-2.223413240624704,-2.126570876189104,-2.129209178639209,47,6,d949020920f1fd7c6ad6d9ff4264b621b5d46a2ffbe27813dbd7de2091644a5e
v2_primary,54,-2.2255605691783664,-2.129458534435963,-2.129458534435963,54,0,757b5fb6620e75958118b1173de28f4fb0eb2c3b307df227f1d425c4bc6ee486
v2_primary,55,-2.212785260236313,-2.1339814156059207,-2.1339814156059207,55,0,3837cf47abf3280ab8383689b86ccbbfb3eed3fd8ec0dfafae4cd3a7d66a3b51
v2_primary,56,-2.226214843116468,-2.1301293598385307,-2.1339814156059207,55,1,69ef4735ba57a27f5630d8141f083c95fa923dd4297bd5316e52d09801ba8f8d
