epoch,training_loss,model_selection_objective,best_objective,best_epoch,epochs_without_improvement,batch_order_sha256
1,0.8464403231643939,0.9910935603576624,0.9910935603576624,1,0,dc8566c5c64b355cde822c4eee5cdd7cae0ec7b74d2c82e00292101de55f531f
2,0.766052943263115,0.9854719764885801,0.9854719764885801,2,0,cb395dd510b857e3a8b91b054789514ef3f60a5404bdc16b5cddd90f520724b4
3,0.6776786687722981,0.9800593514416107,0.9800593514416107,3,0,bd12414966c731532c4995ec819a225c97a93129bd9d152ee6900e1bd1a19c3a
4,0.5749627690980825,0.9752307500208952,0.9752307500208952,4,0,daf70847b01d7a3c34409ea9897004153e966d764de6d2094c8d28298119042c
5,0.4531631551919077,0.9715665453396627,0.9715665453396627,5,0,fd1d510ab6d5a9a2fa1fea30bc519db6a8efe829618d191b98f80e17430f4961
6,0.33234976516409814,0.969936171549195,0.969936171549195,6,0,48e6058d9924afeeef176bdea18dc13eeb2d3061579d173912fdfc38e13f1b46
7,0.28463489608996156,0.9687397343692099,0.9687397343692099,7,0,682520379dc7635d67fee613b739649f87aba63475810085ed28922ee43f962f
8,0.2675471160050911,0.9716293718597403,0.9687397343692099,7,1,5013a199cded0cec22dd3bae8902ab562e324c5f7b06adcc47b43973d6fc661f
9,0.21848839121498292,0.9636843976225814,0.9636843976225814,9,0,b13a1df2bc0ecedee1cd3a75c7ed8489423ee16737c03e1b4fc2a443fcd3a832
10,0.1830331837797358,0.9579730313497765,0.9579730313497765,10,0,84beb10cf822f30fbcc6d9429b9bb11313dcaeffcdf74a4735627e73d71142eb
11,0.1521245637859594,0.946823943245386,0.946823943245386,11,0,c52fb1576709eb34aea49893a1463cf91441c372685f15f98a5b55103c1ecf89
12,0.11544587565629931,0.9314147812155311,0.9314147812155311,12,0,2bc28c7ce950ad9c4623480045824f6258dd287f991e06f431cfa2e319eb6dcb
13,0.08055094905845715,0.9208172174859462,0.9208172174859462,13,0,7807228febd57a8b94134483651e9415f52ada6dc3f2617ceefed874f929187f
14,0.05901221545138073,0.9091922052287101,0.9091922052287101,14,0,e7a11142d94151ab61bd13b4a3489280d5357fc613cdb3d04ed667b02f288782
15,0.04664004309729636,0.9083305538355262,0.9083305538355262,15,0,9ee0ad36faf63ddf624dab62f311a788095632a0802d45cde82cc9e56c8b442f
16,0.02769536721449162,0.904227942160643,0.904227942160643,16,0,218c2497e437d127713e8a08329f6d4320b1656bd087083f58f53b98dc27f933
17,0.010305605693114263,0.9100265184638024,0.904227942160643,16,1,c3a9c96ee7a95593a7e7dfc84f6c710274a94ccdf0f9dd375ac7d63933c1c94c
18,-0.003915570229191436,0.9122524388403682,0.904227942160643,16,2,9ef2c206070b6abe9b4d671331a8a3fb08610d6ac735f37ad2caccdb4368e68a
19,-0.014194145904187005,0.911497405209934,0.904227942160643,16,3,421a1151247a208392f257d1ac76aceccfc38b10caaca5e6f1aa57eb3bd4fdfc
20,-0.022545570091910244,0.9107572520036062,0.904227942160643,16,4,18e5810ec9b886d29758a2cb3496b59f21c4668a11e682147f0f76d29f3d25f3
