epoch,training_loss,model_selection_objective,best_objective,best_epoch,epochs_without_improvement,batch_order_sha256
1,0.8498427708729328,0.998790344938975,0.998790344938975,1,0,e08365abb9a0bec9c3817ab91d3341298cf3fc864304b73118ba2903cda1a070
2,0.7686276462780649,0.9959720025630168,0.9959720025630168,2,0,65ed2c729fa6799e6af5d8b621f5e9cae8c70eba6470b3b9cfceb321fab67cf0
3,0.6846362052539354,0.9921634903757821,0.9921634903757821,3,0,c70ebe50069419abea18e436e3d499d8282786d6ac26519311b79d272aeecec0
4,0.5901130250958438,0.9878658213654329,0.9878658213654329,4,0,ad687ca49758a818c4026a025791913a27ea61f76ebfb827dde8cd573a81cd2c
5,0.476665432056863,0.9823240169911054,0.9823240169911054,5,0,17cdf50e6ecb61c7d2040d4b01a65613eb03fee6ce8ec5e2f59144a8f3e81e6a
6,0.34797189457546757,0.9771746217534039,0.9771746217534039,6,0,cd0dc8128d3d5baf6f9fd00bc0c6e109a15774e4d308a61df79c5dce2136537e
7,0.2631713055069191,0.9763064734478548,0.9763064734478548,7,0,51b6cf0a3b431566f5b67d4b8c9e93c380aaa527fda51745503933220fcf2e24
8,0.267353606802824,0.9772887012613631,0.9763064734478548,7,1,d090fc584046e3c6322edcd1352f3ffdeac3d29b15bffdf1c450dbb230aa2128
9,0.2241009212653539,0.9704326999385672,0.9704326999385672,9,0,c0416a0753751d62f29d50adc0ab600b3f932b39c3c63db6f8e68a56837cab34
10,0.16602933989612942,0.9557390237291917,0.9557390237291917,10,0,29f59c8575cb2c02a1949ba888adc49a2c7b9814dc09d0bc87af60ffb68a63d6
11,0.1381185380635194,0.9474571210045715,0.9474571210045715,11,0,d79dc4d3778cd41de2e63972f81ecf208f35ed3efcf100e14981b58c05915af4
12,0.11571475126437054,0.9456879805222727,0.9456879805222727,12,0,80b3ecdb912b6b5dfa8788533c62e5b80d9c856735fafe26c578e4e095addcea
13,0.09087264388096308,0.9369790739220877,0.9369790739220877,13,0,a92af94c692e225a4cc40c5ef149b1e67b7c382020300412346a8581de88f68e
14,0.06800898705594699,0.9270529952125869,0.9270529952125869,14,0,7380505be41f279ec4799b639b2484ca10c8b70c188dfc49c909cc136a785cef
15,0.048376842358589814,0.9311062858423621,0.9270529952125869,14,1,b032d7b47c949919ceb4a7ea18081f315dc185d2907139dc477a0eb66d31de22
16,0.03135038526956085,0.9318428200035618,0.9270529952125869,14,2,503e1406a6719fc6df0455c52243839dfbfe70a4ef3003fd17c74652968ae9dc
17,0.014528355241545294,0.9312741680107401,0.9270529952125869,14,3,c2789a62af5b3a431408394a7b637194c1f2d738c291d011a97c9ff83be3b3b4
18,-0.0017635490411210526,0.941489372767133,0.9270529952125869,14,4,1451e53cefb24559cc22db78fb1e5560d5457d29cc05ca6a677900b779df4f39
19,-0.011999921934755766,0.9270788429902925,0.9270529952125869,14,5,66159a2a7186c684d5c00a5e807d6c44ed18a44296fdc9bcf2c153a8dec9a140
