model_id,base_seed,horizon_months,time_role,rows,bloom_positive,brier,pr_auc,rmse,mae,prior_brier,prior_rmse,prior_mae,brier_ratio,rmse_ratio,mae_ratio,checkpoint_objective
A1,314159,1,model_selection,658,136,0.16555519671026075,0.33249734627341215,0.3786695043673802,0.3142907220667265,0.17275044191851774,0.42116878641106636,0.3785976834087715,0.9583489041860118,0.8990920423950737,0.8301443348436635,0.904227942160643
A1,314159,2,model_selection,658,136,0.16959658666409821,0.31890074953245157,0.3825105428805743,0.30672745057997886,0.17339375565616102,0.41791517106088927,0.3745057430548012,0.9781008896330006,0.9152827400583727,0.8190193508864178,0.904227942160643
A1,314159,3,model_selection,658,132,0.166140027354784,0.3107822547813319,0.3940490337171457,0.31869299980299315,0.17244486927518093,0.4225695474376975,0.3784423143640759,0.9634385067709037,0.9325069355009384,0.8421177751714053,0.904227942160643
