epoch,train_loss,validation_loss,validation_rmse_all,validation_mae_all,validation_selection_objective,validation_blend_selection_metric,epoch_seconds,best_validation_loss,best_validation_objective
1,-1.9510149910669288,-2.2606819358889534,0.11618632034012359,0.06261630128476,0.793319221973096,balanced,4.160343723000551,-2.2606819358889534,0.793319221973096
2,-2.644252555548712,-2.713560249037137,0.1145445995428121,0.061277453910093954,0.7790980426523539,balanced,3.9475809189971187,-2.713560249037137,0.7790980426523539
3,-2.7489728274792085,-2.7700003845803347,0.11470363946618242,0.061218653526139914,0.7792255318967887,balanced,3.8733013430028223,-2.713560249037137,0.7790980426523539
4,-2.827950770505984,-2.90653030108744,0.11359376126059798,0.061026379827303155,0.7743391323529363,balanced,3.7364382640007534,-2.90653030108744,0.7743391323529363
5,-2.771546538907275,-2.763416327134511,0.11432138295749862,0.06229781910938578,0.7851390526080275,balanced,3.7810884970022016,-2.90653030108744,0.7743391323529363
6,-2.67264970755735,-2.9751710626782586,0.11301937516761718,0.06080190133451413,0.7709814680299509,balanced,3.7318491810001433,-2.9751710626782586,0.7709814680299509
7,-2.8298566791703696,-2.915551532863303,0.11379161676032054,0.06133616641964289,0.7770374655627211,balanced,3.950770524003019,-2.9751710626782586,0.7709814680299509
8,-2.736542521674972,-2.726218967782737,0.11466732846217617,0.06174479140650386,0.7825968497387668,balanced,4.023428444001183,-2.9751710626782586,0.7709814680299509
9,-2.9007199723762622,-2.8633110370189496,0.1138110126535285,0.06122069987167026,0.7763347741283038,balanced,3.895358332003525,-2.9751710626782586,0.7709814680299509
10,-3.0436029528623227,-3.104937427790585,0.11322423308404,0.06073152218239724,0.7711812418050727,balanced,3.861912949003454,-2.9751710626782586,0.7709814680299509
11,-3.1130892724676906,-3.1450555371856774,0.11329385088508764,0.06118569033562001,0.774419899866877,balanced,3.974762947000272,-2.9751710626782586,0.7709814680299509
12,-3.2348321316653403,-3.1939125475323276,0.11279821584438492,0.06082319167221707,0.7704030867044038,balanced,3.772256528005528,-3.1939125475323276,0.7704030867044038
13,-3.0671813425590866,-2.875026690601454,0.11295600445304801,0.06189883899073732,0.7780504120883802,balanced,3.9752636080011143,-3.1939125475323276,0.7704030867044038
14,-3.201198821980576,-3.0982519707140486,0.11264695850414704,0.06227226678266954,0.7795215283715397,balanced,3.802659644999949,-3.1939125475323276,0.7704030867044038
15,-3.138093201443126,-3.2135235355170777,0.11237729538130298,0.06107238953762092,0.7706862778793202,balanced,3.810004883001966,-3.1939125475323276,0.7704030867044038
16,-3.206824933668241,-2.949911303505541,0.1124938795920187,0.0621224682355517,0.7780299602535029,balanced,3.7135003739967942,-3.1939125475323276,0.7704030867044038
17,-3.1647775241452725,-3.1508507013892566,0.11229280834672123,0.061069259850735115,0.7703906266134604,balanced,3.7315986109970254,-3.1508507013892566,0.7703906266134604
18,-3.2674065538112003,-3.084621471637998,0.11309037794270899,0.061353866776450466,0.7748732455678108,balanced,3.7474823910015402,-3.1508507013892566,0.7703906266134604
19,-3.3103649644041586,-3.2366454962993574,0.11206018396476616,0.0612282279571056,0.7706880509047043,balanced,3.8167541540024104,-3.1508507013892566,0.7703906266134604
20,-3.192197540352197,-3.1781084390842698,0.11207839456693626,0.06097662058757625,0.769078586928554,balanced,3.787322757001675,-3.1781084390842698,0.769078586928554
