model_id,base_seed,horizon_months,candidate_method,selected,rows,locations,brier,ece10,assessment
P1,20260612,1,isotonic_regression,True,273,57,0.12022688747684461,3.4974058651195407e-17,calibration_threshold_2021_in_sample_no_unregistered_subsplit
P1,20260612,2,identity,False,221,49,0.39508708975492896,0.49270576324038556,calibration_threshold_2021_in_sample_no_unregistered_subsplit
P1,20260612,2,platt_logistic,False,221,49,0.1454268557727799,0.05061623225689358,calibration_threshold_2021_in_sample_no_unregistered_subsplit
P1,20260612,2,isotonic_regression,True,221,49,0.1285007402120672,7.849427493107724e-18,calibration_threshold_2021_in_sample_no_unregistered_subsplit
P1,20260612,3,identity,False,177,42,0.39840489182419486,0.4855456820034935,calibration_threshold_2021_in_sample_no_unregistered_subsplit
P1,20260612,3,platt_logistic,False,177,42,0.15746939159401388,0.08021240000811106,calibration_threshold_2021_in_sample_no_unregistered_subsplit
P1,20260612,3,isotonic_regression,True,177,42,0.13289741846475586,0.0,calibration_threshold_2021_in_sample_no_unregistered_subsplit
P1,20260613,1,identity,False,273,57,0.3956890689270556,0.49964585494573005,calibration_threshold_2021_in_sample_no_unregistered_subsplit
P1,20260613,1,platt_logistic,False,273,57,0.139155724808589,0.07688411621219472,calibration_threshold_2021_in_sample_no_unregistered_subsplit
P1,20260613,1,isotonic_regression,True,273,57,0.12245894216961127,1.6267004023811818e-17,calibration_threshold_2021_in_sample_no_unregistered_subsplit
P1,20260613,2,identity,False,221,49,0.4059111541482066,0.5031840909682608,calibration_threshold_2021_in_sample_no_unregistered_subsplit
P1,20260613,2,platt_logistic,False,221,49,0.14422563530731722,0.08792109150344794,calibration_threshold_2021_in_sample_no_unregistered_subsplit
P1,20260613,2,isotonic_regression,True,221,49,0.12363926932281058,6.0283603147067325e-18,calibration_threshold_2021_in_sample_no_unregistered_subsplit
P1,20260613,3,identity,False,177,42,0.41165258899094614,0.498916058469627,calibration_threshold_2021_in_sample_no_unregistered_subsplit
P1,20260613,3,platt_logistic,False,177,42,0.15573700692550674,0.08145723905949871,calibration_threshold_2021_in_sample_no_unregistered_subsplit
P1,20260613,3,isotonic_regression,True,177,42,0.12434465946469983,4.3436691782650896e-17,calibration_threshold_2021_in_sample_no_unregistered_subsplit
P1,20260614,1,identity,False,273,57,0.3907077072299552,0.49426351180152284,calibration_threshold_2021_in_sample_no_unregistered_subsplit
P1,20260614,1,platt_logistic,False,273,57,0.13916906538787643,0.050583747555398,calibration_threshold_2021_in_sample_no_unregistered_subsplit
P1,20260614,1,isotonic_regression,True,273,57,0.12723542659346035,5.0834387574411926e-18,calibration_threshold_2021_in_sample_no_unregistered_subsplit
P1,20260614,2,identity,False,221,49,0.40198339781943015,0.49597367413937593,calibration_threshold_2021_in_sample_no_unregistered_subsplit
P1,20260614,2,platt_logistic,False,221,49,0.14965650524553142,0.06561110446491634,calibration_threshold_2021_in_sample_no_unregistered_subsplit
P1,20260614,2,isotonic_regression,True,221,49,0.130955613257467,3.541661684890205e-17,calibration_threshold_2021_in_sample_no_unregistered_subsplit
P1,20260614,3,identity,False,177,42,0.4134288961993976,0.49573773608706095,calibration_threshold_2021_in_sample_no_unregistered_subsplit
P1,20260614,3,platt_logistic,False,177,42,0.16241288892620973,0.01672111954639578,calibration_threshold_2021_in_sample_no_unregistered_subsplit
P1,20260614,3,isotonic_regression,True,177,42,0.1350344677468569,7.997369245181213e-18,calibration_threshold_2021_in_sample_no_unregistered_subsplit
P1,314159,1,identity,False,273,57,0.37029392421369567,0.4794004605366633,calibration_threshold_2021_in_sample_no_unregistered_subsplit
P1,314159,1,platt_logistic,False,273,57,0.1309238750856718,0.06730014975634047,calibration_threshold_2021_in_sample_no_unregistered_subsplit
P1,314159,1,isotonic_regression,True,273,57,0.11664428472727206,2.663721908899185e-17,calibration_threshold_2021_in_sample_no_unregistered_subsplit
P1,314159,2,identity,False,221,49,0.37213399680896825,0.4747056999941936,calibration_threshold_2021_in_sample_no_unregistered_subsplit
P1,314159,2,platt_logistic,False,221,49,0.13371443836499602,0.06895551068744256,calibration_threshold_2021_in_sample_no_unregistered_subsplit
P1,314159,2,isotonic_regression,True,221,49,0.11931050774094712,8.35179085266662e-18,calibration_threshold_2021_in_sample_no_unregistered_subsplit
P1,314159,3,identity,False,177,42,0.37267850339664127,0.47041634363587065,calibration_threshold_2021_in_sample_no_unregistered_subsplit
P1,314159,3,platt_logistic,False,177,42,0.14277604424703266,0.08626293996226848,calibration_threshold_2021_in_sample_no_unregistered_subsplit
P1,314159,3,isotonic_regression,True,177,42,0.12304435898653247,3.685062299250166e-17,calibration_threshold_2021_in_sample_no_unregistered_subsplit
