model_id,base_seed,horizon_months,calibrator_method,threshold,f2,recall,precision,rows,locations
P0,1729,1,isotonic_regression,0.16666666666666666,0.6743421052631579,0.82,0.3942307692307692,273,57
P0,1729,2,isotonic_regression,0.3684210526315789,0.7283464566929134,0.8604651162790697,0.45121951219512196,221,49
P0,1729,3,isotonic_regression,0.16666666666666666,0.6858407079646016,0.8378378378378378,0.3974358974358974,177,42
P0,20260612,1,isotonic_regression,0.25,0.6462585034013605,0.76,0.40425531914893614,273,57
P0,20260612,2,isotonic_regression,0.16666666666666666,0.6727272727272728,0.8604651162790697,0.3592233009708738,221,49
P0,20260612,3,isotonic_regression,0.24324324324324326,0.6652360515021459,0.8378378378378378,0.36470588235294116,177,42
P0,20260613,1,isotonic_regression,0.18181818181818182,0.6634304207119741,0.82,0.3761467889908257,273,57
P0,20260613,2,isotonic_regression,0.2727272727272727,0.6844106463878328,0.8372093023255814,0.3956043956043956,221,49
P0,20260613,3,isotonic_regression,0.23076923076923078,0.6607929515418502,0.8108108108108109,0.379746835443038,177,42
P0,20260614,1,isotonic_regression,0.14285714285714285,0.657051282051282,0.82,0.36607142857142855,273,57
P0,20260614,2,isotonic_regression,0.1724137931034483,0.6896551724137931,0.8372093023255814,0.4044943820224719,221,49
P0,20260614,3,isotonic_regression,0.1875,0.6962025316455696,0.8918918918918919,0.3707865168539326,177,42
P0,314159,1,isotonic_regression,0.24242424242424243,0.6666666666666666,0.8,0.4,273,57
P0,314159,2,isotonic_regression,0.21428571428571427,0.685185185185185,0.8604651162790697,0.37755102040816324,221,49
P0,314159,3,isotonic_regression,0.18604651162790697,0.6567796610169492,0.8378378378378378,0.3522727272727273,177,42
P1,1729,1,isotonic_regression,0.2,0.6369426751592357,0.8,0.3508771929824561,273,57
P1,1729,2,isotonic_regression,0.2,0.6678700361010831,0.8604651162790697,0.3523809523809524,221,49
P1,1729,3,isotonic_regression,0.23404255319148937,0.6607929515418502,0.8108108108108109,0.379746835443038,177,42
P1,20260612,1,isotonic_regression,0.1724137931034483,0.6158357771260997,0.84,0.2978723404255319,273,57
P1,20260612,2,isotonic_regression,0.125,0.5844155844155844,0.8372093023255814,0.2647058823529412,221,49
P1,20260612,3,isotonic_regression,0.16326530612244897,0.5957446808510638,0.7567567567567568,0.3218390804597701,177,42
P1,20260613,1,isotonic_regression,0.16666666666666666,0.6290322580645161,0.78,0.35454545454545455,273,57
P1,20260613,2,isotonic_regression,0.22580645161290322,0.6451612903225807,0.8372093023255814,0.3364485981308411,221,49
P1,20260613,3,isotonic_regression,0.13636363636363635,0.6504065040650407,0.8648648648648649,0.32653061224489793,177,42
P1,20260614,1,isotonic_regression,0.125,0.5898123324396783,0.88,0.2543352601156069,273,57
P1,20260614,2,isotonic_regression,0.18181818181818182,0.5938697318007662,0.7209302325581395,0.34831460674157305,221,49
P1,20260614,3,isotonic_regression,0.11764705882352941,0.5745341614906831,1.0,0.21264367816091953,177,42
P1,314159,1,isotonic_regression,0.21052631578947367,0.6466876971608834,0.82,0.3504273504273504,273,57
P1,314159,2,isotonic_regression,0.15789473684210525,0.6451612903225807,0.8372093023255814,0.3364485981308411,221,49
P1,314159,3,isotonic_regression,0.2,0.6666666666666666,0.8108108108108109,0.38961038961038963,177,42
