model_id,base_seed,horizon_months,target,coverage,quantile,score,quantile_method,rows
P0,1729,3,sigma_T,0.8,0.04155018925666809,absolute_state_residual,higher,177
P0,1729,3,sigma_T,0.9,0.051934562623500824,absolute_state_residual,higher,177
P0,1729,3,sigma_T,0.95,0.06825769692659378,absolute_state_residual,higher,177
P0,1729,3,delta_yN,0.8,0.1359611302614212,absolute_state_residual,higher,177
P0,1729,3,delta_yN,0.9,0.2064838483929634,absolute_state_residual,higher,177
P0,1729,3,delta_yN,0.95,0.2915203236043453,absolute_state_residual,higher,177
P0,1729,3,delta_yF,0.8,0.21663421392440796,absolute_state_residual,higher,177
P0,1729,3,delta_yF,0.9,0.27447635494172573,absolute_state_residual,higher,177
P0,1729,3,delta_yF,0.95,0.3347973246127367,absolute_state_residual,higher,177
P0,1729,3,delta_yT,0.8,0.14695286750793457,absolute_state_residual,higher,177
P0,1729,3,delta_yT,0.9,0.24984143301844597,absolute_state_residual,higher,177
P0,1729,3,delta_yT,0.95,0.38357050716876984,absolute_state_residual,higher,177
P0,20260612,1,yN,0.8,0.11597901582717896,absolute_state_residual,higher,273
P0,20260612,1,yN,0.9,0.16942685842514038,absolute_state_residual,higher,273
P0,20260612,1,yN,0.95,0.22222039103507996,absolute_state_residual,higher,273
P0,20260612,1,yF,0.8,0.1885245144367218,absolute_state_residual,higher,273
P0,20260612,1,yF,0.9,0.2338380068540573,absolute_state_residual,higher,273
P0,20260612,1,yF,0.95,0.2851101756095886,absolute_state_residual,higher,273
P0,20260612,1,yT,0.8,0.14069044589996338,absolute_state_residual,higher,273
P0,20260612,1,yT,0.9,0.22899949550628662,absolute_state_residual,higher,273
P0,20260612,1,yT,0.95,0.385709285736084,absolute_state_residual,higher,273
P0,20260612,1,sigma_N,0.8,0.05055111646652222,absolute_state_residual,higher,273
P0,20260612,1,sigma_N,0.9,0.07355177402496338,absolute_state_residual,higher,273
P0,20260612,1,sigma_N,0.95,0.10089609026908875,absolute_state_residual,higher,273
P0,20260612,1,sigma_F,0.8,0.0628649890422821,absolute_state_residual,higher,273
P0,20260612,1,sigma_F,0.9,0.0869390070438385,absolute_state_residual,higher,273
P0,20260612,1,sigma_F,0.95,0.11073598265647888,absolute_state_residual,higher,273
P0,20260612,1,sigma_T,0.8,0.05519110709428787,absolute_state_residual,higher,273
P0,20260612,1,sigma_T,0.9,0.08060915768146515,absolute_state_residual,higher,273
P0,20260612,1,sigma_T,0.95,0.09364843368530273,absolute_state_residual,higher,273
P0,20260612,1,delta_yN,0.8,0.11433148756623268,absolute_state_residual,higher,273
P0,20260612,1,delta_yN,0.9,0.16809192299842834,absolute_state_residual,higher,273
P0,20260612,1,delta_yN,0.95,0.22282122820615768,absolute_state_residual,higher,273
P0,20260612,1,delta_yF,0.8,0.1837233006954193,absolute_state_residual,higher,273
P0,20260612,1,delta_yF,0.9,0.23415550589561462,absolute_state_residual,higher,273
P0,20260612,1,delta_yF,0.95,0.2857053428888321,absolute_state_residual,higher,273
P0,20260612,1,delta_yT,0.8,0.13840635120868683,absolute_state_residual,higher,273
P0,20260612,1,delta_yT,0.9,0.22448255121707916,absolute_state_residual,higher,273
P0,20260612,1,delta_yT,0.95,0.37011516094207764,absolute_state_residual,higher,273
P0,20260612,2,yN,0.8,0.11956208944320679,absolute_state_residual,higher,221
P0,20260612,2,yN,0.9,0.20815926790237427,absolute_state_residual,higher,221
P0,20260612,2,yN,0.95,0.26753173768520355,absolute_state_residual,higher,221
P0,20260612,2,yF,0.8,0.18161743879318237,absolute_state_residual,higher,221
P0,20260612,2,yF,0.9,0.2305116355419159,absolute_state_residual,higher,221
P0,20260612,2,yF,0.95,0.28152814507484436,absolute_state_residual,higher,221
P0,20260612,2,yT,0.8,0.1540203094482422,absolute_state_residual,higher,221
P0,20260612,2,yT,0.9,0.21396958827972412,absolute_state_residual,higher,221
P0,20260612,2,yT,0.95,0.30029094219207764,absolute_state_residual,higher,221
P0,20260612,2,sigma_N,0.8,0.053596556186676025,absolute_state_residual,higher,221
P0,20260612,2,sigma_N,0.9,0.08771264553070068,absolute_state_residual,higher,221
P0,20260612,2,sigma_N,0.95,0.11729127168655396,absolute_state_residual,higher,221
P0,20260612,2,sigma_F,0.8,0.06328868865966797,absolute_state_residual,higher,221
P0,20260612,2,sigma_F,0.9,0.08239124715328217,absolute_state_residual,higher,221
P0,20260612,2,sigma_F,0.95,0.1067606508731842,absolute_state_residual,higher,221
P0,20260612,2,sigma_T,0.8,0.05550936609506607,absolute_state_residual,higher,221
P0,20260612,2,sigma_T,0.9,0.07031325995922089,absolute_state_residual,higher,221
P0,20260612,2,sigma_T,0.95,0.0864243358373642,absolute_state_residual,higher,221
P0,20260612,2,delta_yN,0.8,0.12809690088033676,absolute_state_residual,higher,221
P0,20260612,2,delta_yN,0.9,0.1932576671242714,absolute_state_residual,higher,221
P0,20260612,2,delta_yN,0.95,0.2605999708175659,absolute_state_residual,higher,221
P0,20260612,2,delta_yF,0.8,0.21632155030965805,absolute_state_residual,higher,221
P0,20260612,2,delta_yF,0.9,0.28146345261484385,absolute_state_residual,higher,221
P0,20260612,2,delta_yF,0.95,0.3352428376674652,absolute_state_residual,higher,221
P0,20260612,2,delta_yT,0.8,0.18431344255805016,absolute_state_residual,higher,221
P0,20260612,2,delta_yT,0.9,0.280290424823761,absolute_state_residual,higher,221
P0,20260612,2,delta_yT,0.95,0.3390384614467621,absolute_state_residual,higher,221
P0,20260612,3,yN,0.8,0.1300702691078186,absolute_state_residual,higher,177
P0,20260612,3,yN,0.9,0.20387259125709534,absolute_state_residual,higher,177
P0,20260612,3,yN,0.95,0.26667851209640503,absolute_state_residual,higher,177
P0,20260612,3,yF,0.8,0.21311980485916138,absolute_state_residual,higher,177
P0,20260612,3,yF,0.9,0.26530325412750244,absolute_state_residual,higher,177
P0,20260612,3,yF,0.95,0.29055488109588623,absolute_state_residual,higher,177
P0,20260612,3,yT,0.8,0.13690227270126343,absolute_state_residual,higher,177
P0,20260612,3,yT,0.9,0.18774646520614624,absolute_state_residual,higher,177
