evaluation_cohort,estimand,comparison_id,comparison_tier,challenger,reference,horizon_months,metric,direction,estimate,challenger_estimate,reference_estimate,shared_success_rows,shared_success_clusters,bootstrap_replicates,valid_replicates,invalid_replicates,valid_replicate_fraction,ci95_lower,ci95_upper,interval_status,site_improvement_numerator,site_improvement_denominator,proportion_sites_challenger_better,registered_hypothesis_id,holm_family,raw_p_value,holm_p_value,p_value_status,holm_universe_retained,result_state,adjudication,seed_pseudoreplication,artifact_path,authority_commit,limitation
fresh_primary,site_weighted,P1_vs_P0,primary,P1,P0,3,brier,lower_is_better,0.005088340336,0.1298347296,0.1247463893,885,86,2000,2000,0,1,-0.001277021287,0.01337803275,available,27,86,0.3139534884,,,,,not_computed_not_predeclared,False,confirmatory_available,inconclusive,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,P0 and P1 share fit keys and budget; mixed or inferior results remain explicit.
fresh_primary,site_weighted,P1_vs_P0,primary,P1,P0,3,pr_auc,higher_is_better,-0.05551094939,0.400106914,0.4556178634,885,86,2000,2000,0,1,-0.1288449656,0.01451300508,available,8,30,0.2666666667,,,,,not_computed_not_predeclared,False,confirmatory_available,inconclusive,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,P0 and P1 share fit keys and budget; mixed or inferior results remain explicit.
legacy_posthoc,observation_weighted,P1_vs_P0,primary,P1,P0,1,brier,lower_is_better,-0.002031125629,0.2483356252,0.2503667509,635,32,2000,2000,0,1,-0.01153269043,0.007156741289,available,16,32,0.5,,,,,not_computed_not_predeclared,False,posthoc_available,descriptively_favorable,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,P0 and P1 share fit keys and budget; mixed or inferior results remain explicit.
legacy_posthoc,observation_weighted,P1_vs_P0,primary,P1,P0,1,pr_auc,higher_is_better,0.01666636577,0.4775628084,0.4608964427,635,32,2000,2000,0,1,-0.02712752654,0.05068177314,available,9,19,0.4736842105,,,,,not_computed_not_predeclared,False,posthoc_available,descriptively_favorable,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,P0 and P1 share fit keys and budget; mixed or inferior results remain explicit.
legacy_posthoc,observation_weighted,P1_vs_P0,primary,P1,P0,2,brier,lower_is_better,-0.001808983759,0.2493284142,0.2511373979,625,33,2000,2000,0,1,-0.01068710927,0.00817095429,available,16,33,0.4848484848,,,,,not_computed_not_predeclared,False,posthoc_available,descriptively_favorable,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,P0 and P1 share fit keys and budget; mixed or inferior results remain explicit.
legacy_posthoc,observation_weighted,P1_vs_P0,primary,P1,P0,2,pr_auc,higher_is_better,0.01963195441,0.4654037958,0.4457718414,625,33,2000,2000,0,1,-0.01453460869,0.05375442416,available,11,20,0.55,,,,,not_computed_not_predeclared,False,posthoc_available,descriptively_favorable,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,P0 and P1 share fit keys and budget; mixed or inferior results remain explicit.
legacy_posthoc,observation_weighted,P1_vs_P0,primary,P1,P0,3,brier,lower_is_better,-0.003302532311,0.2478118134,0.2511143458,609,33,2000,2000,0,1,-0.0127621185,0.006104662089,available,16,33,0.4848484848,,,,,not_computed_not_predeclared,False,posthoc_available,descriptively_favorable,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,P0 and P1 share fit keys and budget; mixed or inferior results remain explicit.
legacy_posthoc,observation_weighted,P1_vs_P0,primary,P1,P0,3,pr_auc,higher_is_better,0.02785533748,0.4679699862,0.4401146487,609,33,2000,2000,0,1,-0.01316647234,0.06524597717,available,11,20,0.55,,,,,not_computed_not_predeclared,False,posthoc_available,descriptively_favorable,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,P0 and P1 share fit keys and budget; mixed or inferior results remain explicit.
legacy_posthoc,site_weighted,P1_vs_P0,primary,P1,P0,1,brier,lower_is_better,-0.005578882494,0.2192190773,0.2247979598,635,32,2000,2000,0,1,-0.0157621046,0.004671705713,available,16,32,0.5,,,,,not_computed_not_predeclared,False,posthoc_available,descriptively_favorable,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,P0 and P1 share fit keys and budget; mixed or inferior results remain explicit.
legacy_posthoc,site_weighted,P1_vs_P0,primary,P1,P0,1,pr_auc,higher_is_better,0.02525057318,0.4401834751,0.4149329019,635,32,2000,2000,0,1,-0.02207111544,0.06337984508,available,9,19,0.4736842105,,,,,not_computed_not_predeclared,False,posthoc_available,descriptively_favorable,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,P0 and P1 share fit keys and budget; mixed or inferior results remain explicit.
legacy_posthoc,site_weighted,P1_vs_P0,primary,P1,P0,2,brier,lower_is_better,-0.001515518555,0.214389544,0.2159050626,625,33,2000,2000,0,1,-0.01014567143,0.007607927912,available,16,33,0.4848484848,,,,,not_computed_not_predeclared,False,posthoc_available,descriptively_favorable,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,P0 and P1 share fit keys and budget; mixed or inferior results remain explicit.
legacy_posthoc,site_weighted,P1_vs_P0,primary,P1,P0,2,pr_auc,higher_is_better,0.01984137018,0.3735160626,0.3536746924,625,33,2000,2000,0,1,-0.02182884487,0.05534076787,available,11,20,0.55,,,,,not_computed_not_predeclared,False,posthoc_available,descriptively_favorable,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,P0 and P1 share fit keys and budget; mixed or inferior results remain explicit.
legacy_posthoc,site_weighted,P1_vs_P0,primary,P1,P0,3,brier,lower_is_better,-0.005871099647,0.2044061744,0.210277274,609,33,2000,2000,0,1,-0.01521378712,0.004241272104,available,16,33,0.4848484848,,,,,not_computed_not_predeclared,False,posthoc_available,descriptively_favorable,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,P0 and P1 share fit keys and budget; mixed or inferior results remain explicit.
legacy_posthoc,site_weighted,P1_vs_P0,primary,P1,P0,3,pr_auc,higher_is_better,0.04024067658,0.396767453,0.3565267764,609,33,2000,2000,0,1,-0.01754114911,0.08910286585,available,11,20,0.55,,,,,not_computed_not_predeclared,False,posthoc_available,descriptively_favorable,False,reports/closure_v2/05_inference/pairwise_effects.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,P0 and P1 share fit keys and budget; mixed or inferior results remain explicit.
