evaluation_cohort,model_id,model_seed,degradation_seed,aggregation_level,horizon_months,estimand,degradation_family,metric,retention_orientation,aupd,status,aupd_seed_sd,registered_seed_slots,artifact_path,authority_commit,limitation
fresh_primary,M0,-1,-1,family_mean_over_registered_seeds,2,observation_weighted,temporal_block,brier,lower,0.9982360821,descriptive_available,0.0007504578743,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
fresh_primary,M0,-1,-1,family_mean_over_registered_seeds,2,observation_weighted,temporal_block,pr_auc,higher,1.028003207,descriptive_available,0.07575817192,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
fresh_primary,M0,-1,-1,family_mean_over_registered_seeds,2,site_weighted,mcar,brier,lower,1.002381185,descriptive_available,0.001727362134,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
fresh_primary,M0,-1,-1,family_mean_over_registered_seeds,2,site_weighted,mcar,pr_auc,higher,1.079362797,descriptive_available,0.1046653912,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
fresh_primary,M0,-1,-1,family_mean_over_registered_seeds,2,site_weighted,temporal_block,brier,lower,1.000051061,descriptive_available,0.0007686470499,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
fresh_primary,M0,-1,-1,family_mean_over_registered_seeds,2,site_weighted,temporal_block,pr_auc,higher,1.019385517,descriptive_available,0.06214886071,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
fresh_primary,M0,-1,-1,family_mean_over_registered_seeds,3,observation_weighted,mcar,brier,lower,0.9980260779,descriptive_available,0.001284935596,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
fresh_primary,M0,-1,-1,family_mean_over_registered_seeds,3,observation_weighted,mcar,pr_auc,higher,1.0483831,descriptive_available,0.05174636417,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
fresh_primary,M0,-1,-1,family_mean_over_registered_seeds,3,observation_weighted,temporal_block,brier,lower,0.9972356456,descriptive_available,0.000813705676,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
fresh_primary,M0,-1,-1,family_mean_over_registered_seeds,3,observation_weighted,temporal_block,pr_auc,higher,1.081131534,descriptive_available,0.04416759057,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
fresh_primary,M0,-1,-1,family_mean_over_registered_seeds,3,site_weighted,mcar,brier,lower,0.9993317051,descriptive_available,0.0009577124957,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
fresh_primary,M0,-1,-1,family_mean_over_registered_seeds,3,site_weighted,mcar,pr_auc,higher,1.090484113,descriptive_available,0.1056335382,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
fresh_primary,M0,-1,-1,family_mean_over_registered_seeds,3,site_weighted,temporal_block,brier,lower,0.9980603142,descriptive_available,0.001397222672,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
fresh_primary,M0,-1,-1,family_mean_over_registered_seeds,3,site_weighted,temporal_block,pr_auc,higher,1.033817206,descriptive_available,0.04263273766,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,1,observation_weighted,mcar,brier,lower,0.9268253488,descriptive_available,0.01151447166,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,1,observation_weighted,mcar,pr_auc,higher,0.8163465741,descriptive_available,0.04451193166,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,1,observation_weighted,temporal_block,brier,lower,0.9523225967,descriptive_available,0.007614990511,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,1,observation_weighted,temporal_block,pr_auc,higher,0.8929297006,descriptive_available,0.02731527128,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,1,site_weighted,mcar,brier,lower,0.9599536027,descriptive_available,0.01535163025,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,1,site_weighted,mcar,pr_auc,higher,0.883032546,descriptive_available,0.04822296231,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
