score_name,horizon_months,split,rows,bloom_rows,risk_rows,threshold,bloom_positive,bloom_rate,pr_auc,roc_auc,brier,recall,macro_f1,risk_rmse,risk_mae
irc1,1,test,55151,55151,55151,0.5,8933,0.1619734909611793,0.694433731981398,0.9078439448959968,0.1670610241375523,0.9073099742527706,0.6895250841915554,0.2641038327562583,0.20271536650858765
irc1,1,train,432276,432276,432276,0.5,87722,0.20293053512108006,0.6961094532011642,0.8992389856878868,0.17128718201412663,0.9088142085223775,0.7090895775379604,0.27371848062326354,0.2133831816573409
irc1,1,validation,52222,52222,52222,0.5,8075,0.1546283175673088,0.6383443187282474,0.8923110090752953,0.17632567199140362,0.8979566563467493,0.6747574968766615,0.28106661186955745,0.21964984810357643
irc1,2,test,50423,50423,50423,0.5,8956,0.1776173571584396,0.6336873480221086,0.8653822072046334,0.17268930987967043,0.8366458240285842,0.6842021587022505,0.29004979049379853,0.22160176306451274
irc1,2,train,399759,399759,399759,0.5,84552,0.21150743322852017,0.6343897164886007,0.8617485134353782,0.17760978756681037,0.8486138707540921,0.6983874127646044,0.3016351180000102,0.23488869365971868
irc1,2,validation,47050,47050,47050,0.5,7629,0.16214665249734325,0.5689339449463566,0.8492248238593795,0.18032067265501434,0.8240922794599554,0.6619202610361427,0.305645827643932,0.2381477723012692
irc1,3,test,43696,43696,43696,0.5,7933,0.1815497986085683,0.59837885342921,0.8397473867830086,0.1788333721278691,0.7962939619311736,0.6740869919096155,0.3094856678352124,0.2383589435346621
irc1,3,train,365093,365093,365093,0.5,78556,0.2151670944115609,0.5909203863957021,0.8319364962829565,0.18641210020317034,0.8080477621060136,0.6830489317353488,0.32223911656286724,0.25199235513417995
irc1,3,validation,41154,41154,41154,0.5,6876,0.1670797492345823,0.5355918324534781,0.8219873819583035,0.18274378094601804,0.7793775450843514,0.6568037131162332,0.3222946227248348,0.2517971864927567
irc1_no_chla,1,test,55151,55151,55151,0.5,8933,0.1619734909611793,0.3852586500491102,0.7383500795419051,0.2668325454441552,0.8580544050151125,0.5395278857150747,0.40102488556188254,0.33833272121539315
irc1_no_chla,1,train,432276,432276,432276,0.5,87722,0.20293053512108006,0.3861100308481126,0.7173981012289237,0.2646667950239206,0.8559426369667814,0.5330828162686706,0.4037085838659333,0.34538472109816715
irc1_no_chla,1,validation,52222,52222,52222,0.5,8075,0.1546283175673088,0.366032172254588,0.7198055371019465,0.2806564641948647,0.8470588235294118,0.5012210875255431,0.411710711856394,0.34821606709304426
irc1_no_chla,2,test,50423,50423,50423,0.5,8956,0.1776173571584396,0.3567997918627289,0.6987332789571755,0.26349864384308,0.7893032603841,0.544329097472394,0.4060314615446983,0.34225283762554076
irc1_no_chla,2,train,399759,399759,399759,0.5,84552,0.21150743322852017,0.3625650618099413,0.688938243863688,0.26326783950548927,0.8067106632604788,0.531469105535034,0.41155869169591364,0.35185651826130665
irc1_no_chla,2,validation,47050,47050,47050,0.5,7629,0.16214665249734325,0.32715265266711224,0.6901501309047093,0.2757167200209381,0.7968278935640319,0.5084555023554171,0.4135540549862684,0.34857130870784103
irc1_no_chla,3,test,43696,43696,43696,0.5,7933,0.1815497986085683,0.3276281384017948,0.6626467395359154,0.26741720797020446,0.7410815580486575,0.5327377530307809,0.41669701674845167,0.3528241022419337
