score_name,horizon_months,split,source_id,rows,threshold,bloom_positive,bloom_rate,pr_auc,roc_auc,brier,recall,macro_f1
baseline_calibrated,1,test,all,121540,0.35,16737,0.13770775053480336,0.6923596324342473,0.9169289809288803,0.06506555122286398,0.6901475772241142,0.8122014312500568
baseline_calibrated,1,test,aquamatch_chla,66226,0.35,7782,0.11750671941533537,0.661795876086547,0.909478631406111,0.059787864341948854,0.670136211770753,0.8031936960470701
baseline_calibrated,1,test,lakebed_us_cse,163,0.35,22,0.13496932515337423,0.4372057371921732,0.8467117988394584,0.13349673852301902,0.8636363636363636,0.6969597550306212
baseline_calibrated,1,test,wqp,55151,0.35,8933,0.1619734909611793,0.7255381218615146,0.9229226741633861,0.07120081273844049,0.7071532519870144,0.8195393196106766
irc1_calibrated,1,test,all,121540,0.3,16737,0.13770775053480336,0.638597986151076,0.9095799115612233,0.06972405055093729,0.6787954830614805,0.8006723043444506
irc1_calibrated,1,test,aquamatch_chla,66226,0.3,7782,0.11750671941533537,0.5776372854404922,0.907519052388876,0.061763469699467076,0.6962220508866616,0.8016783781670389
irc1_calibrated,1,test,lakebed_us_cse,163,0.3,22,0.13496932515337423,0.33012184968889513,0.804642166344294,0.11456522779365838,0.13636363636363635,0.5495323129251701
irc1_calibrated,1,test,wqp,55151,0.3,8933,0.1619734909611793,0.6814073085423173,0.9077380459743739,0.07915068498329397,0.6649501847083846,0.7990741658187597
irc1_no_chla_calibrated,1,test,all,121540,0.2,16737,0.13770775053480336,0.27278273623566496,0.6756981900035562,0.10939009382923365,0.40891438131086816,0.6083867734729045
irc1_no_chla_calibrated,1,test,aquamatch_chla,66226,0.2,7782,0.11750671941533537,0.11750671941533537,0.5,0.10374611824797733,0.0,0.4687896045560279
irc1_no_chla_calibrated,1,test,lakebed_us_cse,163,0.2,22,0.13496932515337423,0.15037628835970798,0.4576079948420374,0.13244903138999894,0.13636363636363635,0.4673202614379085
irc1_no_chla_calibrated,1,test,wqp,55151,0.2,8933,0.1619734909611793,0.3782553496317781,0.7602110483495742,0.11609929801450454,0.7658121571700437,0.598676529879559
blend_irc1_w0p25,1,test,all,121540,0.39999999999999997,16737,0.13770775053480336,0.711696462623714,0.9207160404810544,0.06425974401960559,0.667383641034833,0.8135732347465949
blend_irc1_w0p25,1,test,aquamatch_chla,66226,0.39999999999999997,7782,0.11750671941533537,0.6679166084681756,0.9133169504037375,0.05959642827476654,0.6503469545104086,0.8046756565307136
blend_irc1_w0p25,1,test,lakebed_us_cse,163,0.39999999999999997,22,0.13496932515337423,0.4235744142376338,0.8500967117988394,0.10582716226938542,0.8636363636363636,0.7340326340326341
blend_irc1_w0p25,1,test,wqp,55151,0.39999999999999997,8933,0.1619734909611793,0.7500551371812012,0.9266046417540144,0.06973665757227003,0.6817418560394044,0.8207985257076551
gate_full_irc1_w0p25,1,test,all,121540,0.35,16737,0.13770775053480336,0.7107992272570847,0.9187844302282766,0.06449733285053638,0.6959431200334588,0.8136116387124409
