module,status,train_rows,eval_rows,input_dim,memberships,rules,initial_train_loss,final_train_loss,relative_train_loss_improvement,finite_loss,centers_ordered,max_parameter_delta,output_min,output_max,output_std,anchor_mae,anchor_rmse,anchor_spearman,mean_missing_fraction,epochs,curve_initial_loss,curve_final_loss,curve_min_loss
ANFIS-N,passed,256,2304,3,3,27,0.013624097220599651,0.0006845014868304133,0.9497580297800983,True,True,1.219277024269104,0.14287585020065308,0.9449774026870728,0.14753074944019318,0.03155313994751943,0.06738591603802446,0.8829528101548743,0.8247974537037037,40,0.013624097220599651,0.0006845014868304133,0.0006520187016576529
ANFIS-F,passed,256,2304,4,3,81,0.032983265817165375,0.001373962266370654,0.9583436560228185,True,True,1.142372727394104,0.11052995175123215,0.960493266582489,0.18796096742153168,0.024965023065243373,0.05713492671540475,0.9597527483077024,0.8280164930555556,40,0.032983265817165375,0.001373962266370654,0.001373962266370654
ANFIS-T,passed,256,2304,2,3,9,0.16858159005641937,0.018293442204594612,0.8914861213583741,True,True,1.1875321865081787,0.15283392369747162,0.9063875079154968,0.2889191210269928,0.11696034581593823,0.13534961074740198,0.9564255952009438,0.4233940972222222,40,0.16858159005641937,0.018293442204594612,0.018293442204594612
ANFIS-T-no-current,passed,256,2304,1,3,3,0.029941845685243607,0.004904703237116337,0.8361923547173464,True,True,1.0886324644088745,0.2324659377336502,0.8689635992050171,0.12621359527111053,0.024566582316979016,0.0663268792266452,0.999608465365964,0.8194444444444444,40,0.029941845685243607,0.004904703237116337,0.004904703237116337
