source_id,horizon_months,rows,sites,first_origin_year_month,last_origin_year_month,predicted_blooms,mean_probability,median_probability,p90_probability,p95_probability,max_probability,mean_full_evidence,mean_exogenous_evidence,predicted_bloom_rate
all,1,3386676,248284,1970-01,2026-05,414477,0.1362996553041884,0.032150702150705014,0.4829869850080162,0.6560920807717341,0.8865339720769125,0.2888595877885376,0.19432053238435956,0.12238460366447809
aquamatch_chla,1,1755072,141544,1970-01,2024-06,230067,0.12537718094577507,0.027908838995137256,0.4875458317102879,0.6454573979778604,0.7992129321768557,0.18333333333333335,0.0,0.1310869297669839
lakebed_us_cse,1,4932,21,1981-04,2024-04,466,0.1130947699423905,0.027908838995137256,0.38091607311885234,0.5989786436320034,0.8865339720769125,0.7170282508786159,0.7474722898080562,0.09448499594484996
wqp,1,1626672,106719,1970-01,2026-05,183944,0.14815464230327213,0.04237817628964809,0.4687754773961671,0.6952311017112982,0.8865339720769125,0.4014172801892453,0.4023024617132403,0.1130799571148947
all,2,3386676,248284,1970-01,2026-05,468238,0.13132014565148342,0.07337189819430598,0.5551332987538762,0.5664414499785358,0.684045717264323,0.2888595877885376,0.19432053238435956,0.13825887094011946
aquamatch_chla,2,1755072,141544,1970-01,2024-06,271976,0.13291488948288172,0.042663821783424795,0.5664414499785358,0.5664414499785358,0.5664414499785358,0.18333333333333335,0.0,0.15496572220398935
lakebed_us_cse,2,4932,21,1981-04,2024-04,510,0.10142005376774581,0.0585834849403679,0.2802206243182196,0.4910052648937271,0.684045717264323,0.7170282508786159,0.7474722898080562,0.10340632603406326
wqp,2,1626672,106719,1970-01,2026-05,195752,0.1296901778445197,0.0738079968564184,0.3786732887490165,0.5930030828235751,0.6694166781649725,0.4014172801892453,0.4023024617132403,0.1203389497083616
all,3,3386676,248284,1970-01,2026-05,464448,0.1325184262317977,0.06518427961739062,0.3927042242502475,0.5385572364121746,0.8690706389107444,0.2888595877885376,0.19432053238435956,0.13713977953604065
aquamatch_chla,3,1755072,141544,1970-01,2024-06,246152,0.12395994246166327,0.058432742433547055,0.3863292269225598,0.5128495191384638,0.7582997234150064,0.18333333333333335,0.0,0.14025179593771653
lakebed_us_cse,3,4932,21,1981-04,2024-04,518,0.11166577694246958,0.05588066630478529,0.3195876689117949,0.4430493750409005,0.7587319579838283,0.7170282508786159,0.7474722898080562,0.10502838605028386
wqp,3,1626672,106719,1970-01,2026-05,217778,0.1418156911344408,0.06750647685503067,0.4037187051609541,0.5899867178276269,0.8690706389107444,0.4014172801892453,0.4023024617132403,0.13387947908367515
