score_name,source_id,horizon_months,rows,raw_pr_auc,raw_roc_auc,raw_brier,raw_recall,raw_macro_f1,raw_mae_risk,calibrated_threshold,calibrated_brier,calibrated_macro_f1,calibrated_recall
irc1,aquamatch_chla,1.0,66226,0.5804801812048839,0.9076063732360792,0.1322787432764502,0.8694423027499357,0.707841775038337,0.2081377519016981,0.3,0.061763469699467,0.8016783781670389,0.6962220508866616
irc1,lakebed_us_cse,1.0,163,0.3403730408559703,0.8009348807221148,0.1591408372267502,0.5909090909090909,0.6527568922305764,0.229470227865624,0.3,0.1145652277936583,0.5495323129251701,0.1363636363636363
irc1,wqp,1.0,55151,0.694433731981398,0.9078439448959968,0.1670610241375523,0.9073099742527706,0.6895250841915554,0.2027153665085876,0.3,0.0791506849832939,0.7990741658187597,0.6649501847083846
irc1,aquamatch_chla,2.0,65117,0.4999378996201106,0.8737755071445297,0.1384836505080968,0.8048780487804879,0.6916753394103787,0.2258198920869446,0.3180428134556575,0.072559877950912,0.7588917335477856,0.6092426187419769
irc1,lakebed_us_cse,2.0,151,0.3098323353975001,0.7783094098883573,0.1603778540355715,0.5789473684210527,0.6452981738273851,0.2463936121318605,0.3180428134556575,0.1115982222500888,0.5231779714538335,0.1052631578947368
irc1,wqp,2.0,50423,0.6336873480221086,0.8653822072046334,0.1726893098796704,0.8366458240285842,0.6842021587022505,0.2216017630645127,0.3180428134556575,0.0978106470837235,0.7585890028694762,0.5808396605627513
irc1,aquamatch_chla,3.0,55831,0.4585678539976002,0.8532256046270064,0.1429862192131598,0.7724622514576169,0.6791706351290756,0.2380801228479556,0.3,0.0773213035952306,0.737373198424945,0.5655553894453581
irc1,lakebed_us_cse,3.0,143,0.3124622219165325,0.7969187675070029,0.1484985590835363,0.5294117647058824,0.630819905635182,0.253222513340103,0.3,0.1023568041695122,0.4541984732824427,0.0
irc1,wqp,3.0,43696,0.59837885342921,0.8397473867830086,0.1788333721278691,0.7962939619311736,0.6740869919096155,0.2383589435346621,0.3,0.1060401819824432,0.7386280509376524,0.5422916929282743
irc1_no_chla,aquamatch_chla,1.0,66226,0.1175067194153353,0.5,0.25,1.0,0.1051507945087017,0.4007782278426436,0.2,0.1037461182479773,0.4687896045560279,0.0
irc1_no_chla,lakebed_us_cse,1.0,163,0.1312416640238393,0.4152159896840748,0.2550010160844295,0.1363636363636363,0.3933002481389578,0.3545723186072682,0.2,0.1324490313899989,0.4673202614379085,0.1363636363636363
irc1_no_chla,wqp,1.0,55151,0.3852586500491102,0.7383500795419051,0.2668325454441552,0.8580544050151125,0.5395278857150747,0.3383327212153931,0.2,0.1160992980145045,0.598676529879559,0.7658121571700437
irc1_no_chla,aquamatch_chla,2.0,65117,0.1196308183730823,0.5,0.25,1.0,0.1068484507660444,0.4004611968858911,0.2,0.1053796402288929,0.4681895397079481,0.0
irc1_no_chla,lakebed_us_cse,2.0,151,0.1214930167948555,0.3975279106858054,0.2504494388170431,0.1052631578947368,0.3863300492610838,0.3547845820154389,0.2,0.123260547453664,0.4550524934383202,0.1052631578947368
irc1_no_chla,wqp,2.0,50423,0.3567997918627289,0.6987332789571755,0.26349864384308,0.7893032603841,0.544329097472394,0.3422528376255407,0.2,0.13029161524697,0.5991202728622917,0.7022108083966057
irc1_no_chla,aquamatch_chla,3.0,55831,0.119807991975784,0.5,0.25,1.0,0.1069897632757517,0.4003041426494365,0.2,0.1055472174039941,0.468139426328675,0.0
irc1_no_chla,lakebed_us_cse,3.0,143,0.1087262083410406,0.4255368814192343,0.2328210955476849,0.0588235294117647,0.382200460829493,0.3481081569364474,0.2,0.117063356539458,0.4418423106947697,0.0588235294117647
irc1_no_chla,wqp,3.0,43696,0.3276281384017948,0.6626467395359154,0.2674172079702044,0.7410815580486575,0.5327377530307809,0.3528241022419337,0.2,0.1363774719721699,0.585909082910413,0.653472834993067
