module,status,train_rows,eval_rows,input_dim,memberships,rules,initial_train_loss,final_train_loss,relative_train_loss_improvement,finite_loss,centers_ordered,max_parameter_delta,output_min,output_max,output_std,anchor_mae,anchor_rmse,anchor_spearman,mean_missing_fraction,epochs,curve_initial_loss,curve_final_loss,curve_min_loss
ANFIS-N,passed,4096,563421,3,3,27,0.0862857848405838,0.0035524279810488224,0.9588295107054764,True,True,1.4602882862091064,0.14537225663661957,0.9375625848770142,0.1315160095691681,0.06821190555302786,0.1072791992094786,0.9907212890186028,0.7900841466682995,60,0.0862857848405838,0.0035524279810488224,0.0035524279810488224
ANFIS-F,passed,4096,563421,4,3,81,0.09445570409297943,0.0018813129281625152,0.9800825906044742,True,True,1.4102858304977417,0.13191793859004974,0.9656739830970764,0.21070300042629242,0.09709237618155722,0.14072030163697777,0.9338852353550287,0.5100377870189432,60,0.09445570409297943,0.0018813129281625152,0.0018813129281625152
ANFIS-T,passed,4096,563421,2,3,9,0.14552588760852814,0.012004021555185318,0.9175128099030962,True,True,1.4900939464569092,0.14161518216133118,0.9274830222129822,0.30992501974105835,0.09254399816642314,0.10826707212122792,0.9480770863036513,0.27101403746044256,60,0.14552588760852814,0.012004021555185318,0.012004021555185318
ANFIS-T-no-current,passed,4096,563421,1,3,3,0.18434540927410126,0.015103415586054325,0.9180700205905469,True,True,1.449205994606018,0.19886870682239532,0.9008706212043762,0.24125809967517853,0.0609637868528036,0.09064065863565543,0.997569282104243,0.46082236906327595,60,0.18434540927410126,0.015103415586054325,0.015103415586054325
