score_name,horizon_months,split,rows,bloom_rows,risk_rows,threshold,bloom_positive,bloom_rate,pr_auc,roc_auc,brier,recall,macro_f1,risk_rmse,risk_mae
irc1,1,test,256,256,256,0.5,37,0.14453125,0.707861689820415,0.9399605084536591,0.15836349333012353,0.9459459459459459,0.6942943307628473,0.24006582302551094,0.1820150101344959
irc1,1,train,256,256,256,0.5,34,0.1328125,0.6023469294976576,0.8838765235824059,0.15182389618023961,0.8529411764705882,0.6767676767676767,0.2850507638363421,0.23092018771114478
irc1,1,validation,256,256,256,0.5,27,0.10546875,0.4309965152325218,0.8139252789907812,0.15334164878891904,0.8148148148148148,0.6629487020245932,0.2682087837125255,0.21034598948136676
irc1,2,test,256,256,256,0.5,36,0.140625,0.5342438156555405,0.8523358585858585,0.1571539767519382,0.8055555555555556,0.6840342061183109,0.30381268943866824,0.23869699389803803
irc1,2,train,256,256,256,0.5,32,0.125,0.5252559196069332,0.8581891741071428,0.175941635449591,0.8125,0.643329850226402,0.2891603358739821,0.23455206866676714
irc1,2,validation,256,256,256,0.5,28,0.109375,0.48287877098145626,0.8798558897243108,0.16116670627531382,0.8214285714285714,0.6430895064597082,0.29022069585153787,0.22912663559708202
irc1,3,test,256,256,256,0.5,34,0.1328125,0.4916021492922564,0.7596051934287228,0.18476664893084133,0.7058823529411765,0.6113498834648363,0.3160306276062489,0.2427185106915
irc1,3,train,256,256,256,0.5,45,0.17578125,0.4889338581495989,0.8098999473407057,0.18487946835793573,0.7555555555555555,0.6629924354062284,0.32596276458795453,0.2615153356292765
irc1,3,validation,256,256,256,0.5,36,0.140625,0.4453857231104938,0.820580808080808,0.150581865776692,0.75,0.7022337218410994,0.32259667887973087,0.26378650526588054
irc1_no_chla,1,test,256,256,256,0.5,37,0.14453125,0.3149357812581898,0.7023941749969146,0.26146884445718577,0.972972972972973,0.3080764121123276,0.40267134246769687,0.3673430388248907
irc1_no_chla,1,train,256,256,256,0.5,34,0.1328125,0.34638981451261863,0.6603736089030205,0.25159540609462333,0.9411764705882353,0.24214124397241044,0.4280250205698967,0.3923359687924274
irc1_no_chla,1,validation,256,256,256,0.5,27,0.10546875,0.2898632404119718,0.6956170143943069,0.2483117013764257,1.0,0.27058823529411763,0.4022088810710469,0.36215919091213344
irc1_no_chla,2,test,256,256,256,0.5,36,0.140625,0.31161589532155115,0.6863005050505049,0.23956463015531645,0.8888888888888888,0.37503692991867643,0.39952947949090506,0.35662016230218585
irc1_no_chla,2,train,256,256,256,0.5,32,0.125,0.22944513227388486,0.5924944196428572,0.2562019498067908,0.9375,0.22254948341904862,0.41424103247710803,0.3750834430124578
