metric_scope,score_name,source_id,horizon_months,split,rows,threshold,pr_auc,roc_auc,brier,recall,macro_f1
target_calibrated,irc1,all,1,validation,163110,0.3,0.5737453737744695,0.8972595537263357,0.06991779072964222,0.6436165024870769,0.7791621781698577
target_calibrated,irc1,aquamatch_chla,1,validation,110443,0.3,0.5355520148622352,0.8976617812226302,0.06327314904680094,0.6646735617323852,0.7835910981666656
target_calibrated,irc1,lakebed_us_cse,1,validation,445,0.3,0.24418049230600608,0.7607925407925409,0.11459449956465845,0.05454545454545454,0.4895556628833615
target_calibrated,irc1,wqp,1,validation,52222,0.3,0.6274567168097257,0.8928097214758377,0.08358967280896619,0.6153560371517028,0.7717727578020281
target_calibrated,irc1,all,1,test,121540,0.3,0.638597986151076,0.9095799115612233,0.06972405055093729,0.6787954830614805,0.8006723043444506
target_calibrated,irc1,aquamatch_chla,1,test,66226,0.3,0.5776372854404922,0.907519052388876,0.061763469699467076,0.6962220508866616,0.8016783781670389
target_calibrated,irc1,lakebed_us_cse,1,test,163,0.3,0.33012184968889513,0.804642166344294,0.11456522779365838,0.13636363636363635,0.5495323129251701
target_calibrated,irc1,wqp,1,test,55151,0.3,0.6814073085423173,0.9077380459743739,0.07915068498329397,0.6649501847083846,0.7990741658187597
target_calibrated,irc1,all,2,validation,154216,0.3180428134556575,0.49763759949316233,0.8583457241978574,0.0802684871821533,0.5587145250545769,0.7395675596084099
target_calibrated,irc1,aquamatch_chla,2,validation,106736,0.3180428134556575,0.4518147135917253,0.8585671926015837,0.0726686924091842,0.5778739698659785,0.7413100763659388
target_calibrated,irc1,lakebed_us_cse,2,validation,430,0.3180428134556575,0.2014237584237453,0.6849212121212122,0.12072208359863534,0.05454545454545454,0.4854565537555228
target_calibrated,irc1,wqp,2,validation,47050,0.3180428134556575,0.5607630346322413,0.8497866311410293,0.09713940425821158,0.5321798400838904,0.736141006559307
target_calibrated,irc1,all,2,test,115691,0.3180428134556575,0.5712276516540481,0.873361909291716,0.08361617724794407,0.5934983596779004,0.7595347581101017
target_calibrated,irc1,aquamatch_chla,2,test,65117,0.3180428134556575,0.4974113448391716,0.873870093226631,0.07255987795091205,0.6092426187419769,0.7588917335477856
target_calibrated,irc1,lakebed_us_cse,2,test,151,0.3180428134556575,0.2961204809315432,0.7755183413078149,0.11159822225008881,0.10526315789473684,0.5231779714538335
target_calibrated,irc1,wqp,2,test,50423,0.3180428134556575,0.6225970345167623,0.8651401993565314,0.09781064708372358,0.5808396605627513,0.7585890028694762
target_calibrated,irc1,all,3,validation,136038,0.3,0.4585439507716647,0.8355588062761837,0.08483622262302194,0.5087184209011912,0.7174408026625838
target_calibrated,irc1,aquamatch_chla,3,validation,94463,0.3,0.4075304744125746,0.8368468954764748,0.07578192418428521,0.531578947368421,0.7193679893656875
target_calibrated,irc1,lakebed_us_cse,3,validation,421,0.3,0.16777258012021917,0.6699788023317435,0.11739893117206726,0.0,0.45324675324675323
target_calibrated,irc1,wqp,3,validation,41154,0.3,0.5255049240658402,0.8223411243509041,0.10528593086813157,0.47774869109947643,0.7133358615074297
target_calibrated,irc1,all,3,test,99670,0.3,0.5330665039354142,0.8505653892071455,0.08994777280953549,0.552291823211968,0.7389585623760706
target_calibrated,irc1,aquamatch_chla,3,test,55831,0.3,0.4547097646139875,0.8532229214176381,0.07732130359523065,0.5655553894453581,0.737373198424945
target_calibrated,irc1,lakebed_us_cse,3,test,143,0.3,0.3096796942747866,0.7980859010270774,0.1023568041695122,0.0,0.4541984732824427
target_calibrated,irc1,wqp,3,test,43696,0.3,0.5846754842229326,0.8389421641687999,0.10604018198244324,0.5422916929282743,0.7386280509376524
target_calibrated,irc1_no_chla,all,1,validation,163110,0.2,0.22002883417693314,0.6234353239755731,0.10419991211505297,0.29844923437042814,0.5861917646184325
target_calibrated,irc1_no_chla,aquamatch_chla,1,validation,110443,0.2,0.11205780357288375,0.5,0.09950287813635157,0.0,0.4703227662941825
target_calibrated,irc1_no_chla,lakebed_us_cse,1,validation,445,0.2,0.13607344658604487,0.54995337995338,0.12798576187887958,0.2,0.48941866394696587
target_calibrated,irc1_no_chla,wqp,1,validation,52222,0.2,0.35787470275349326,0.74007165337925,0.11393086498098717,0.7565325077399381,0.5718096664082065
target_calibrated,irc1_no_chla,all,1,test,121540,0.2,0.27278273623566496,0.6756981900035562,0.10939009382923365,0.40891438131086816,0.6083867734729045
target_calibrated,irc1_no_chla,aquamatch_chla,1,test,66226,0.2,0.11750671941533537,0.5,0.10374611824797733,0.0,0.4687896045560279
target_calibrated,irc1_no_chla,lakebed_us_cse,1,test,163,0.2,0.15037628835970798,0.4576079948420374,0.13244903138999894,0.13636363636363635,0.4673202614379085
target_calibrated,irc1_no_chla,wqp,1,test,55151,0.2,0.3782553496317781,0.7602110483495742,0.11609929801450454,0.7658121571700437,0.598676529879559
target_calibrated,irc1_no_chla,all,2,validation,154216,0.2,0.2021706753383734,0.6069266887529043,0.10691832892434051,0.27445803929532414,0.5841599906520092
target_calibrated,irc1_no_chla,aquamatch_chla,2,validation,106736,0.2,0.1125487183330835,0.5,0.09988197591863411,0.0,0.4701850004219221
target_calibrated,irc1_no_chla,lakebed_us_cse,2,validation,430,0.2,0.12768511252348388,0.5058909090909092,0.13167460355411414,0.14545454545454545,0.46016103606792585
target_calibrated,irc1_no_chla,wqp,2,validation,47050,0.2,0.319822986807496,0.7107047520461245,0.12265450270385755,0.7075632455105518,0.575473193557264
target_calibrated,irc1_no_chla,all,2,test,115691,0.2,0.2557802035697263,0.6486112202043686,0.11626066410566331,0.37524604831494185,0.606813533643903
target_calibrated,irc1_no_chla,aquamatch_chla,2,test,65117,0.2,0.1196308183730823,0.5,0.10537964022889292,0.0,0.46818953970794813
