model_version,source_id,horizon_months,split,decile,rows,bloom_positive,bloom_rate,base_bloom_rate,lift,capture_rate,cumulative_capture_rate,mean_pred_probability,min_pred_probability,max_pred_probability
current_refined_fuzzy_v0,all,1,test,1,12154,9160,0.7536613460589107,0.13770775053480336,5.472904343669714,0.5472904343669713,0.5472904343669713,0.6945522998116765,0.5287533862459008,0.8865339720769125
current_refined_fuzzy_v0,all,1,test,2,12154,4338,0.3569195326641435,0.13770775053480336,2.591862340921312,0.2591862340921312,0.8064766684591026,0.3428079844638498,0.18959052576800017,0.5287533862459008
current_refined_fuzzy_v0,all,1,test,3,12154,1414,0.11634029948987988,0.13770775053480336,0.8448347971560017,0.08448347971560016,0.8909601481747027,0.11342663796485064,0.05404936333507763,0.18959052576800017
current_refined_fuzzy_v0,all,1,test,4,12154,671,0.05520816192200099,0.13770775053480336,0.4009081675330107,0.04009081675330107,0.9310509649280039,0.03879383097273482,0.032150702150702155,0.05404936333507763
current_refined_fuzzy_v0,all,1,test,5,12154,406,0.03340464044758927,0.13770775053480336,0.2425763278962777,0.02425763278962777,0.9553085977176315,0.02963666716158951,0.027908838995137318,0.032150702150702155
current_refined_fuzzy_v0,all,1,test,6,12154,293,0.02410728978114201,0.13770775053480336,0.1750612415606142,0.017506124156061422,0.972814721873693,0.0271031863530699,0.025168092516891193,0.027908838995137318
current_refined_fuzzy_v0,all,1,test,7,12154,141,0.011601118973177555,0.13770775053480336,0.08424448825954473,0.008424448825954473,0.9812391706996475,0.02288462908480935,0.02267282328709013,0.025168092516891193
current_refined_fuzzy_v0,all,1,test,8,12154,152,0.012506170807964456,0.13770775053480336,0.09081675330106949,0.009081675330106948,0.9903208460297545,0.022672823287090135,0.02267282328709013,0.02267282328709013
current_refined_fuzzy_v0,all,1,test,9,12154,108,0.00888596346881685,0.13770775053480336,0.06452769313497042,0.006452769313497042,0.9967736153432515,0.022672823287090135,0.02267282328709013,0.02267282328709013
current_refined_fuzzy_v0,all,1,test,10,12154,54,0.004442981734408425,0.13770775053480336,0.03226384656748521,0.003226384656748521,1.0,0.02090213486261504,0.019991191873721996,0.02267282328709013
current_refined_fuzzy_v0,aquamatch_chla,1,test,1,6623,4595,0.6937943530122301,0.11750671941533537,5.904295145539444,0.5904651760472887,0.5904651760472887,0.6211015714451427,0.45388831157756565,0.7992129321768557
current_refined_fuzzy_v0,aquamatch_chla,1,test,2,6623,1704,0.2572852181790729,0.11750671941533537,2.1895362193687076,0.2189668465690054,0.809432022616294,0.27768733996959977,0.15299236203511019,0.45388831157756565
current_refined_fuzzy_v0,aquamatch_chla,1,test,3,6622,613,0.09257022047719722,0.11750671941533537,0.7877866128659551,0.07877152402981238,0.8882035466461063,0.07367940417215686,0.03767491162711788,0.15299236203511019
current_refined_fuzzy_v0,aquamatch_chla,1,test,4,6623,322,0.048618450853087726,0.11750671941533537,0.4137503888713168,0.041377537907992805,0.9295810845540992,0.03074565940041118,0.02790883899513758,0.03767491162711788
current_refined_fuzzy_v0,aquamatch_chla,1,test,5,6622,199,0.030051344004832378,0.11750671941533537,0.2557414942256527,0.02557183243382164,0.9551529169879208,0.02688314372421139,0.02267282328709013,0.027908838995137564
current_refined_fuzzy_v0,aquamatch_chla,1,test,6,6623,50,0.007549448890231013,0.11750671941533537,0.06424695479368274,0.006425083526085839,0.9615780005140067,0.02267282328709013,0.02267282328709013,0.02267282328709013
current_refined_fuzzy_v0,aquamatch_chla,1,test,7,6623,77,0.01162615129095576,0.11750671941533537,0.09894031038227141,0.009894628630172193,0.9714726291441789,0.02267282328709013,0.02267282328709013,0.02267282328709013
current_refined_fuzzy_v0,aquamatch_chla,1,test,8,6622,78,0.011778918755662941,0.11750671941533537,0.10024038467136133,0.010023130300693909,0.9814957594448728,0.022672823287090138,0.02267282328709013,0.02267282328709013
current_refined_fuzzy_v0,aquamatch_chla,1,test,9,6623,64,0.009663294579495697,0.11750671941533537,0.08223610213591391,0.008224106913389874,0.9897198663582627,0.02267282328709013,0.02267282328709013,0.02267282328709013
