horizon_months,score_name,selection_policy,selected_threshold,baseline_validation_brier,brier_allowed,validation_pr_auc,validation_brier,validation_recall,validation_macro_f1,test_rows,test_pr_auc,test_roc_auc,test_brier,test_recall,test_macro_f1,baseline_test_pr_auc,baseline_test_brier,baseline_test_macro_f1,delta_test_pr_auc_vs_baseline,delta_test_brier_vs_baseline,delta_test_macro_f1_vs_baseline
1,blend_irc1_w0p25,validation max PR-AUC among candidates with validation Brier <= baseline + 0.002; tie min Brier; tie max macro-F1; test report only,0.39999999999999997,0.06495764375187414,0.06695764375187414,0.664425382000224,0.06444912961490802,0.6413732566078221,0.7962875056590191,121540,0.711696462623714,0.9207160404810544,0.06425974401960559,0.667383641034833,0.8135732347465949,0.6923596324342473,0.06506555122286398,0.8122014312500568,0.019336830189466747,-0.000805807203258388,0.0013718034965380932
2,source_selector,validation max PR-AUC among candidates with validation Brier <= baseline + 0.002; tie min Brier; tie max macro-F1; test report only,0.26759993589983205,0.07880085630440918,0.08080085630440918,0.5176381816162747,0.07858299553964246,0.5958267756511144,0.7509019270154746,115691,0.5977753789313389,0.8804074917612474,0.08169085427202202,0.6405010438413361,0.7714840010848805,0.5460568484885104,0.08192109638396473,0.7723055322063881,0.05171853044282848,-0.0002302421119427106,-0.0008215311215076238
3,blend_irc1_w0p25,validation max PR-AUC among candidates with validation Brier <= baseline + 0.002; tie min Brier; tie max macro-F1; test report only,0.3133646594283974,0.08199891859145768,0.08399891859145768,0.5368857835988474,0.08066772557713792,0.5699487828739138,0.7365753757890607,99670,0.6114661652439906,0.8671552449704739,0.08414713863921869,0.6272286358357811,0.7644843845611002,0.5979540158223516,0.08539284248739643,0.7625429124811377,0.01351214942163892,-0.0012457038481777372,0.0019414720799625362
