model_version,group_type,group_value,source_id,horizon_months,split,rows,threshold,bloom_positive,bloom_rate,tn,fp,fn,tp,precision,recall,specificity,false_positive_rate,false_negative_rate,macro_f1,pr_auc,roc_auc,brier
current_refined_fuzzy_v0,overall,all,all,1,test,121540,0.3999999999999999,16737,0.13770775053480336,99746,5057,5567,11170,0.6883589079928514,0.667383641034833,0.951747564478116,0.048252435521883914,0.332616358965167,0.8135732347465949,0.711696462623714,0.9207160404810544,0.06425974401960559
current_refined_fuzzy_v0,source,aquamatch_chla,aquamatch_chla,1,test,66226,0.3999999999999999,7782,0.11750671941533537,55832,2612,2721,5061,0.659585559754985,0.6503469545104086,0.9553076449250565,0.044692355074943534,0.34965304548959136,0.8046756565307136,0.6679166084681756,0.9133169504037375,0.05959642827476654
current_refined_fuzzy_v0,source,lakebed_us_cse,lakebed_us_cse,1,test,163,0.3999999999999999,22,0.13496932515337423,116,25,3,19,0.4318181818181818,0.8636363636363636,0.8226950354609929,0.1773049645390071,0.13636363636363635,0.7340326340326341,0.4235744142376338,0.8500967117988394,0.10582716226938542
current_refined_fuzzy_v0,source,wqp,wqp,1,test,55151,0.3999999999999999,8933,0.1619734909611793,43798,2420,2843,6090,0.7156286721504113,0.6817418560394044,0.9476394478341772,0.05236055216582284,0.31825814396059554,0.8207985257076551,0.7500551371812012,0.9266046417540144,0.06973665757227003
current_refined_fuzzy_v0,full_evidence_band,high,all,1,test,22819,0.3999999999999999,4802,0.21043866952977783,16517,1500,1418,3384,0.6928746928746928,0.7047063723448563,0.9167452961092302,0.08325470389076983,0.29529362765514366,0.8087883381067156,0.7359745976405039,0.9021682851382645,0.09127853302640626
current_refined_fuzzy_v0,full_evidence_band,low,all,1,test,69569,0.3999999999999999,8085,0.1162155557791545,58811,2673,2894,5191,0.6600966429298067,0.6420531849103278,0.9565252748682584,0.04347472513174159,0.35794681508967224,0.8028795898087677,0.6655745550435,0.9128363183978119,0.059312959665843275
current_refined_fuzzy_v0,full_evidence_band,medium,all,1,test,29106,0.3999999999999999,3847,0.1321720607434893,24381,878,1253,2594,0.7471198156682027,0.6742916558357162,0.9652401124351716,0.034759887564828375,0.32570834416428385,0.833483921149685,0.7723492709853124,0.944343067993904,0.05486145613510863
current_refined_fuzzy_v0,full_evidence_band,missing,all,1,test,46,0.3999999999999999,3,0.06521739130434782,37,6,2,1,0.14285714285714285,0.3333333333333333,0.8604651162790697,0.13953488372093023,0.6666666666666666,0.551219512195122,0.1577639751552795,0.7364341085271318,0.08920890764729342
current_refined_fuzzy_v0,exogenous_evidence_band,high,all,1,test,23469,0.3999999999999999,4881,0.20797647961140228,17087,1501,1493,3388,0.6929842503579464,0.694120057365294,0.9192489778351625,0.08075102216483752,0.305879942634706,0.8064992624156724,0.7325206580082576,0.9012337730960052,0.09112251353328629
current_refined_fuzzy_v0,exogenous_evidence_band,low,all,1,test,7056,0.3999999999999999,805,0.11408730158730158,5988,263,296,509,0.6593264248704663,0.6322981366459627,0.9579267317229243,0.042073268277075665,0.36770186335403726,0.8004671763703355,0.6792480805052336,0.9282639994992107,0.056739059006941386
current_refined_fuzzy_v0,exogenous_evidence_band,medium,all,1,test,24354,0.3999999999999999,3232,0.1327092058799376,20453,669,1041,2191,0.7660839160839161,0.6779084158415841,0.9683268629864596,0.03167313701354038,0.3220915841584158,0.8395891154478707,0.7912802071697829,0.9482497616979526,0.05352343358255322
current_refined_fuzzy_v0,exogenous_evidence_band,missing,all,1,test,66661,0.3999999999999999,7819,0.11729497007245616,56218,2624,2737,5082,0.6594861147158059,0.6499552372426142,0.9554060025152102,0.044593997484789774,0.35004476275738583,0.8045877467332136,0.6680670454947228,0.9132969969644649,0.05952077700916108
current_refined_fuzzy_v0,overall,all,all,1,validation,163110,0.3999999999999999,20506,0.1257188400465943,135393,7211,7354,13152,0.6458773265235968,0.6413732566078221,0.9494333959776724,0.050566604022327565,0.3586267433921779,0.7962875056590191,0.664425382000224,0.9094345810592034,0.06444912961490802
current_refined_fuzzy_v0,source,aquamatch_chla,aquamatch_chla,1,validation,110443,0.3999999999999999,12376,0.11205780357288375,93499,4568,4720,7656,0.6263089005235603,0.6186166774402069,0.9534196008851091,0.04658039911489084,0.3813833225597931,0.7875601579874861,0.6243377141885594,0.9036516152970601,0.061053888503529184
current_refined_fuzzy_v0,source,lakebed_us_cse,lakebed_us_cse,1,validation,445,0.3999999999999999,55,0.12359550561797752,309,81,21,34,0.2956521739130435,0.6181818181818182,0.7923076923076923,0.2076923076923077,0.38181818181818183,0.6291666666666667,0.2549950934825477,0.7746620046620046,0.13474046978392826
current_refined_fuzzy_v0,source,wqp,wqp,1,validation,52222,0.3999999999999999,8075,0.1546283175673088,41585,2562,2613,5462,0.6807078763708874,0.6764086687306502,0.9419666115477835,0.05803338845221646,0.32359133126934986,0.809987146885317,0.7244443129736747,0.9182418280160408,0.07103066551335693
current_refined_fuzzy_v0,full_evidence_band,high,all,1,validation,20602,0.3999999999999999,4322,0.20978545772255122,14814,1466,1184,3138,0.6815812337098176,0.7260527533549282,0.90995085995086,0.09004914004914005,0.27394724664507175,0.810507617159725,0.730188975260971,0.901948000175094,0.09149546555121642
current_refined_fuzzy_v0,full_evidence_band,low,all,1,validation,113810,0.3999999999999999,12684,0.11144890607152272,96487,4639,4910,7774,0.626278901152018,0.6128981393882056,0.954126535213496,0.04587346478650397,0.3871018606117944,0.786183038310833,0.6219093117582799,0.9032053960453235,0.06099721291424736
current_refined_fuzzy_v0,full_evidence_band,medium,all,1,validation,28663,0.3999999999999999,3497,0.12200397725290445,24065,1101,1257,2240,0.6704579467225381,0.6405490420360309,0.9562504967018994,0.04374950329810061,0.35945095796396914,0.8042290804196204,0.7145362524794546,0.9266826010491933,0.058624086017731586
current_refined_fuzzy_v0,full_evidence_band,missing,all,1,validation,35,0.3999999999999999,3,0.08571428571428572,27,5,3,0,0.0,0.0,0.84375,0.15625,1.0,0.43548387096774194,0.09417989417989418,0.26041666666666663,0.1392277401358563
current_refined_fuzzy_v0,exogenous_evidence_band,high,all,1,validation,21157,0.3999999999999999,4326,0.2044713333648438,15378,1453,1242,3084,0.6797443244434649,0.7128987517337032,0.9136712019487849,0.08632879805121502,0.2871012482662968,0.8076806418193152,0.7223818906016255,0.9001450689268995,0.0907917065079069
current_refined_fuzzy_v0,exogenous_evidence_band,low,all,1,validation,5123,0.3999999999999999,595,0.11614288502830372,4324,204,251,344,0.6277372262773723,0.5781512605042017,0.9549469964664311,0.045053003533568906,0.4218487394957983,0.7759706187446113,0.650505206738621,0.9111578376933812,0.06359289980664438
current_refined_fuzzy_v0,exogenous_evidence_band,medium,all,1,validation,25913,0.3999999999999999,3163,0.12206228533940493,21783,967,1121,2042,0.6786307743436357,0.6455896300980082,0.9574945054945055,0.042505494505494505,0.35441036990199176,0.8079813387410806,0.7243372437617307,0.9303449152807357,0.05765053958076623
current_refined_fuzzy_v0,exogenous_evidence_band,missing,all,1,validation,110917,0.3999999999999999,12422,0.11199365291163663,93908,4587,4740,7682,0.6261308990137745,0.6184189341490903,0.9534291080765521,0.04657089192344789,0.3815810658509097,0.7874700936789124,0.6238490632839659,0.903580387406543,0.0610522511340374
current_refined_fuzzy_v0,overall,all,all,2,test,115691,0.267599935899832,16765,0.14491187732840066,91352,7574,6027,10738,0.5863914373088684,0.6405010438413361,0.9234377211248812,0.07656227887511878,0.3594989561586639,0.7714840010848805,0.5977753789313389,0.8804074917612474,0.08169085427202202
current_refined_fuzzy_v0,source,aquamatch_chla,aquamatch_chla,2,test,65117,0.267599935899832,7790,0.1196308183730823,53339,3988,2994,4796,0.5459927140255009,0.6156611039794608,0.9304341758682645,0.06956582413173548,0.38433889602053917,0.7586544796317216,0.49784922894932826,0.8738758839370551,0.07245098697451509
current_refined_fuzzy_v0,source,lakebed_us_cse,lakebed_us_cse,2,test,151,0.267599935899832,19,0.12582781456953643,122,10,6,13,0.5652173913043478,0.6842105263157895,0.9242424242424242,0.07575757575757576,0.3157894736842105,0.7787545787545788,0.5826645497659126,0.8734051036682615,0.07309564182057733
current_refined_fuzzy_v0,source,wqp,wqp,2,test,50423,0.267599935899832,8956,0.1776173571584396,37891,3576,3027,5929,0.6237769594950027,0.6620142920946851,0.913762751103287,0.08623724889671305,0.33798570790531485,0.7810894913315634,0.6641940900856574,0.8799554827160516,0.09364909388275376
