model_version,source_id,horizon_months,split,rows,threshold,bloom_positive,bloom_rate,pr_auc,roc_auc,brier,recall,macro_f1
current_refined_fuzzy_v0,all,1,test,121540,0.3999999999999999,16737,0.13770775053480336,0.711696462623714,0.9207160404810544,0.06425974401960559,0.667383641034833,0.8135732347465949
current_refined_fuzzy_v0,aquamatch_chla,1,test,66226,0.3999999999999999,7782,0.11750671941533537,0.6679166084681756,0.9133169504037375,0.05959642827476654,0.6503469545104086,0.8046756565307136
current_refined_fuzzy_v0,lakebed_us_cse,1,test,163,0.3999999999999999,22,0.13496932515337423,0.4235744142376338,0.8500967117988394,0.10582716226938542,0.8636363636363636,0.7340326340326341
current_refined_fuzzy_v0,wqp,1,test,55151,0.3999999999999999,8933,0.1619734909611793,0.7500551371812012,0.9266046417540144,0.06973665757227003,0.6817418560394044,0.8207985257076551
current_refined_fuzzy_v0,all,1,validation,163110,0.3999999999999999,20506,0.1257188400465943,0.664425382000224,0.9094345810592034,0.06444912961490802,0.6413732566078221,0.7962875056590191
current_refined_fuzzy_v0,aquamatch_chla,1,validation,110443,0.3999999999999999,12376,0.11205780357288375,0.6243377141885594,0.9036516152970601,0.061053888503529184,0.6186166774402069,0.7875601579874861
current_refined_fuzzy_v0,lakebed_us_cse,1,validation,445,0.3999999999999999,55,0.12359550561797752,0.2549950934825477,0.7746620046620046,0.13474046978392826,0.6181818181818182,0.6291666666666667
current_refined_fuzzy_v0,wqp,1,validation,52222,0.3999999999999999,8075,0.1546283175673088,0.7244443129736747,0.9182418280160408,0.07103066551335693,0.6764086687306502,0.809987146885317
current_refined_fuzzy_v0,all,2,test,115691,0.267599935899832,16765,0.14491187732840066,0.5977753789313389,0.8804074917612474,0.08169085427202202,0.6405010438413361,0.7714840010848805
current_refined_fuzzy_v0,aquamatch_chla,2,test,65117,0.267599935899832,7790,0.1196308183730823,0.49784922894932826,0.8738758839370551,0.07245098697451509,0.6156611039794608,0.7586544796317216
current_refined_fuzzy_v0,lakebed_us_cse,2,test,151,0.267599935899832,19,0.12582781456953643,0.5826645497659126,0.8734051036682615,0.07309564182057733,0.6842105263157895,0.7787545787545788
current_refined_fuzzy_v0,wqp,2,test,50423,0.267599935899832,8956,0.1776173571584396,0.6641940900856574,0.8799554827160516,0.09364909388275376,0.6620142920946851,0.7810894913315634
current_refined_fuzzy_v0,all,2,validation,154216,0.267599935899832,19697,0.1277234528194221,0.5176381816162747,0.8640449275800376,0.07858299553964246,0.5958267756511144,0.7509019270154746
current_refined_fuzzy_v0,aquamatch_chla,2,validation,106736,0.267599935899832,12013,0.1125487183330835,0.4523361786443697,0.8585993722851256,0.07264247114060754,0.5829518022142679,0.7410829758749291
current_refined_fuzzy_v0,lakebed_us_cse,2,validation,430,0.267599935899832,55,0.12790697674418605,0.3023587577673711,0.7607757575757575,0.10001325058959092,0.4727272727272727,0.6732782181698591
current_refined_fuzzy_v0,wqp,2,validation,47050,0.267599935899832,7629,0.16214665249734325,0.6061923498040743,0.8669410812080297,0.09186360770933244,0.6169878096736139,0.7663142230851223
current_refined_fuzzy_v0,all,3,test,99670,0.3133646594283974,14639,0.1468746864653356,0.6114661652439906,0.8671552449704739,0.08414713863921869,0.6272286358357811,0.7644843845611002
current_refined_fuzzy_v0,aquamatch_chla,3,test,55831,0.3133646594283974,6689,0.11980799197578407,0.5381133610873559,0.8601167008068046,0.07516536571948297,0.591867244730154,0.7488949058879542
current_refined_fuzzy_v0,lakebed_us_cse,3,test,143,0.3133646594283974,17,0.11888111888111888,0.467098996239956,0.8300653594771241,0.08072533596913367,0.5294117647058824,0.7329598506069095
current_refined_fuzzy_v0,wqp,3,test,43696,0.3133646594283974,7933,0.1815497986085683,0.66480089500464,0.8665976051373602,0.09563447573331398,0.6572545064918695,0.775703662796062
current_refined_fuzzy_v0,all,3,validation,136038,0.3133646594283974,17377,0.127736367779591,0.5368857835988474,0.8502089439181707,0.08066772557713792,0.5699487828739138,0.7365753757890607
current_refined_fuzzy_v0,aquamatch_chla,3,validation,94463,0.3133646594283974,10450,0.11062532420100991,0.4808141760360147,0.842476628560048,0.07421287087942266,0.5426794258373205,0.7236981123430699
current_refined_fuzzy_v0,lakebed_us_cse,3,validation,421,0.3133646594283974,51,0.12114014251781473,0.32796079088528923,0.7843932167461579,0.09590131169787744,0.37254901960784315,0.6282420022202039
current_refined_fuzzy_v0,wqp,3,validation,41154,0.3133646594283974,6876,0.1670797492345823,0.6114328409907922,0.8540160380132455,0.09532806477997226,0.6128563118091914,0.7549933885116078
