policy_version,policy_name,target_event,rollout_horizon_months,calibration_split,selection_objective,fbeta_beta,min_recall,min_precision,score_column,selected_threshold,constraint_satisfied,calibration_rows,calibration_positive_rows,calibration_positive_rate,calibration_predicted_positive_rows,calibration_predicted_positive_rate,calibration_tn,calibration_fp,calibration_fn,calibration_tp,calibration_precision,calibration_recall,calibration_specificity,calibration_f1,calibration_macro_f1,calibration_fbeta,calibration_balanced_accuracy,calibration_mcc,calibration_gmean_pr,calibration_pr_distance
pipe_neural_ode_history_rollout_alert_policy_2b_v1,balanced_accuracy,bloom_h,1,validation,balanced_accuracy,2.0,,,rollout_probability_bloom_calibrated,0.14285714285714285,True,3049,410,0.13447031813709412,1034,0.3391275828140374,1971,668,44,366,0.3539651837524178,0.8926829268292683,0.7468738158393331,0.5069252077562327,0.6769692648149449,0.6843679880329095,0.8197783713343008,0.4608853576572482,0.562119805937994,0.6548877293078406
pipe_neural_ode_history_rollout_alert_policy_2b_v1,closest_pr,bloom_h,1,validation,closest_pr,2.0,,,rollout_probability_bloom_calibrated,0.4074074074074074,True,3049,410,0.13447031813709412,392,0.12856674319449,2489,150,168,242,0.6173469387755102,0.5902439024390244,0.9431602879878742,0.6034912718204489,0.7717229772999525,0.5954724409448818,0.7667020952134493,0.5436623223297413,0.6036433270579926,0.5606455428814832
pipe_neural_ode_history_rollout_alert_policy_2b_v1,f1,bloom_h,1,validation,f1,2.0,,,rollout_probability_bloom_calibrated,0.4074074074074074,True,3049,410,0.13447031813709412,392,0.12856674319449,2489,150,168,242,0.6173469387755102,0.5902439024390244,0.9431602879878742,0.6034912718204489,0.7717229772999525,0.5954724409448818,0.7667020952134493,0.5436623223297413,0.6036433270579926,0.5606455428814832
pipe_neural_ode_history_rollout_alert_policy_2b_v1,fbeta,bloom_h,1,validation,fbeta,2.0,,,rollout_probability_bloom_calibrated,0.14285714285714285,True,3049,410,0.13447031813709412,1034,0.3391275828140374,1971,668,44,366,0.3539651837524178,0.8926829268292683,0.7468738158393331,0.5069252077562327,0.6769692648149449,0.6843679880329095,0.8197783713343008,0.4608853576572482,0.562119805937994,0.6548877293078406
pipe_neural_ode_history_rollout_alert_policy_2b_v1,fixed,bloom_h,1,validation,fixed,2.0,,,probability_bloom_mean,0.3,True,3049,410,0.13447031813709412,258,0.08461790751065923,2562,77,229,181,0.7015503875968992,0.44146341463414634,0.9708222811671088,0.5419161676646707,0.7427812882522249,0.4768177028451001,0.7061428479006275,0.5053824070098574,0.5565148961586168,0.6332734704183562
pipe_neural_ode_history_rollout_alert_policy_2b_v1,gmean_pr,bloom_h,1,validation,gmean_pr,2.0,,,rollout_probability_bloom_calibrated,0.4074074074074074,True,3049,410,0.13447031813709412,392,0.12856674319449,2489,150,168,242,0.6173469387755102,0.5902439024390244,0.9431602879878742,0.6034912718204489,0.7717229772999525,0.5954724409448818,0.7667020952134493,0.5436623223297413,0.6036433270579926,0.5606455428814832
pipe_neural_ode_history_rollout_alert_policy_2b_v1,mcc,bloom_h,1,validation,mcc,2.0,,,rollout_probability_bloom_calibrated,0.4074074074074074,True,3049,410,0.13447031813709412,392,0.12856674319449,2489,150,168,242,0.6173469387755102,0.5902439024390244,0.9431602879878742,0.6034912718204489,0.7717229772999525,0.5954724409448818,0.7667020952134493,0.5436623223297413,0.6036433270579926,0.5606455428814832
pipe_neural_ode_history_rollout_alert_policy_2b_v1,balanced_accuracy,bloom_h,2,validation,balanced_accuracy,2.0,,,rollout_probability_bloom_calibrated,0.14285714285714285,True,3158,441,0.1396453451551615,829,0.2625079164027866,2232,485,97,344,0.4149577804583836,0.780045351473923,0.8214942951785057,0.5417322834645669,0.7131967005907853,0.6633243347473969,0.8007698233262144,0.47387779696278387,0.5689339923967444,0.6250235563996056
pipe_neural_ode_history_rollout_alert_policy_2b_v1,closest_pr,bloom_h,2,validation,closest_pr,2.0,,,rollout_probability_bloom_calibrated,0.36486486486486486,True,3158,441,0.1396453451551615,476,0.15072830905636478,2508,209,174,267,0.5609243697478992,0.6054421768707483,0.9230769230769231,0.5823336968375137,0.7556973170240542,0.5959821428571428,0.7642595499738357,0.5120259093596603,0.5827583302536486,0.5903077882543761
pipe_neural_ode_history_rollout_alert_policy_2b_v1,f1,bloom_h,2,validation,f1,2.0,,,rollout_probability_bloom_calibrated,0.36486486486486486,True,3158,441,0.1396453451551615,476,0.15072830905636478,2508,209,174,267,0.5609243697478992,0.6054421768707483,0.9230769230769231,0.5823336968375137,0.7556973170240542,0.5959821428571428,0.7642595499738357,0.5120259093596603,0.5827583302536486,0.5903077882543761
