model_id,base_seed,status,selected_profile,best_epoch,best_probabilistic_validation_loss,ledger_intent_rows,fit_intent_rows,shared_fit_rows,target,selection_rows,selection_rmse,selection_mae,selection_nll,selection_interval_90_coverage,selection_interval_90_mean_width,model_sha256,model_md5,checkpoint_sha256,checkpoint_md5,runtime_seconds,environment
P0,314159,completed,v2_primary,55,-1.8697893018797627,9732,9413,8925,delta_yN,1016,0.1246238835828217,0.0894707018934835,-1.5876566969503567,0.905511811023622,0.4127114063172828,38813dc98492042b69c3a520f910f10f5dd50e425075efbbfa58fd6e1fca00d4,27907525477dab3786ab6af8b045e07d,9a79270954701c115a3902194b44d8e2309a02de049c32a923dcd5e62e521dc5,348563ff2d2e3a3e6fe58b46022d92a6,26.468390764000105,"{""device"":""cpu"",""numpy"":""2.4.5"",""pandas"":""3.0.3"",""pyarrow"":""24.0.0"",""python"":""3.14.7"",""torch"":""2.12.0+cu130"",""torch_num_interop_threads"":1,""torch_num_threads"":1}"
P0,314159,completed,v2_primary,55,-1.8697893018797627,9732,9413,8925,delta_yT,1016,0.1825854219895192,0.1252603530883789,-1.2212667390117495,0.8838582677165354,0.5743547574741634,38813dc98492042b69c3a520f910f10f5dd50e425075efbbfa58fd6e1fca00d4,27907525477dab3786ab6af8b045e07d,9a79270954701c115a3902194b44d8e2309a02de049c32a923dcd5e62e521dc5,348563ff2d2e3a3e6fe58b46022d92a6,26.468390764000105,"{""device"":""cpu"",""numpy"":""2.4.5"",""pandas"":""3.0.3"",""pyarrow"":""24.0.0"",""python"":""3.14.7"",""torch"":""2.12.0+cu130"",""torch_num_interop_threads"":1,""torch_num_threads"":1}"
P0,314159,completed,v2_primary,55,-1.8697893018797627,9732,9413,8925,sigma_F,1016,0.0609269290676268,0.0421311329668901,-2.296818290169784,0.9192913385826772,0.2038202586136465,38813dc98492042b69c3a520f910f10f5dd50e425075efbbfa58fd6e1fca00d4,27907525477dab3786ab6af8b045e07d,9a79270954701c115a3902194b44d8e2309a02de049c32a923dcd5e62e521dc5,348563ff2d2e3a3e6fe58b46022d92a6,26.468390764000105,"{""device"":""cpu"",""numpy"":""2.4.5"",""pandas"":""3.0.3"",""pyarrow"":""24.0.0"",""python"":""3.14.7"",""torch"":""2.12.0+cu130"",""torch_num_interop_threads"":1,""torch_num_threads"":1}"
P0,314159,completed,v2_primary,55,-1.8697893018797627,9732,9413,8925,sigma_N,1016,0.1180389490629813,0.0547270117782232,-1.4875870952456016,0.9232283464566928,0.2555747520266555,38813dc98492042b69c3a520f910f10f5dd50e425075efbbfa58fd6e1fca00d4,27907525477dab3786ab6af8b045e07d,9a79270954701c115a3902194b44d8e2309a02de049c32a923dcd5e62e521dc5,348563ff2d2e3a3e6fe58b46022d92a6,26.468390764000105,"{""device"":""cpu"",""numpy"":""2.4.5"",""pandas"":""3.0.3"",""pyarrow"":""24.0.0"",""python"":""3.14.7"",""torch"":""2.12.0+cu130"",""torch_num_interop_threads"":1,""torch_num_threads"":1}"
P0,314159,completed,v2_primary,55,-1.8697893018797627,9732,9413,8925,sigma_T,1016,0.0917207629554182,0.047280118221373,-1.8780683983029345,0.966535433070866,0.28300638273945,38813dc98492042b69c3a520f910f10f5dd50e425075efbbfa58fd6e1fca00d4,27907525477dab3786ab6af8b045e07d,9a79270954701c115a3902194b44d8e2309a02de049c32a923dcd5e62e521dc5,348563ff2d2e3a3e6fe58b46022d92a6,26.468390764000105,"{""device"":""cpu"",""numpy"":""2.4.5"",""pandas"":""3.0.3"",""pyarrow"":""24.0.0"",""python"":""3.14.7"",""torch"":""2.12.0+cu130"",""torch_num_interop_threads"":1,""torch_num_threads"":1}"
P0,314159,completed,v2_primary,55,-1.8697893018797627,9732,9413,8925,yF,1016,0.1326052916474711,0.0971845716942013,-1.525446854238435,0.9232283464566928,0.48783975135623,38813dc98492042b69c3a520f910f10f5dd50e425075efbbfa58fd6e1fca00d4,27907525477dab3786ab6af8b045e07d,9a79270954701c115a3902194b44d8e2309a02de049c32a923dcd5e62e521dc5,348563ff2d2e3a3e6fe58b46022d92a6,26.468390764000105,"{""device"":""cpu"",""numpy"":""2.4.5"",""pandas"":""3.0.3"",""pyarrow"":""24.0.0"",""python"":""3.14.7"",""torch"":""2.12.0+cu130"",""torch_num_interop_threads"":1,""torch_num_threads"":1}"
P0,314159,completed,v2_primary,55,-1.8697893018797627,9732,9413,8925,yN,1016,0.1236274466864063,0.0878112672820804,-1.5964853481983576,0.90748031496063,0.4091526391937977,38813dc98492042b69c3a520f910f10f5dd50e425075efbbfa58fd6e1fca00d4,27907525477dab3786ab6af8b045e07d,9a79270954701c115a3902194b44d8e2309a02de049c32a923dcd5e62e521dc5,348563ff2d2e3a3e6fe58b46022d92a6,26.468390764000105,"{""device"":""cpu"",""numpy"":""2.4.5"",""pandas"":""3.0.3"",""pyarrow"":""24.0.0"",""python"":""3.14.7"",""torch"":""2.12.0+cu130"",""torch_num_interop_threads"":1,""torch_num_threads"":1}"
P0,314159,completed,v2_primary,55,-1.8697893018797627,9732,9413,8925,yT,1016,0.1822342606656835,0.1243263529980276,-1.2222918412816806,0.8779527559055118,0.5764665378360297,38813dc98492042b69c3a520f910f10f5dd50e425075efbbfa58fd6e1fca00d4,27907525477dab3786ab6af8b045e07d,9a79270954701c115a3902194b44d8e2309a02de049c32a923dcd5e62e521dc5,348563ff2d2e3a3e6fe58b46022d92a6,26.468390764000105,"{""device"":""cpu"",""numpy"":""2.4.5"",""pandas"":""3.0.3"",""pyarrow"":""24.0.0"",""python"":""3.14.7"",""torch"":""2.12.0+cu130"",""torch_num_interop_threads"":1,""torch_num_threads"":1}"
P0,20260612,completed,v2_primary,59,-1.8769133222384715,9732,9413,8925,delta_yF,1016,0.1319471102439663,0.0997874305004209,-1.5403077133058565,0.9153543307086616,0.4549294569360928,03586c86ce92287bd03014da46b601120401c486be31e0500854a914fadb3140,65fa4e3f382ba99947465498a326af9a,86a2339cf49bb6d4d9fe16994a7c342240f02bdf7570ddb39b6cb3dd1865a70e,a6ea483fbfc29d222d7ede49a95c9f0f,25.869525066999813,"{""device"":""cpu"",""numpy"":""2.4.5"",""pandas"":""3.0.3"",""pyarrow"":""24.0.0"",""python"":""3.14.7"",""torch"":""2.12.0+cu130"",""torch_num_interop_threads"":1,""torch_num_threads"":1}"
P0,20260612,completed,v2_primary,59,-1.8769133222384715,9732,9413,8925,delta_yN,1016,0.1218506670728436,0.0878678569643516,-1.604918111966351,0.9104330708661418,0.408082721740242,03586c86ce92287bd03014da46b601120401c486be31e0500854a914fadb3140,65fa4e3f382ba99947465498a326af9a,86a2339cf49bb6d4d9fe16994a7c342240f02bdf7570ddb39b6cb3dd1865a70e,a6ea483fbfc29d222d7ede49a95c9f0f,25.869525066999813,"{""device"":""cpu"",""numpy"":""2.4.5"",""pandas"":""3.0.3"",""pyarrow"":""24.0.0"",""python"":""3.14.7"",""torch"":""2.12.0+cu130"",""torch_num_interop_threads"":1,""torch_num_threads"":1}"
