evaluation_cohort,model_id,model_seed,degradation_seed,aggregation_level,horizon_months,estimand,degradation_family,metric,retention_orientation,aupd,status,aupd_seed_sd,registered_seed_slots
fresh_primary,M0,1729,20260614,seed,1,observation_weighted,temporal_block,brier,lower,0.9965314054766856,estimated,,1
fresh_primary,M0,1729,1729,seed,1,observation_weighted,temporal_block,pr_auc,higher,1.1694225810626964,estimated,,1
fresh_primary,M0,1729,314159,seed,1,observation_weighted,temporal_block,pr_auc,higher,1.0513202647396838,estimated,,1
fresh_primary,M0,1729,20260612,seed,1,observation_weighted,temporal_block,pr_auc,higher,1.0003033725066632,estimated,,1
fresh_primary,M0,1729,20260613,seed,1,observation_weighted,temporal_block,pr_auc,higher,1.0842513095888393,estimated,,1
fresh_primary,M0,1729,20260614,seed,1,observation_weighted,temporal_block,pr_auc,higher,1.0480572769122916,estimated,,1
fresh_primary,M0,1729,1729,seed,1,site_weighted,mcar,brier,lower,0.999884791714534,estimated,,1
fresh_primary,M0,1729,314159,seed,1,site_weighted,mcar,brier,lower,0.9993169376887461,estimated,,1
fresh_primary,M0,1729,20260612,seed,1,site_weighted,mcar,brier,lower,0.9994729208309958,estimated,,1
fresh_primary,M0,1729,20260613,seed,1,site_weighted,mcar,brier,lower,1.0000775261371517,estimated,,1
fresh_primary,M0,1729,20260614,seed,1,site_weighted,mcar,brier,lower,1.0004265220010704,estimated,,1
fresh_primary,M0,1729,1729,seed,1,site_weighted,mcar,pr_auc,higher,1.1472886989992959,estimated,,1
fresh_primary,M0,1729,314159,seed,1,site_weighted,mcar,pr_auc,higher,1.0025775716882788,estimated,,1
fresh_primary,M0,1729,20260612,seed,1,site_weighted,mcar,pr_auc,higher,1.0808640210231715,estimated,,1
fresh_primary,M0,1729,20260613,seed,1,site_weighted,mcar,pr_auc,higher,1.000848735669952,estimated,,1
fresh_primary,M0,1729,20260614,seed,1,site_weighted,mcar,pr_auc,higher,1.1746225381174888,estimated,,1
fresh_primary,M0,1729,1729,seed,1,site_weighted,temporal_block,brier,lower,0.9957434593524527,estimated,,1
fresh_primary,M0,1729,314159,seed,1,site_weighted,temporal_block,brier,lower,1.0002432843456004,estimated,,1
fresh_primary,M0,1729,20260612,seed,1,site_weighted,temporal_block,brier,lower,1.0010214555690837,estimated,,1
fresh_primary,M0,1729,20260613,seed,1,site_weighted,temporal_block,brier,lower,0.9983994433148004,estimated,,1
fresh_primary,M0,1729,20260614,seed,1,site_weighted,temporal_block,brier,lower,0.9974147309451556,estimated,,1
fresh_primary,M0,1729,1729,seed,1,site_weighted,temporal_block,pr_auc,higher,1.2162115050967375,estimated,,1
fresh_primary,M0,1729,314159,seed,1,site_weighted,temporal_block,pr_auc,higher,1.2428891787419902,estimated,,1
fresh_primary,M0,1729,20260612,seed,1,site_weighted,temporal_block,pr_auc,higher,1.1132393724779885,estimated,,1
fresh_primary,M0,1729,20260613,seed,1,site_weighted,temporal_block,pr_auc,higher,1.0269035351246811,estimated,,1
fresh_primary,M0,1729,20260614,seed,1,site_weighted,temporal_block,pr_auc,higher,1.1081040745346715,estimated,,1
fresh_primary,M0,1729,1729,seed,2,observation_weighted,mcar,brier,lower,1.0004451707400104,estimated,,1
fresh_primary,M0,1729,314159,seed,2,observation_weighted,mcar,brier,lower,0.9966603102205762,estimated,,1
