evaluation_cohort,scenario_id,degradation_seed,aggregation_level,horizon_months,estimand,comparison_id,challenger,reference,attempted_pairs,shared_success_rows,shared_success_locations,mask_sha256,seed_pseudoreplication,metric,m0_estimate,p1_estimate,delta_m0_minus_p1,status,delta_seed_sd,registered_seed_slots,crossover_status
fresh_primary,ablate_clarity,1729,seed,3,site_weighted,M0_vs_P1,M0,P1,2286,885,86,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,pr_auc,0.1636693817196055,0.33406036492106883,-0.17039098320146334,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,314159,seed,1,observation_weighted,M0_vs_P1,M0,P1,2286,966,89,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,brier,0.29180092659781715,0.13025557042189476,0.1615453561759224,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,314159,seed,1,observation_weighted,M0_vs_P1,M0,P1,2286,966,89,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,f2,0.4855305466237942,0.3515625,0.1339680466237942,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,314159,seed,1,observation_weighted,M0_vs_P1,M0,P1,2286,966,89,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,pr_auc,0.16627790994210456,0.3376310220604439,-0.1713531121183393,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,314159,seed,1,site_weighted,M0_vs_P1,M0,P1,2286,966,89,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,brier,0.28673844185608327,0.15619698955543831,0.13054145230064496,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,314159,seed,1,site_weighted,M0_vs_P1,M0,P1,2286,966,89,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,f2,0.5486649427996276,0.29544248460806966,0.253222458191558,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,314159,seed,1,site_weighted,M0_vs_P1,M0,P1,2286,966,89,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,pr_auc,0.1984870413299435,0.2959582169448308,-0.09747117561488733,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,314159,seed,2,observation_weighted,M0_vs_P1,M0,P1,2286,933,88,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,brier,0.2948721090797787,0.12657645963641645,0.16829564944336223,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,314159,seed,2,observation_weighted,M0_vs_P1,M0,P1,2286,933,88,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,f2,0.46937416777629826,0.4367666232073012,0.03260754456899706,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,314159,seed,2,observation_weighted,M0_vs_P1,M0,P1,2286,933,88,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,pr_auc,0.16672315100754792,0.39360618746181864,-0.22688303645427071,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,314159,seed,2,site_weighted,M0_vs_P1,M0,P1,2286,933,88,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,brier,0.2928363916000071,0.12840223339396428,0.1644341582060428,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,314159,seed,2,site_weighted,M0_vs_P1,M0,P1,2286,933,88,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,f2,0.4926554176140852,0.3774298702120267,0.11522554740205854,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,314159,seed,2,site_weighted,M0_vs_P1,M0,P1,2286,933,88,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,pr_auc,0.1783587583178211,0.37868919464789175,-0.20033043633007064,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,314159,seed,3,observation_weighted,M0_vs_P1,M0,P1,2286,885,86,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,brier,0.2937843652607873,0.12815187809152676,0.16563248716926052,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,314159,seed,3,observation_weighted,M0_vs_P1,M0,P1,2286,885,86,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,f2,0.46984572230014027,0.41606886657101866,0.05377685572912161,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,314159,seed,3,observation_weighted,M0_vs_P1,M0,P1,2286,885,86,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,pr_auc,0.15114552904630807,0.3846118799465337,-0.2334663509002256,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,314159,seed,3,site_weighted,M0_vs_P1,M0,P1,2286,885,86,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,brier,0.29111828147082114,0.13967945733702453,0.1514388241337966,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,314159,seed,3,site_weighted,M0_vs_P1,M0,P1,2286,885,86,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,f2,0.47895888132266634,0.3406576437239039,0.13830123759876245,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,314159,seed,3,site_weighted,M0_vs_P1,M0,P1,2286,885,86,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,pr_auc,0.1636693817196055,0.3307141289433718,-0.16704474722376633,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260612,seed,1,observation_weighted,M0_vs_P1,M0,P1,2286,966,89,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,brier,0.29180092659781715,0.12743668540476075,0.1643642411930564,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260612,seed,1,observation_weighted,M0_vs_P1,M0,P1,2286,966,89,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,f2,0.4855305466237942,0.4561611374407583,0.029369409183035877,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260612,seed,1,observation_weighted,M0_vs_P1,M0,P1,2286,966,89,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,pr_auc,0.16627790994210456,0.3454001591567897,-0.17912224921468511,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260612,seed,1,site_weighted,M0_vs_P1,M0,P1,2286,966,89,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,brier,0.28673844185608327,0.15546210769863036,0.1312763341574529,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260612,seed,1,site_weighted,M0_vs_P1,M0,P1,2286,966,89,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,f2,0.5486649427996276,0.35921039264403093,0.1894545501555967,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260612,seed,1,site_weighted,M0_vs_P1,M0,P1,2286,966,89,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,pr_auc,0.1984870413299435,0.28640297834702216,-0.08791593701707867,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260612,seed,2,observation_weighted,M0_vs_P1,M0,P1,2286,933,88,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,brier,0.2948721090797787,0.12849684250033946,0.1663752665794392,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260612,seed,2,observation_weighted,M0_vs_P1,M0,P1,2286,933,88,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,f2,0.46937416777629826,0.4942528735632184,-0.02487870578692014,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260612,seed,2,observation_weighted,M0_vs_P1,M0,P1,2286,933,88,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,pr_auc,0.16672315100754792,0.3553727093201819,-0.18864955831263397,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260612,seed,2,site_weighted,M0_vs_P1,M0,P1,2286,933,88,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,brier,0.2928363916000071,0.12997259976249936,0.1628637918375077,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260612,seed,2,site_weighted,M0_vs_P1,M0,P1,2286,933,88,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,f2,0.4926554176140852,0.44794591655790555,0.04470950105617966,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260612,seed,2,site_weighted,M0_vs_P1,M0,P1,2286,933,88,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,pr_auc,0.1783587583178211,0.3303310144967321,-0.15197225617891097,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260612,seed,3,observation_weighted,M0_vs_P1,M0,P1,2286,885,86,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,brier,0.2937843652607873,0.12859139187316382,0.16519297338762345,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260612,seed,3,observation_weighted,M0_vs_P1,M0,P1,2286,885,86,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,f2,0.46984572230014027,0.45806451612903226,0.011781206171108005,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260612,seed,3,observation_weighted,M0_vs_P1,M0,P1,2286,885,86,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,pr_auc,0.15114552904630807,0.33574806295521686,-0.1846025339089088,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260612,seed,3,site_weighted,M0_vs_P1,M0,P1,2286,885,86,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,brier,0.29111828147082114,0.14225933240004648,0.14885894907077465,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260612,seed,3,site_weighted,M0_vs_P1,M0,P1,2286,885,86,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,f2,0.47895888132266634,0.41386516774364546,0.06509371357902088,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260612,seed,3,site_weighted,M0_vs_P1,M0,P1,2286,885,86,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,pr_auc,0.1636693817196055,0.28022834526484264,-0.11655896354523715,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260613,seed,1,observation_weighted,M0_vs_P1,M0,P1,2286,966,89,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,brier,0.29180092659781715,0.12969680147580848,0.16210412512200867,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260613,seed,1,observation_weighted,M0_vs_P1,M0,P1,2286,966,89,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,f2,0.4855305466237942,0.38413878562577447,0.10139176099801972,estimated,,1,not_assessed_on_single_seed_row
fresh_primary,ablate_clarity,20260613,seed,1,observation_weighted,M0_vs_P1,M0,P1,2286,966,89,0ef68bdcc8ff051b3105eb862929b20da7a724a8dd8ce05707d9dfb05ccd567c,False,pr_auc,0.16627790994210456,0.31652503828610346,-0.1502471283439989,estimated,,1,not_assessed_on_single_seed_row
